index,id,brewery_id,brewery_name,beer_name,style,ounces,abv,ibu,city,state
92,1535,388,Alltech's Lexington Brewing Company,Kentucky K?lsch,K?lsch,16,0.043,,Lexington,KY
93,1149,388,Alltech's Lexington Brewing Company,Kentucky IPA,American IPA,16,0.065,,Lexington,KY
94,1474,401,Amnesia Brewing Company,Dusty Trail Pale Ale,American Pale Ale (APA),16,0.054,,Washougal,WA
95,1473,401,Amnesia Brewing Company,Damnesia,American IPA,16,0.062,,Washougal,WA
96,837,401,Amnesia Brewing Company,Desolation IPA,American IPA,16,0.062,43,Washougal,WA
97,2592,35,Anchor Brewing Company,Liberty Ale,American IPA,12,0.059,,San Francisco,CA
98,2578,35,Anchor Brewing Company,IPA,American IPA,12,0.065,,San Francisco,CA
99,2577,35,Anchor Brewing Company,Summer Wheat,American Pale Wheat Ale,12,0.045,,San Francisco,CA
100,2103,35,Anchor Brewing Company,California Lager,American Amber / Red Lager,12,0.049,,San Francisco,CA
101,2102,35,Anchor Brewing Company,Brotherhood Steam,California Common / Steam Beer,12,0.056,,San Francisco,CA
102,2291,171,Anderson Valley Brewing Company,Blood Orange Gose,Gose,12,0.042,,Boonville,CA
103,1818,171,Anderson Valley Brewing Company,Keebarlin' Pale Ale,American Pale Ale (APA),12,0.042,,Boonville,CA
104,1738,171,Anderson Valley Brewing Company,"the Kimmie, the Yink and the Holy Gose",Gose,12,0.048,,Boonville,CA
105,1563,171,Anderson Valley Brewing Company,Fall Hornin',Pumpkin Ale,12,0.06,,Boonville,CA
106,1520,171,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,Boonville,CA
107,1350,171,Anderson Valley Brewing Company,Summer Solstice,Cream Ale,12,0.056,4,Boonville,CA
108,1327,171,Anderson Valley Brewing Company,Hop Ottin' IPA,American IPA,12,0.07,80,Boonville,CA
109,1326,171,Anderson Valley Brewing Company,Boont Amber Ale,American Amber / Red Ale,12,0.058,15,Boonville,CA
110,1221,171,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,Boonville,CA
111,1217,171,Anderson Valley Brewing Company,El Steinber Dark Lager,Vienna Lager,16,0.055,25,Boonville,CA
112,811,171,Anderson Valley Brewing Company,Boont Amber Ale (2010),American Amber / Red Ale,12,0.058,15,Boonville,CA
113,753,171,Anderson Valley Brewing Company,Summer Solstice Cerveza Crema (2009),Cream Ale,12,0.056,4,Boonville,CA
114,572,171,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12,0.057,13,Boonville,CA
115,523,171,Anderson Valley Brewing Company,Winter Solstice,Winter Warmer,12,0.069,6,Boonville,CA
116,367,171,Anderson Valley Brewing Company,Hop Ottin' IPA (2011),American IPA,12,0.07,80,Boonville,CA
117,78,171,Anderson Valley Brewing Company,Boont Amber Ale (2011),American Amber / Red Ale,12,0.058,15,Boonville,CA
118,77,171,Anderson Valley Brewing Company,Summer Solstice (2011),Cream Ale,12,0.056,4,Boonville,CA
119,76,171,Anderson Valley Brewing Company,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12,0.055,28,Boonville,CA
120,2337,146,Angry Minnow,Charlie's Rye IPA,American IPA,16,0.06,,Hayward,WI
121,410,542,Angry Minnow Brewing Company,River Pig Pale Ale,American Pale Ale (APA),16,0.054,,Hayward,WI
122,409,542,Angry Minnow Brewing Company,Oaky's Oatmeal Stout,Oatmeal Stout,16,0.047,,Hayward,WI
123,1294,434,Angry Orchard Cider Company,Angry Orchard Apple Ginger,Cider,16,0.05,,Cincinnati,OH
124,1293,434,Angry Orchard Cider Company,Angry Orchard Crisp Apple,Cider,16,0.05,,Cincinnati,OH
125,1292,434,Angry Orchard Cider Company,Angry Orchard Crisp Apple,Cider,12,0.05,,Cincinnati,OH
126,2207,193,Anthem Brewing Company,Golden One,Belgian Pale Ale,12,0.068,,Oklahoma City,OK
127,2040,193,Anthem Brewing Company,Arjuna,Witbier,12,0.06,,Oklahoma City,OK
128,2039,193,Anthem Brewing Company,Uroboros,American Stout,12,0.085,,Oklahoma City,OK
129,2511,69,Appalachian Mountain Brewery,Long Leaf,American IPA,16,0.071,75,Boone,NC
130,2510,69,Appalachian Mountain Brewery,Honey Badger Blonde,American Blonde Ale,16,0.047,19,Boone,NC
131,2509,69,Appalachian Mountain Brewery,Porter (a/k/a Black Gold Porter),American Porter,16,0.06,23,Boone,NC
132,413,541,Arcadia Brewing Company,Sky High Rye,American Pale Ale (APA),12,0.06,55,Battle Creek,MI
133,390,541,Arcadia Brewing Company,Whitsun,American Pale Wheat Ale,12,0.062,17,Battle Creek,MI
134,735,513,Arctic Craft Brewery,On-On Ale (2008),American Pale Ale (APA),12,0.052,,Colorado Springs,CO
135,1333,426,Armadillo Ale Works,Quakertown Stout,American Double / Imperial Stout,12,0.092,50,Denton,TX
136,1332,426,Armadillo Ale Works,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12,0.051,20,Denton,TX
137,1172,461,Armstrong Brewing Company,Mo's Gose,Gose,16,0.052,10,South San Francisco,CA
138,1322,429,Asher Brewing Company,Green Bullet Organic India Pale Ale,American IPA,16,0.07,45,Boulder,CO
139,550,528,Asheville Brewing Company,Rocket Girl,K?lsch,12,0.032,27,Asheville,NC
140,429,528,Asheville Brewing Company,Ninja Porter,American Porter,12,0.053,26,Asheville,NC
141,428,528,Asheville Brewing Company,Shiva IPA,American IPA,12,0.06,69,Asheville,NC
142,1640,353,Aslan Brewing Company,Aslan K?lsch,K?lsch,16,0.048,,Bellingham,WA
143,1639,353,Aslan Brewing Company,Aslan IPA,American IPA,16,0.077,,Bellingham,WA
144,1638,353,Aslan Brewing Company,Aslan Amber,American Amber / Red Ale,16,0.077,,Bellingham,WA
145,597,523,Aspen Brewing Company,This Season's Blonde,American Blonde Ale,12,0.056,27,Aspen,CO
146,596,523,Aspen Brewing Company,Independence Pass Ale,American IPA,12,0.07,67,Aspen,CO
147,1580,374,Astoria Brewing Company,Trolley Stop Stout,American Stout,12,0.057,40,Astoria,OR
148,980,374,Astoria Brewing Company,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12,0.082,138,Astoria,OR
149,979,374,Astoria Brewing Company,Poop Deck Porter,American Porter,12,0.062,35,Astoria,OR
150,978,374,Astoria Brewing Company,Old Red Beard Amber Ale,American Amber / Red Ale,12,0.06,35,Astoria,OR
151,2503,72,Atwater Brewery,Hop A-Peel,American Double / Imperial IPA,16,0.075,115,Detroit,MI
152,2502,72,Atwater Brewery,Vanilla Java Porter,American Porter,16,0.055,12,Detroit,MI
153,2495,72,Atwater Brewery,Michelada,Fruit / Vegetable Beer,16,0.052,,Detroit,MI
154,534,72,Atwater Brewery,Dirty Blonde Ale,American Blonde Ale,12,0.045,8,Detroit,MI
155,528,72,Atwater Brewery,Grand Circus IPA,American IPA,12,0.05,62,Detroit,MI
156,527,72,Atwater Brewery,Atwater's Lager,Munich Helles Lager,12,0.05,12,Detroit,MI
157,1409,413,Austin Beerworks,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16,0.07,,Austin,TX
158,343,413,Austin Beerworks,Fire Eagle IPA,American IPA,12,0.062,,Austin,TX
159,342,413,Austin Beerworks,Peacemaker,American Pale Ale (APA),12,0.051,,Austin,TX
160,341,413,Austin Beerworks,Pearl-Snap,German Pilsener,12,0.053,,Austin,TX
161,340,413,Austin Beerworks,Black Thunder,Schwarzbier,12,0.052,,Austin,TX
162,2589,37,Avery Brewing Company,Raja,American Double / Imperial IPA,12,0.08,,Boulder,CO
163,2546,37,Avery Brewing Company,Perzik Saison,Saison / Farmhouse Ale,12,0.064,,Boulder,CO
164,146,37,Avery Brewing Company,Avery Joe¡¯s Premium American Pilsner,German Pilsener,12,0.047,42,Boulder,CO
165,108,37,Avery Brewing Company,White Rascal,Witbier,12,0.056,10,Boulder,CO
166,107,37,Avery Brewing Company,Avery India Pale Ale,American IPA,12,0.063,69,Boulder,CO
167,106,37,Avery Brewing Company,Ellie¡¯s Brown Ale,American Brown Ale,12,0.055,17,Boulder,CO
168,1620,360,Aviator Brewing Company,Pumpkin Beast,Pumpkin Ale,12,0.062,17,Fuquay-Varina,NC
169,1579,360,Aviator Brewing Company,OktoberBeast,M?rzen / Oktoberfest,12,0.072,22,Fuquay-Varina,NC
170,1228,360,Aviator Brewing Company,Mad Beach,American Pale Wheat Ale,12,0.048,23,Fuquay-Varina,NC
171,705,360,Aviator Brewing Company,Hog Wild India Pale Ale,American IPA,12,0.067,,Fuquay-Varina,NC
172,704,360,Aviator Brewing Company,Devils Tramping Ground Tripel,Tripel,12,0.092,5,Fuquay-Varina,NC
173,702,360,Aviator Brewing Company,Hot Rod Red,American Amber / Red Ale,12,0.061,41,Fuquay-Varina,NC
174,2058,235,Back East Brewing Company,Palate Mallet,American Double / Imperial IPA,12,0.086,,Bloomfield,CT
175,1483,235,Back East Brewing Company,Back East Porter,American Porter,12,0.06,,Bloomfield,CT
176,1426,235,Back East Brewing Company,Back East Golden Ale,American Blonde Ale,12,0.049,,Bloomfield,CT
177,1132,235,Back East Brewing Company,Misty Mountain IPA,American IPA,12,0.07,,Bloomfield,CT
178,1131,235,Back East Brewing Company,Back East Ale,American Amber / Red Ale,12,0.05,,Bloomfield,CT
179,1876,286,Back Forty Beer Company,Truck Stop Honey Brown Ale,English Brown Ale,12,0.06,,Gadsden,AL
180,1875,286,Back Forty Beer Company,Naked Pig Pale Ale,American Pale Ale (APA),12,0.06,43,Gadsden,AL
181,966,483,Bale Breaker Brewing Company,Topcutter India Pale Ale,American IPA,12,0.068,70,Yakima,WA
182,965,483,Bale Breaker Brewing Company,Field 41 Pale Ale,American Pale Ale (APA),12,0.044,38,Yakima,WA
183,2593,34,Ballast Point Brewing Company,Grapefruit Sculpin,American IPA,12,0.07,,San Diego,CA
184,2105,34,Ballast Point Brewing Company,Even Keel,American IPA,12,0.038,40,San Diego,CA
185,1401,34,Ballast Point Brewing Company,Ballast Point Pale Ale,K?lsch,12,0.052,23,San Diego,CA
186,1400,34,Ballast Point Brewing Company,Big Eye India Pale Ale,American IPA,12,0.07,75,San Diego,CA
187,1019,34,Ballast Point Brewing Company,Longfin Lager,Munich Helles Lager,12,0.046,,San Diego,CA
188,1018,34,Ballast Point Brewing Company,Sculpin IPA,American IPA,12,0.07,70,San Diego,CA
189,1776,318,Banner Beer Company,All Nighter Ale,Extra Special / Strong Bitter (ESB),12,0.045,,Williamsburg,MA
190,1644,318,Banner Beer Company,Banner American Rye,Rye Beer,12,0.045,20,Williamsburg,MA
191,1643,318,Banner Beer Company,Banner American Ale,American Amber / Red Ale,12,0.035,45,Williamsburg,MA
192,2618,20,Bare Hands Brewery,Thai.p.a,American IPA,16,0.07,46,Granger,IN
193,2005,251,Barrio Brewing Company,Barrio Blanco,American IPA,12,0.06,60,Tucson,AZ
194,1343,251,Barrio Brewing Company,Barrio Tucson Blonde,American Blonde Ale,12,0.045,,Tucson,AZ
195,2404,116,Base Camp Brewing Co.,Hop in the ¡®Pool Helles,American Pilsner,12,0.049,22,Portland,OR
196,2323,116,Base Camp Brewing Co.,Ultra Gnar Gnar IPA,American IPA,12,0.067,60,Portland,OR
197,2189,116,Base Camp Brewing Co.,In-Tents India Pale Lager,American Pale Lager,12,0.068,62,Portland,OR
198,2188,116,Base Camp Brewing Co.,Lost Meridian Wit,Witbier,12,0.05,20,Portland,OR
199,2187,116,Base Camp Brewing Co.,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12,0.051,45,Portland,OR
200,1966,258,Bauhaus Brew Labs,Wagon Party,California Common / Steam Beer,12,0.054,55,Minneapolis,MN
201,1965,258,Bauhaus Brew Labs,Sky-Five,American IPA,12,0.067,70,Minneapolis,MN
202,1964,258,Bauhaus Brew Labs,Stargrazer,Schwarzbier,12,0.05,28,Minneapolis,MN
203,1963,258,Bauhaus Brew Labs,Wonderstuff,German Pilsener,12,0.054,48,Minneapolis,MN
204,1855,292,Baxter Brewing Company,Tarnation California-Style Lager,California Common / Steam Beer,12,0.053,,Lewiston,ME
205,1778,292,Baxter Brewing Company,On the Count of 3 (2015),Hefeweizen,16,0.07,42,Lewiston,ME
206,1209,292,Baxter Brewing Company,Summer Swelter,American Pale Wheat Ale,12,0.047,,Lewiston,ME
207,954,292,Baxter Brewing Company,Phantom Punch Winter Stout,Foreign / Export Stout,12,0.068,,Lewiston,ME
208,910,292,Baxter Brewing Company,Hayride Autumn Ale,Rye Beer,12,0.066,,Lewiston,ME
209,707,292,Baxter Brewing Company,Celsius Summer Ale (2012),American Pale Wheat Ale,12,0.047,,Lewiston,ME
210,533,292,Baxter Brewing Company,Amber Road,American Amber / Red Ale,12,0.055,35,Lewiston,ME
211,183,292,Baxter Brewing Company,Pamola Xtra Pale Ale,American Pale Ale (APA),12,0.049,28,Lewiston,ME
212,182,292,Baxter Brewing Company,Stowaway IPA,American IPA,12,0.069,69,Lewiston,ME
213,1806,306,Beach Brewing Company,Hoptopus Double IPA,American Double / Imperial IPA,16,0.088,108,Virginia Beach,VA
214,2435,103,Beer Works Brewery,Watermelon Ale,Fruit / Vegetable Beer,12,0.05,10,Lowell,MA
215,2423,103,Beer Works Brewery,Fenway American Pale Ale,American Pale Ale (APA),12,0.058,45,Lowell,MA
216,2420,103,Beer Works Brewery,Back Bay IPA,American IPA,12,0.068,85,Lowell,MA
217,2419,103,Beer Works Brewery,Bunker Hill Blueberry Ale,Other,12,0.048,16,Lowell,MA
218,2494,76,Bell's Brewery,Oberon,American Pale Wheat Ale,12,0.058,,Kalamazoo,MI
219,2325,76,Bell's Brewery,Smitten,Rye Beer,16,0.06,,Kalamazoo,MI
220,2022,76,Bell's Brewery,Winter White,Witbier,16,0.05,,Kalamazoo,MI
221,1989,76,Bell's Brewery,Oberon,American Pale Wheat Ale,16,0.058,,Kalamazoo,MI
222,1988,76,Bell's Brewery,Two Hearted,American IPA,16,0.07,,Kalamazoo,MI
223,1955,76,Bell's Brewery,Best Brown,American Brown Ale,16,0.058,,Kalamazoo,MI
224,2558,53,Bent Brewstillery,Moar,English India Pale Ale (IPA),12,0.044,44,Roseville,MN
225,2557,53,Bent Brewstillery,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16,0.083,,Roseville,MN
226,2556,53,Bent Brewstillery,Nordic Blonde,American Blonde Ale,12,0.057,27,Roseville,MN
227,2496,75,Bent Paddle Brewing Company,Cold Press,American Black Ale,12,0.06,,Duluth,MN
228,2410,75,Bent Paddle Brewing Company,Harness the Winter,American IPA,12,0.072,87,Duluth,MN
229,1902,75,Bent Paddle Brewing Company,14¡ã ESB,Extra Special / Strong Bitter (ESB),12,0.056,32,Duluth,MN
230,1901,75,Bent Paddle Brewing Company,Bent Hop Golden IPA,American IPA,12,0.062,68,Duluth,MN
231,1261,75,Bent Paddle Brewing Company,Bent Paddle Black Ale,American Black Ale,12,0.06,34,Duluth,MN
232,1253,75,Bent Paddle Brewing Company,Venture Pils,German Pilsener,12,0.05,38,Duluth,MN
233,1900,278,Berkshire Brewing Company,Lost Sailor IPA,English India Pale Ale (IPA),12,0.055,40,South Deerfield,MA
234,1317,278,Berkshire Brewing Company,Steel Rail Extra Pale Ale,American Pale Ale (APA),12,0.053,20,South Deerfield,MA
235,1158,463,Big Bend Brewing Company,La Frontera Premium IPA,American IPA,12,0.078,,Alpine,TX
236,1157,463,Big Bend Brewing Company,Tejas Lager,Czech Pilsener,12,0.047,,Alpine,TX
237,1156,463,Big Bend Brewing Company,Number 22 Porter,American Porter,12,0.064,,Alpine,TX
238,1155,463,Big Bend Brewing Company,Big Bend Hefeweizen,Hefeweizen,12,0.056,,Alpine,TX
239,1154,463,Big Bend Brewing Company,Terlingua Gold,American Blonde Ale,12,0.06,,Alpine,TX
240,2104,220,Big Choice Brewing,Apr¨¨ Shred,American Strong Ale,16,0.081,17,Broomfield,CO
241,1762,220,Big Choice Brewing,Hemlock Double IPA,American Double / Imperial IPA,12,0.095,104,Broomfield,CO
242,1422,220,Big Choice Brewing,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16,0.041,,Broomfield,CO
243,1067,220,Big Choice Brewing,Disconnected Red,American Amber / Red Ale,16,0.067,85,Broomfield,CO
244,1003,477,Big Elm Brewing,Big Elm IPA,American IPA,12,0.07,,Sheffield,MA
245,1002,477,Big Elm Brewing,Gerry Dog Stout,American Stout,12,0.065,,Sheffield,MA
246,1001,477,Big Elm Brewing,413 Farmhouse Ale,Saison / Farmhouse Ale,12,0.06,,Sheffield,MA
247,2639,8,Big Lake Brewing,Dark Star,American Stout,16,0.08,54,Holland,MI
248,2469,8,Big Lake Brewing,Ryecoe,American IPA,16,0.062,,Holland,MI
249,2586,40,Big Muddy Brewing,Blueberry Blonde,Fruit / Vegetable Beer,12,0.06,,Murphysboro,IL
250,2585,40,Big Muddy Brewing,Galaxy IPA,American IPA,16,0.075,60,Murphysboro,IL
251,643,519,Big River Brewing Company,Big River Pilsner,Czech Pilsener,12,0.05,32,Chattanooga,TN
252,632,519,Big River Brewing Company,House Brand IPA,American IPA,12,0.06,55,Chattanooga,TN
253,1714,336,Big Sky Brewing Company,Big Sky IPA,American IPA,12,0.062,65,Missoula,MT
254,1713,336,Big Sky Brewing Company,Scape Goat Pale Ale,English Pale Ale,12,0.05,40,Missoula,MT
255,1712,336,Big Sky Brewing Company,Montana Trout Slayer Ale,American Pale Wheat Ale,12,0.05,35,Missoula,MT
256,1711,336,Big Sky Brewing Company,Moose Drool Brown Ale,American Brown Ale,12,0.051,26,Missoula,MT
257,1456,336,Big Sky Brewing Company,Powder Hound Winter Ale,English Strong Ale,12,0.072,60,Missoula,MT
258,767,336,Big Sky Brewing Company,Moose Drool Brown Ale (2011),American Brown Ale,12,0.051,26,Missoula,MT
259,766,336,Big Sky Brewing Company,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,12,0.05,35,Missoula,MT
260,579,336,Big Sky Brewing Company,Big Sky IPA (2012),American IPA,12,0.062,65,Missoula,MT
261,168,336,Big Sky Brewing Company,Summer Honey,American Blonde Ale,12,0.047,,Missoula,MT
262,159,336,Big Sky Brewing Company,Scape Goat Pale Ale (2010),English Pale Ale,12,0.05,40,Missoula,MT
263,35,336,Big Sky Brewing Company,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12,0.05,35,Missoula,MT
