id,brewery_id,beer_name,style,ounces,abv,ibu,brewery_name,city,state
2324,60,Cast Iron Oatmeal Brown,American Brown Ale,12,0.055,,4 Hands Brewing Company,Saint Louis,MO
2288,60,Reprise Centennial Red,American Amber / Red Ale,12,0.06,,4 Hands Brewing Company,Saint Louis,MO
2287,60,Alter Ego,American Black Ale,12,0.055,,4 Hands Brewing Company,Saint Louis,MO
2286,60,Divided Sky,American IPA,12,0.065,,4 Hands Brewing Company,Saint Louis,MO
2285,60,Resurrected,American IPA,12,0.065,,4 Hands Brewing Company,Saint Louis,MO
1870,60,Contact High,American Pale Wheat Ale,12,0.05,28,4 Hands Brewing Company,Saint Louis,MO
2603,27,Galaxyfest,American IPA,16,0.065,,450 North Brewing Company,Columbus,IN
2602,27,Citrafest,American IPA,16,0.05,45,450 North Brewing Company,Columbus,IN
2220,27,Barn Yeti,Belgian Strong Dark Ale,16,0.09,,450 North Brewing Company,Columbus,IN
2219,27,Scarecrow,American IPA,16,0.069,65,450 North Brewing Company,Columbus,IN
2218,27,Ironman,English Strong Ale,16,0.09,50,450 North Brewing Company,Columbus,IN
2217,27,Honey Kolsch,Kölsch,16,0.046,15,450 North Brewing Company,Columbus,IN
2216,27,Copperhead Amber,Belgian Dark Ale,16,0.052,18,450 North Brewing Company,Columbus,IN
972,481,Rude Parrot IPA,American IPA,16,0.059,75,7 Seas Brewing Company,Gig Harbor,WA
866,481,British Pale Ale (2010),English Pale Ale,16,0.054,30,7 Seas Brewing Company,Gig Harbor,WA
48,481,British Pale Ale,English Pale Ale,16,0.054,30,7 Seas Brewing Company,Gig Harbor,WA
47,481,Ballz Deep Double IPA,American Double / Imperial IPA,16,0.084,82,7 Seas Brewing Company,Gig Harbor,WA
1583,373,Wolfman's Berliner,Berliner Weissbier,12,0.038,,7venth Sun,Dunedin,FL
1165,462,Colorado Native,American Amber / Red Lager,12,0.055,26,AC Golden Brewing Company,Golden,CO
431,462,Colorado Native (2011),American Amber / Red Lager,12,0.055,26,AC Golden Brewing Company,Golden,CO
516,533,Jockamo IPA,American IPA,12,0.065,52,Abita Brewing Company,Abita Springs,LA
515,533,Purple Haze,Fruit / Vegetable Beer,12,0.042,13,Abita Brewing Company,Abita Springs,LA
514,533,Abita Amber,American Amber / Red Lager,12,0.045,17,Abita Brewing Company,Abita Springs,LA
2540,62,Citra Ass Down,American IPA,16,0.082,68,Against The Grain Brewery,Louisville,KY
2539,62,The Brown Note,American Brown Ale,16,0.05,20,Against The Grain Brewery,Louisville,KY
2686,1,Citra Ass Down,American Double / Imperial IPA,16,0.08,68,Against the Grain Brewery,Louisville,KY
2685,1,London Balling,English Barleywine,16,0.125,80,Against the Grain Brewery,Louisville,KY
2684,1,35 K,Milk / Sweet Stout,16,0.077,25,Against the Grain Brewery,Louisville,KY
2683,1,A Beer,American Pale Ale (APA),16,0.042,42,Against the Grain Brewery,Louisville,KY
2682,1,Rules are Rules,German Pilsener,16,0.05,25,Against the Grain Brewery,Louisville,KY
2681,1,Flesh Gourd'n,Pumpkin Ale,16,0.066,21,Against the Grain Brewery,Louisville,KY
2680,1,Sho'nuff,Belgian Pale Ale,16,0.04,13,Against the Grain Brewery,Louisville,KY
2679,1,Bloody Show,American Pilsner,16,0.055,17,Against the Grain Brewery,Louisville,KY
2678,1,Rico Sauvin,American Double / Imperial IPA,16,0.076,68,Against the Grain Brewery,Louisville,KY
2677,1,Coq de la Marche,Saison / Farmhouse Ale,16,0.051,38,Against the Grain Brewery,Louisville,KY
2676,1,Kamen Knuddeln,American Wild Ale,16,0.065,,Against the Grain Brewery,Louisville,KY
2675,1,Pile of Face,American IPA,16,0.06,65,Against the Grain Brewery,Louisville,KY
2674,1,The Brown Note,English Brown Ale,16,0.05,20,Against the Grain Brewery,Louisville,KY
1594,367,Maylani's Coconut Stout,American Stout,16,0.053,35,Airways Brewing Company,Kent,WA
1162,367,Oatmeal PSA,American Pale Ale (APA),16,0.05,35,Airways Brewing Company,Kent,WA
1137,367,Pre Flight Pilsner,American Pilsner,16,0.052,33,Airways Brewing Company,Kent,WA
2403,117,P-Town Pilsner,American Pilsner,12,0.04,20,Alameda Brewing,Portland,OR
2402,117,Klickitat Pale Ale,American Pale Ale (APA),12,0.053,36,Alameda Brewing,Portland,OR
2401,117,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12,0.082,103,Alameda Brewing,Portland,OR
1921,270,Freeride APA,American Pale Ale (APA),12,0.053,40,Alaskan Brewing Company,Juneau,AK
1920,270,Alaskan Amber,Altbier,12,0.053,18,Alaskan Brewing Company,Juneau,AK
2501,73,Hopalicious,American Pale Ale (APA),12,0.057,,Ale Asylum,Madison,WI
1535,388,Kentucky Kölsch,Kölsch,16,0.043,,Alltech's Lexington Brewing Company,Lexington,KY
1149,388,Kentucky IPA,American IPA,16,0.065,,Alltech's Lexington Brewing Company,Lexington,KY
1474,401,Dusty Trail Pale Ale,American Pale Ale (APA),16,0.054,,Amnesia Brewing Company,Washougal,WA
1473,401,Damnesia,American IPA,16,0.062,,Amnesia Brewing Company,Washougal,WA
837,401,Desolation IPA,American IPA,16,0.062,43,Amnesia Brewing Company,Washougal,WA
2592,35,Liberty Ale,American IPA,12,0.059,,Anchor Brewing Company,San Francisco,CA
2578,35,IPA,American IPA,12,0.065,,Anchor Brewing Company,San Francisco,CA
2577,35,Summer Wheat,American Pale Wheat Ale,12,0.045,,Anchor Brewing Company,San Francisco,CA
2103,35,California Lager,American Amber / Red Lager,12,0.049,,Anchor Brewing Company,San Francisco,CA
2102,35,Brotherhood Steam,California Common / Steam Beer,12,0.056,,Anchor Brewing Company,San Francisco,CA
2291,171,Blood Orange Gose,Gose,12,0.042,,Anderson Valley Brewing Company,Boonville,CA
1818,171,Keebarlin' Pale Ale,American Pale Ale (APA),12,0.042,,Anderson Valley Brewing Company,Boonville,CA
1738,171,"the Kimmie, the Yink and the Holy Gose",Gose,12,0.048,,Anderson Valley Brewing Company,Boonville,CA
1563,171,Fall Hornin',Pumpkin Ale,12,0.06,,Anderson Valley Brewing Company,Boonville,CA
1520,171,Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,Anderson Valley Brewing Company,Boonville,CA
1350,171,Summer Solstice,Cream Ale,12,0.056,4,Anderson Valley Brewing Company,Boonville,CA
1327,171,Hop Ottin' IPA,American IPA,12,0.07,80,Anderson Valley Brewing Company,Boonville,CA
1326,171,Boont Amber Ale,American Amber / Red Ale,12,0.058,15,Anderson Valley Brewing Company,Boonville,CA
1221,171,Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,Anderson Valley Brewing Company,Boonville,CA
1217,171,El Steinber Dark Lager,Vienna Lager,16,0.055,25,Anderson Valley Brewing Company,Boonville,CA
811,171,Boont Amber Ale (2010),American Amber / Red Ale,12,0.058,15,Anderson Valley Brewing Company,Boonville,CA
753,171,Summer Solstice Cerveza Crema (2009),Cream Ale,12,0.056,4,Anderson Valley Brewing Company,Boonville,CA
572,171,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12,0.057,13,Anderson Valley Brewing Company,Boonville,CA
523,171,Winter Solstice,Winter Warmer,12,0.069,6,Anderson Valley Brewing Company,Boonville,CA
367,171,Hop Ottin' IPA (2011),American IPA,12,0.07,80,Anderson Valley Brewing Company,Boonville,CA
78,171,Boont Amber Ale (2011),American Amber / Red Ale,12,0.058,15,Anderson Valley Brewing Company,Boonville,CA
77,171,Summer Solstice (2011),Cream Ale,12,0.056,4,Anderson Valley Brewing Company,Boonville,CA
76,171,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12,0.055,28,Anderson Valley Brewing Company,Boonville,CA
2337,146,Charlie's Rye IPA,American IPA,16,0.06,,Angry Minnow,Hayward,WI
410,542,River Pig Pale Ale,American Pale Ale (APA),16,0.054,,Angry Minnow Brewing Company,Hayward,WI
409,542,Oaky's Oatmeal Stout,Oatmeal Stout,16,0.047,,Angry Minnow Brewing Company,Hayward,WI
1294,434,Angry Orchard Apple Ginger,Cider,16,0.05,,Angry Orchard Cider Company,Cincinnati,OH
1293,434,Angry Orchard Crisp Apple,Cider,16,0.05,,Angry Orchard Cider Company,Cincinnati,OH
1292,434,Angry Orchard Crisp Apple,Cider,12,0.05,,Angry Orchard Cider Company,Cincinnati,OH
2207,193,Golden One,Belgian Pale Ale,12,0.068,,Anthem Brewing Company,Oklahoma City,OK
2040,193,Arjuna,Witbier,12,0.06,,Anthem Brewing Company,Oklahoma City,OK
2039,193,Uroboros,American Stout,12,0.085,,Anthem Brewing Company,Oklahoma City,OK
2511,69,Long Leaf,American IPA,16,0.071,75,Appalachian Mountain Brewery,Boone,NC
2510,69,Honey Badger Blonde,American Blonde Ale,16,0.047,19,Appalachian Mountain Brewery,Boone,NC
2509,69,Porter (a/k/a Black Gold Porter),American Porter,16,0.06,23,Appalachian Mountain Brewery,Boone,NC
413,541,Sky High Rye,American Pale Ale (APA),12,0.06,55,Arcadia Brewing Company,Battle Creek,MI
390,541,Whitsun,American Pale Wheat Ale,12,0.062,17,Arcadia Brewing Company,Battle Creek,MI
735,513,On-On Ale (2008),American Pale Ale (APA),12,0.052,,Arctic Craft Brewery,Colorado Springs,CO
1333,426,Quakertown Stout,American Double / Imperial Stout,12,0.092,50,Armadillo Ale Works,Denton,TX
1332,426,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12,0.051,20,Armadillo Ale Works,Denton,TX
1172,461,Mo's Gose,Gose,16,0.052,10,Armstrong Brewing Company,South San Francisco,CA
1322,429,Green Bullet Organic India Pale Ale,American IPA,16,0.07,45,Asher Brewing Company,Boulder,CO
550,528,Rocket Girl,Kölsch,12,0.032,27,Asheville Brewing Company,Asheville,NC
429,528,Ninja Porter,American Porter,12,0.053,26,Asheville Brewing Company,Asheville,NC
428,528,Shiva IPA,American IPA,12,0.06,69,Asheville Brewing Company,Asheville,NC
1640,353,Aslan Kölsch,Kölsch,16,0.048,,Aslan Brewing Company,Bellingham,WA
1639,353,Aslan IPA,American IPA,16,0.077,,Aslan Brewing Company,Bellingham,WA
1638,353,Aslan Amber,American Amber / Red Ale,16,0.077,,Aslan Brewing Company,Bellingham,WA
597,523,This Season's Blonde,American Blonde Ale,12,0.056,27,Aspen Brewing Company,Aspen,CO
596,523,Independence Pass Ale,American IPA,12,0.07,67,Aspen Brewing Company,Aspen,CO
1580,374,Trolley Stop Stout,American Stout,12,0.057,40,Astoria Brewing Company,Astoria,OR
980,374,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12,0.082,138,Astoria Brewing Company,Astoria,OR
979,374,Poop Deck Porter,American Porter,12,0.062,35,Astoria Brewing Company,Astoria,OR
978,374,Old Red Beard Amber Ale,American Amber / Red Ale,12,0.06,35,Astoria Brewing Company,Astoria,OR
2503,72,Hop A-Peel,American Double / Imperial IPA,16,0.075,115,Atwater Brewery,Detroit,MI
2502,72,Vanilla Java Porter,American Porter,16,0.055,12,Atwater Brewery,Detroit,MI
2495,72,Michelada,Fruit / Vegetable Beer,16,0.052,,Atwater Brewery,Detroit,MI
534,72,Dirty Blonde Ale,American Blonde Ale,12,0.045,8,Atwater Brewery,Detroit,MI
528,72,Grand Circus IPA,American IPA,12,0.05,62,Atwater Brewery,Detroit,MI
527,72,Atwater's Lager,Munich Helles Lager,12,0.05,12,Atwater Brewery,Detroit,MI
1409,413,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16,0.07,,Austin Beerworks,Austin,TX
343,413,Fire Eagle IPA,American IPA,12,0.062,,Austin Beerworks,Austin,TX
342,413,Peacemaker,American Pale Ale (APA),12,0.051,,Austin Beerworks,Austin,TX
341,413,Pearl-Snap,German Pilsener,12,0.053,,Austin Beerworks,Austin,TX
340,413,Black Thunder,Schwarzbier,12,0.052,,Austin Beerworks,Austin,TX
2589,37,Raja,American Double / Imperial IPA,12,0.08,,Avery Brewing Company,Boulder,CO
2546,37,Perzik Saison,Saison / Farmhouse Ale,12,0.064,,Avery Brewing Company,Boulder,CO
146,37,Avery Joe’s Premium American Pilsner,German Pilsener,12,0.047,42,Avery Brewing Company,Boulder,CO
108,37,White Rascal,Witbier,12,0.056,10,Avery Brewing Company,Boulder,CO
107,37,Avery India Pale Ale,American IPA,12,0.063,69,Avery Brewing Company,Boulder,CO
106,37,Ellie’s Brown Ale,American Brown Ale,12,0.055,17,Avery Brewing Company,Boulder,CO
1620,360,Pumpkin Beast,Pumpkin Ale,12,0.062,17,Aviator Brewing Company,Fuquay-Varina,NC
1579,360,OktoberBeast,Märzen / Oktoberfest,12,0.072,22,Aviator Brewing Company,Fuquay-Varina,NC
1228,360,Mad Beach,American Pale Wheat Ale,12,0.048,23,Aviator Brewing Company,Fuquay-Varina,NC
705,360,Hog Wild India Pale Ale,American IPA,12,0.067,,Aviator Brewing Company,Fuquay-Varina,NC
704,360,Devils Tramping Ground Tripel,Tripel,12,0.092,5,Aviator Brewing Company,Fuquay-Varina,NC
702,360,Hot Rod Red,American Amber / Red Ale,12,0.061,41,Aviator Brewing Company,Fuquay-Varina,NC
2058,235,Palate Mallet,American Double / Imperial IPA,12,0.086,,Back East Brewing Company,Bloomfield,CT
1483,235,Back East Porter,American Porter,12,0.06,,Back East Brewing Company,Bloomfield,CT
1426,235,Back East Golden Ale,American Blonde Ale,12,0.049,,Back East Brewing Company,Bloomfield,CT
1132,235,Misty Mountain IPA,American IPA,12,0.07,,Back East Brewing Company,Bloomfield,CT
1131,235,Back East Ale,American Amber / Red Ale,12,0.05,,Back East Brewing Company,Bloomfield,CT
1876,286,Truck Stop Honey Brown Ale,English Brown Ale,12,0.06,,Back Forty Beer Company,Gadsden,AL
1875,286,Naked Pig Pale Ale,American Pale Ale (APA),12,0.06,43,Back Forty Beer Company,Gadsden,AL
966,483,Topcutter India Pale Ale,American IPA,12,0.068,70,Bale Breaker Brewing Company,Yakima,WA
965,483,Field 41 Pale Ale,American Pale Ale (APA),12,0.044,38,Bale Breaker Brewing Company,Yakima,WA
2593,34,Grapefruit Sculpin,American IPA,12,0.07,,Ballast Point Brewing Company,San Diego,CA
2105,34,Even Keel,American IPA,12,0.038,40,Ballast Point Brewing Company,San Diego,CA
1401,34,Ballast Point Pale Ale,Kölsch,12,0.052,23,Ballast Point Brewing Company,San Diego,CA
1400,34,Big Eye India Pale Ale,American IPA,12,0.07,75,Ballast Point Brewing Company,San Diego,CA
1019,34,Longfin Lager,Munich Helles Lager,12,0.046,,Ballast Point Brewing Company,San Diego,CA
1018,34,Sculpin IPA,American IPA,12,0.07,70,Ballast Point Brewing Company,San Diego,CA
1776,318,All Nighter Ale,Extra Special / Strong Bitter (ESB),12,0.045,,Banner Beer Company,Williamsburg,MA
1644,318,Banner American Rye,Rye Beer,12,0.045,20,Banner Beer Company,Williamsburg,MA
1643,318,Banner American Ale,American Amber / Red Ale,12,0.035,45,Banner Beer Company,Williamsburg,MA
2618,20,Thai.p.a,American IPA,16,0.07,46,Bare Hands Brewery,Granger,IN
2005,251,Barrio Blanco,American IPA,12,0.06,60,Barrio Brewing Company,Tucson,AZ
1343,251,Barrio Tucson Blonde,American Blonde Ale,12,0.045,,Barrio Brewing Company,Tucson,AZ
2404,116,Hop in the ‘Pool Helles,American Pilsner,12,0.049,22,Base Camp Brewing Co.,Portland,OR
2323,116,Ultra Gnar Gnar IPA,American IPA,12,0.067,60,Base Camp Brewing Co.,Portland,OR
2189,116,In-Tents India Pale Lager,American Pale Lager,12,0.068,62,Base Camp Brewing Co.,Portland,OR
2188,116,Lost Meridian Wit,Witbier,12,0.05,20,Base Camp Brewing Co.,Portland,OR
2187,116,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12,0.051,45,Base Camp Brewing Co.,Portland,OR
1966,258,Wagon Party,California Common / Steam Beer,12,0.054,55,Bauhaus Brew Labs,Minneapolis,MN
1965,258,Sky-Five,American IPA,12,0.067,70,Bauhaus Brew Labs,Minneapolis,MN
1964,258,Stargrazer,Schwarzbier,12,0.05,28,Bauhaus Brew Labs,Minneapolis,MN
1963,258,Wonderstuff,German Pilsener,12,0.054,48,Bauhaus Brew Labs,Minneapolis,MN
1855,292,Tarnation California-Style Lager,California Common / Steam Beer,12,0.053,,Baxter Brewing Company,Lewiston,ME
1778,292,On the Count of 3 (2015),Hefeweizen,16,0.07,42,Baxter Brewing Company,Lewiston,ME
1209,292,Summer Swelter,American Pale Wheat Ale,12,0.047,,Baxter Brewing Company,Lewiston,ME
954,292,Phantom Punch Winter Stout,Foreign / Export Stout,12,0.068,,Baxter Brewing Company,Lewiston,ME
910,292,Hayride Autumn Ale,Rye Beer,12,0.066,,Baxter Brewing Company,Lewiston,ME
707,292,Celsius Summer Ale (2012),American Pale Wheat Ale,12,0.047,,Baxter Brewing Company,Lewiston,ME
533,292,Amber Road,American Amber / Red Ale,12,0.055,35,Baxter Brewing Company,Lewiston,ME
183,292,Pamola Xtra Pale Ale,American Pale Ale (APA),12,0.049,28,Baxter Brewing Company,Lewiston,ME
182,292,Stowaway IPA,American IPA,12,0.069,69,Baxter Brewing Company,Lewiston,ME
1806,306,Hoptopus Double IPA,American Double / Imperial IPA,16,0.088,108,Beach Brewing Company,Virginia Beach,VA
2435,103,Watermelon Ale,Fruit / Vegetable Beer,12,0.05,10,Beer Works Brewery,Lowell,MA
2423,103,Fenway American Pale Ale,American Pale Ale (APA),12,0.058,45,Beer Works Brewery,Lowell,MA
2420,103,Back Bay IPA,American IPA,12,0.068,85,Beer Works Brewery,Lowell,MA
2419,103,Bunker Hill Blueberry Ale,Other,12,0.048,16,Beer Works Brewery,Lowell,MA
2494,76,Oberon,American Pale Wheat Ale,12,0.058,,Bell's Brewery,Kalamazoo,MI
2325,76,Smitten,Rye Beer,16,0.06,,Bell's Brewery,Kalamazoo,MI
2022,76,Winter White,Witbier,16,0.05,,Bell's Brewery,Kalamazoo,MI
1989,76,Oberon,American Pale Wheat Ale,16,0.058,,Bell's Brewery,Kalamazoo,MI
1988,76,Two Hearted,American IPA,16,0.07,,Bell's Brewery,Kalamazoo,MI
1955,76,Best Brown,American Brown Ale,16,0.058,,Bell's Brewery,Kalamazoo,MI
2558,53,Moar,English India Pale Ale (IPA),12,0.044,44,Bent Brewstillery,Roseville,MN
2557,53,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16,0.083,,Bent Brewstillery,Roseville,MN
2556,53,Nordic Blonde,American Blonde Ale,12,0.057,27,Bent Brewstillery,Roseville,MN
2496,75,Cold Press,American Black Ale,12,0.06,,Bent Paddle Brewing Company,Duluth,MN
2410,75,Harness the Winter,American IPA,12,0.072,87,Bent Paddle Brewing Company,Duluth,MN
1902,75,14° ESB,Extra Special / Strong Bitter (ESB),12,0.056,32,Bent Paddle Brewing Company,Duluth,MN
1901,75,Bent Hop Golden IPA,American IPA,12,0.062,68,Bent Paddle Brewing Company,Duluth,MN
1261,75,Bent Paddle Black Ale,American Black Ale,12,0.06,34,Bent Paddle Brewing Company,Duluth,MN
1253,75,Venture Pils,German Pilsener,12,0.05,38,Bent Paddle Brewing Company,Duluth,MN
1900,278,Lost Sailor IPA,English India Pale Ale (IPA),12,0.055,40,Berkshire Brewing Company,South Deerfield,MA
1317,278,Steel Rail Extra Pale Ale,American Pale Ale (APA),12,0.053,20,Berkshire Brewing Company,South Deerfield,MA
1158,463,La Frontera Premium IPA,American IPA,12,0.078,,Big Bend Brewing Company,Alpine,TX
1157,463,Tejas Lager,Czech Pilsener,12,0.047,,Big Bend Brewing Company,Alpine,TX
1156,463,Number 22 Porter,American Porter,12,0.064,,Big Bend Brewing Company,Alpine,TX
1155,463,Big Bend Hefeweizen,Hefeweizen,12,0.056,,Big Bend Brewing Company,Alpine,TX
1154,463,Terlingua Gold,American Blonde Ale,12,0.06,,Big Bend Brewing Company,Alpine,TX
2104,220,Aprè Shred,American Strong Ale,16,0.081,17,Big Choice Brewing,Broomfield,CO
1762,220,Hemlock Double IPA,American Double / Imperial IPA,12,0.095,104,Big Choice Brewing,Broomfield,CO
1422,220,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16,0.041,,Big Choice Brewing,Broomfield,CO
1067,220,Disconnected Red,American Amber / Red Ale,16,0.067,85,Big Choice Brewing,Broomfield,CO
1003,477,Big Elm IPA,American IPA,12,0.07,,Big Elm Brewing,Sheffield,MA
1002,477,Gerry Dog Stout,American Stout,12,0.065,,Big Elm Brewing,Sheffield,MA
1001,477,413 Farmhouse Ale,Saison / Farmhouse Ale,12,0.06,,Big Elm Brewing,Sheffield,MA
2639,8,Dark Star,American Stout,16,0.08,54,Big Lake Brewing,Holland,MI
2469,8,Ryecoe,American IPA,16,0.062,,Big Lake Brewing,Holland,MI
2586,40,Blueberry Blonde,Fruit / Vegetable Beer,12,0.06,,Big Muddy Brewing,Murphysboro,IL
2585,40,Galaxy IPA,American IPA,16,0.075,60,Big Muddy Brewing,Murphysboro,IL
643,519,Big River Pilsner,Czech Pilsener,12,0.05,32,Big River Brewing Company,Chattanooga,TN
632,519,House Brand IPA,American IPA,12,0.06,55,Big River Brewing Company,Chattanooga,TN
1714,336,Big Sky IPA,American IPA,12,0.062,65,Big Sky Brewing Company,Missoula,MT
1713,336,Scape Goat Pale Ale,English Pale Ale,12,0.05,40,Big Sky Brewing Company,Missoula,MT
1712,336,Montana Trout Slayer Ale,American Pale Wheat Ale,12,0.05,35,Big Sky Brewing Company,Missoula,MT
1711,336,Moose Drool Brown Ale,American Brown Ale,12,0.051,26,Big Sky Brewing Company,Missoula,MT
1456,336,Powder Hound Winter Ale,English Strong Ale,12,0.072,60,Big Sky Brewing Company,Missoula,MT
767,336,Moose Drool Brown Ale (2011),American Brown Ale,12,0.051,26,Big Sky Brewing Company,Missoula,MT
766,336,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,12,0.05,35,Big Sky Brewing Company,Missoula,MT
579,336,Big Sky IPA (2012),American IPA,12,0.062,65,Big Sky Brewing Company,Missoula,MT
168,336,Summer Honey,American Blonde Ale,12,0.047,,Big Sky Brewing Company,Missoula,MT
159,336,Scape Goat Pale Ale (2010),English Pale Ale,12,0.05,40,Big Sky Brewing Company,Missoula,MT
35,336,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12,0.05,35,Big Sky Brewing Company,Missoula,MT
34,336,Moose Drool Brown Ale (2009),American Brown Ale,12,0.051,26,Big Sky Brewing Company,Missoula,MT
2096,221,Arcus IPA,American IPA,12,0.069,81,Big Storm Brewing Company,Odessa,FL
2095,221,Wavemaker,American Amber / Red Ale,12,0.058,38,Big Storm Brewing Company,Odessa,FL
1257,444,Jack Pine Savage,American Pale Ale (APA),16,0.053,43,Big Wood Brewery,Vadnais Heights,MN
1256,444,Forest Fire Imperial Smoked Rye,Rye Beer,16,0.099,85,Big Wood Brewery,Vadnais Heights,MN
1255,444,Bad Axe Imperial IPA,American Double / Imperial IPA,16,0.098,76,Big Wood Brewery,Vadnais Heights,MN
986,444,Morning Wood,Oatmeal Stout,16,0.055,35,Big Wood Brewery,Vadnais Heights,MN
985,444,Bark Bite IPA,American IPA,16,0.066,50,Big Wood Brewery,Vadnais Heights,MN
2508,70,Jalapeno Pale Ale,American Pale Ale (APA),16,0.055,45,Birdsong Brewing Company,Charlotte,NC
1441,407,Blown Out Brown,American Brown Ale,12,0.052,,Bitter Root Brewing,Hamilton,MT
