94.countyname,laudrdale,lauderdale
231.hospitalname,callahan eye foundation hospital,dekalb regional medical center
256.hospitalname,callahan eye foundation hospital,southwest alabama medical center
40.measurename,usrgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
816.measurename,pnumonia patients given smoking cessation advice/counseling,pneumonia patients given smoking cessation advice/counseling
686.stateavg,al_scip-qinf-2,al_scip-inf-2
701.hospitalname,communidty hospital inc,community hospital inc
67.measurename,surgery patients needing hair removed from the surgical area before surery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
233.countyname,dde kalb,de kalb
300.hospitalname,callahan eye fsoundation hospital,callahan eye foundation hospital
44.emergencyservice,es,yes
369.address1,1530  us highway 43,1530 u s highway 43
627.address1,2000 pepperell arkway,2000 pepperell parkway
287.hospitalowner,voluntary nonprofit - church,voluntary non-profit - church
679.emergencyservice,es,yes
359.condition,heart ttack,heart attack
257.phonenumber,334666221,3346366221
511.stateavg,al_sci-inf-2,al_scip-inf-2
20.hospitalname,callahan eye foundation hospital,southeast alabama medical center
279.hospitalname,callahan eye foundation hospital,shelby baptist medical center
826.emergencyservice,yers,yes
229.hospitalname,callahan eye foundation hospital,dekalb regional medical center
122.hospitalname,crenhsaw community hospital,crenshaw community hospital
803.city,adsden,gadsden
349.measurename,heart attack patients giveno aspirin at arrival,heart attack patients given aspirin at arrival
235.hospitalname,deckalb regional medical center,dekalb regional medical center
980.condition,surgical inflection prevention,surgical infection prevention
845.phonenumber,2057552g500,2057552500
782.countyname,maison,madison
196.countyname,jeffersno,jefferson
761.stateavg,al_sci-inf-2,al_scip-inf-2
9.hospitalname,callahan eye foundation hospital,helen keller memorial hospital
778.measurename,heart attakc patients given aspirin at arrival,heart attack patients given aspirin at arrival
747.phonenumber,334222866,3342228466
177.stateavg,al_hf-t1,al_hf-1
866.zipcode,3570,35570
274.stateavg,alami-5,al_ami-5
398.countyname,autauzga,autauga
851.hospitalowner,voluntary non-profit - pprivate,voluntary non-profit - private
770.address1,t301 east 18th st,301 east 18th st
340.emergencyservice,es,yes
255.hospitalname,callahan eye foundation hospital,southwest alabama medical center
233.city,fofrt payne,fort payne
72.stateavg,a_ami-3,al_ami-3
155.hospitalname,callahan eye foundation hospital,hartselle medical center
95.zipcode,35233,36467
851.hospitalname,chillton medical center,chilton medical center
432.measurename,surgery patients who were taking heart drugs called beta blockers before caoming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
451.measurename,heart attack patinets given aspirin at arrival,heart attack patients given aspirin at arrival
236.measurename,pneumonia patients assessed and given influenza vaccinatino,pneumonia patients assessed and given influenza vaccination
957.hospitalowner,propretary,proprietary
430.hospitalname,coosa valley medical centr,coosa valley medical center
13.emergencyservice,es,yes
101.hospitalname,callahan eye foundation hospital,mizell memorial hospital
822.stateavg,al_scip-inf-e2,al_scip-inf-2
45.measurename,heart attack patients givenaspirin at arrival,heart attack patients given aspirin at arrival
495.phonenumber,256927531,2569275531
466.emergencyservice,yebs,yes
11.measurename,heart attack patients given ace inhibitor or arb for left ventricular sysotlic dysfunction (lvsd),heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
305.hospitalname,callhaan eye foundation hospital,callahan eye foundation hospital
464.address1,1300 soutbh montgomery avenue,1300 south montgomery avenue
390.measurename,heart failure patients given smoking cessation advice/counselinkg,heart failure patients given smoking cessation advice/counseling
132.hospitalname,crenshaw community hosptial,crenshaw community hospital
463.address1,1300 southy montgomery avenue,1300 south montgomery avenue
232.hospitalname,callahan eye foundation hospital,dekalb regional medical center
903.address1,600 south third stret,600 south third street
44.condition,surgicali nfection prevention,surgical infection prevention
458.zipcode,5660,35660
275.hospitalname,callahan eye foundation hospital,shelby baptist medical center
304.hospitalname,ckallahan eye foundation hospital,callahan eye foundation hospital
814.city,adsden,gadsden
596.hospitalname,elba general hosfpital,elba general hospital
98.zipcode,35233,36467
6.countyname,mjefferson,jefferson
306.hospitalname,callahan eye fouyndation hospital,callahan eye foundation hospital
118.phonenumber,3344m933541,3344933541
107.hospitalowner,voluntary non-pfrofit - private,voluntary non-profit - private
210.zipcode,5235,35235
252.hospitalname,callahan eye foundation hospital,southwest alabama medical center
97.hospitalname,callahan eye foundation hospital,mizell memorial hospital
249.hospitalname,callahan eye foundation hospital,southwest alabama medical center
323.stateavg,al_f-3,al_hf-3
465.emergencyservice,yse,yes
474.measurename,heart faiylure patients given discharge instructions,heart failure patients given discharge instructions
291.countyname,sphelby,shelby
158.hospitalname,callahan eye foundation hospital,hartselle medical center
665.hospitalowner,government  local,government - local
456.zipcode,35606,35660
628.countyname,lee***,lee
769.stateavg,al_sicp-inf-2,al_scip-inf-2
459.zipcode,35t660,35660
567.zipcode,3u6854,36854
12.emergencyservice,es,yes
915.city,gdsden,gadsden
775.measurename,children who received reliever medication while hospitalized fora sthma,children who received reliever medication while hospitalized for asthma
254.hospitalname,callahan eye foundation hospital,southwest alabama medical center
278.hospitalname,callahan eye foundation hospital,shelby baptist medical center
750.zipcode,36402,36420
290.countyname,shleby,shelby
151.condition,heartk attack,heart attack
819.measurename,pneumonia patiets assessed and given influenza vaccination,pneumonia patients assessed and given influenza vaccination
587.zipcode,63854,36854
270.countyname,sheklby,shelby
24.city,birmingham,dothan
309.hospitalname,callahan eye foundation hosptal,callahan eye foundation hospital
230.hospitalname,callahan eye foundation hospital,dekalb regional medical center
220.measurename,heart attack patients given aspirin at arrval,heart attack patients given aspirin at arrival
536.stateavg,al_scip-inf-d2,al_scip-inf-2
583.measurename,pneumonia patients assessed and giaven influenza vaccination,pneumonia patients assessed and given influenza vaccination
19.hospitalname,callahan eye foundation hospital,helen keller memorial hospital
754.condition,epneumonia,pneumonia
270.measurename,heart attack patients given aspirin atv arrival,heart attack patients given aspirin at arrival
68.condition,surgical infectio nprevention,surgical infection prevention
508.city,ycentre,centre
102.hospitalname,callahan eye foundation hospital,mizell memorial hospital
184.city,untersville,guntersville
876.city,khamilton,hamilton
378.countyname,mairon,marion
298.hospitalname,callahan eye foundation hospital***,callahan eye foundation hospital
303.hospitalname,callahan eye foudation hospital,callahan eye foundation hospital
11.phonenumber,25638k64556,2563864556
154.hospitalname,callahan eye foundation hospital,hartselle medical center
271.countyname,sheliby,shelby
13.phonenumber,256864556,2563864556
304.zipcode,5233,35233
680.city,irmingham,birmingham
734.countyname,cullman***,cullman
711.stateavg,al_scip-infv-2,al_scip-inf-2
793.countyname,maadison,madison
892.address1,1653 temlpe avenue north,1653 temple avenue north
121.countyname,renshaw,crenshaw
461.address1,1300 south montgomrey avenue,1300 south montgomery avenue
10.emergencyservice,ys,yes
517.measurename,heart attack patients given aspirins at arrival,heart attack patients given aspirin at arrival
273.countyname,shxelby,shelby
988.hospitalname,st vincnts blount,st vincents blount
20.city,birmingham,dothan
377.measurename,surgery patients needing hair removed from the surigcal area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
120.hospitalowner,government - feedral,government - federal
118.condition,surgical infeciton prevention,surgical infection prevention
467.measurename,heart attack patqients given aspirin at arrival,heart attack patients given aspirin at arrival
789.emergencyservice,qyes,yes
380.zipcode,63617,36617
190.countyname,marhsall,marshall
462.address1,1300 sovuth montgomery avenue,1300 south montgomery avenue
586.stateavg,al_uscip-inf-2,al_scip-inf-2
909.phonenumber,256543n5200,2565435200
251.hospitalname,callahan eye foundation hospital,southwest alabama medical center
302.condition,heart failuer,heart failure
78.stateavg,al_h-2,al_hf-2
157.hospitalname,callahan eye foundation hospital,hartselle medical center
258.hospitalname,callahan eye foundation hospital,southwest alabama medical center
595.emergencyservice,ykes,yes
483.address1,12 hospital ave,126 hospital ave
96.zipcode,35233,36467
98.hospitalname,callahan eye foundation hospital,mizell memorial hospital
180.hospitalname,marshall medical cetner north,marshall medical center north
477.address1,126 hospictal ave,126 hospital ave
153.hospitalname,callahan eye foundation hospital,hartselle medical center
657.city,wedoqwee,wedowee
737.address1,1912 alabama higway 157,1912 alabama highway 157
454.zipcode,36560,35660
248.hospitalname,callahan eye foundation hospital,southwest alabama medical center
721.measurename,heart attack patients given beta bluocker at discharge,heart attack patients given beta blocker at discharge
3.city,brmingham,birmingham
636.stateavg,al_scip-inf2-,al_scip-inf-2
23.city,birmingham,dothan
761.condition,suorgical infection prevention,surgical infection prevention
10.phonenumber,5263864556,2563864556
100.zipcode,35233,36467
75.address1,2v05 marengo street,205 marengo street
302.hospitalname,calahan eye foundation hospital,callahan eye foundation hospital
465.hospitalowner,gogvernment - hospital district or authority,government - hospital district or authority
310.city,birmingam,birmingham
86.hospitalowner,voluntarry non-profit - other,voluntary non-profit - other
253.hospitalname,callahan eye foundation hospital,southwest alabama medical center
353.countyname,jeffesron,jefferson
681.countyname,jeferson,jefferson
294.countyname,hselby,shelby
15.phonenumber,x2563864556,2563864556
21.city,birmingham,dothan
737.countyname,crullman,cullman
234.countyname,de xkalb,de kalb
658.phonenumber,2563572111***,2563572111
344.condition,surgical infection prqevention,surgical infection prevention
172.stateavg,al_am-i3,al_ami-3
227.hospitalname,callahan eye foundation hospital,dekalb regional medical center
272.hospitalname,shelby baptist medical cenetr,shelby baptist medical center
162.hospitalowner,promprietary,proprietary
220.hospitalname,callahan eye foundation hospital,dekalb regional medical center
2.city,birmnigham,birmingham
455.zipcode,3560,35660
291.phonenumber,0256208100,2056208100
526.city,monatgomery,montgomery
993.emergencyservice,es,yes
100.hospitalname,callahan eye foundation hospital,mizell memorial hospital
257.hospitalname,callahan eye foundation hospital,southwest alabama medical center
12.phonenumber,2563864565,2563864556
469.condition,heart atack,heart attack
768.hospitalname,tsringfellow memorial hospital,stringfellow memorial hospital
61.stateavg,aal_pn-7,al_pn-7
307.hospitalname,callaan eye foundation hospital,callahan eye foundation hospital
146.measurename,heart attack patients given aspirin at dischargge,heart attack patients given aspirin at discharge
594.stateavg,alv_ami-3,al_ami-3
920.hospitalname,rtiverview regional medical center,riverview regional medical center
463.hospitalowner,goverment - hospital district or authority,government - hospital district or authority
331.measurename,surgery patients who were taking heart drugs called beta blockers before coming to thle hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
465.address1,1300 south ontgomery avenue,1300 south montgomery avenue
611.stateavg,a_scip-inf-2,al_scip-inf-2
216.zipcode,5235,35235
462.hospitalowner,government - hospital edistrict or authority,government - hospital district or authority
99.hospitalname,callahan eye foundation hospital,mizell memorial hospital
827.condition,surgical infection preventoin,surgical infection prevention
156.hospitalname,callahan eye foundation hospital,hartselle medical center
744.condition,heart ttack,heart attack
73.condition,hert attack,heart attack
91.stateavg,al_scip-intf-4,al_scip-inf-4
838.phonenumber,205755250n0,2057552500
872.hospitalowner,voluntary non-profit - prviate,voluntary non-profit - private
250.hospitalname,callahan eye foundation hospital,southwest alabama medical center
464.hospitalowner,government - hospital district or autohrity,government - hospital district or authority
308.hospitalname,calalahan eye foundation hospital,callahan eye foundation hospital
138.condition,surgical inefction prevention,surgical infection prevention
821.hospitalowner,propriteary,proprietary
277.hospitalname,callahan eye foundation hospital,shelby baptist medical center
902.condition,surgical infection preventoin,surgical infection prevention
736.stateavg,a_lscip-inf-2,al_scip-inf-2
16.hospitalname,callahan eye foundation hospital,helen keller memorial hospital
619.hospitalname,east alabama medical center and sfn,east alabama medical center and snf
43.condition,surigcal infection prevention,surgical infection prevention
746.zipcode,3420,36420
25.city,birmingham,dothan
14.phonenumber,2563846556,2563864556
814.countyname,etowha,etowah
496.countyname,cherokeee,cherokee
909.zipcode,3901,35901
261.countyname,clarek,clarke
280.hospitalname,callahan eye foundation hospital,shelby baptist medical center
707.stateavg,a_lpn-6,al_pn-6
311.city,birmngham,birmingham
