249.brewery_name,Big Mudd yBrewing,Big Muddy Brewing
1823.state,OM,MO
780.city,Bouledr,Boulder
1042.state,D,MD
648.brewery_id,408,512
1618.brewery_id,37,307
483.brewery_name,Burn 'Em Brewring,Burn 'Em Brewing
400.brewery_name,Brewey Vivant,Brewery Vivant
1413.state,Z,AZ
398.city,Grad Rapids,Grand Rapids
2221.brewery_name,Twisted X Brewing Cmpany,Twisted X Brewing Company
278.state,A,CA
1661.brewery_name,Pisgah Breiwng Company,Pisgah Brewing Company
404.brewery_name,Bregwery Vivant,Brewery Vivant
397.city,Gand Rapids,Grand Rapids
407.brewery_name,Brewery Vivat,Brewery Vivant
1538.city,Danvillfe,Danville
392.brewery_name,Brewery Vivabnt,Brewery Vivant
406.brewery_name,Brewerny Vivant,Brewery Vivant
570.brewery_name,Cedar Cerek Brewery,Cedar Creek Brewery
2318.state,A,PA
510.brewery_id,408,155
263.state,T,MT
5.brewery_id,717,177
552.city,Atlantic Higxhlands,Atlantic Highlands
409.brewery_name,Breery Vivant,Brewery Vivant
1248.city,incinnati,Cincinnati
1311.brewery_id,357,375
1806.brewery_id,149,419
538.brewery_id,408,192
1565.brewery_name,Oskar lBues Brewery,Oskar Blues Brewery
1499.city,Minrneapolis,Minneapolis
632.brewery_id,408,418
517.brewery_id,408,155
1419.state,KO,OK
2017.brewery_name,Stillmank Beyer Company,Stillmank Beer Company
23.brewery_name,21s Amendment Brewery,21st Amendment Brewery
1798.state,Z,AZ
524.brewery_id,408,497
1779.state,A,CA
531.brewery_id,408,267
1333.brewery_name,Midnight Sun Bewing Company,Midnight Sun Brewing Company
639.brewery_id,408,101
395.brewery_name,Brewery Vivatn,Brewery Vivant
279.state,A,CA
646.brewery_id,408,139
1961.city,Conrode,Conroe
357.state,AM,MA
77.city,ouisville,Louisville
1435.brewery_name,Natian Breewry,Natian Brewery
633.brewery_id,408,418
541.brewery_id,408,192
409.city,Gmrand Rapids,Grand Rapids
1974.brewery_id,15,175
280.state,CrA,CA
254.city,issoula,Missoula
503.brewery_id,408,182
913.state,oAL,AL
522.brewery_id,408,497
1414.state,ZA,AZ
927.brewery_name,Grarpevine Craft Brewery,Grapevine Craft Brewery
399.city,Grand Rapdis,Grand Rapids
1412.state,uAZ,AZ
1105.state,N,MN
751.city,Columpbus,Columbus
1796.state,ZA,AZ
2232.brewery_name,Two Beers kBrewing Company,Two Beers Brewing Company
2361.brewery_name,Wild Onion Brewing oCmpany,Wild Onion Brewing Company
394.brewery_name,rBewery Vivant,Brewery Vivant
562.brewery_id,25,285
2221.brewery_id,83,38
523.brewery_id,408,497
103.state,A,CA
2386.brewery_name,Wiseacre Berwing Company,Wiseacre Brewing Company
1871.brewery_name,Sixpoint Craf tAles,Sixpoint Craft Ales
81.city,Louisvilrle,Louisville
634.brewery_id,408,415
1793.brewery_id,03,30
540.brewery_id,408,192
82.city,Lougisville,Louisville
502.brewery_id,408,182
501.brewery_id,408,182
1043.brewery_id,4y79,479
1802.state,AwZ,AZ
344.brewery_id,10h7,107
396.city,Grand Rapidss,Grand Rapids
636.brewery_id,408,101
199.brewery_name,BaseC amp Brewing Co.,Base Camp Brewing Co.
1753.brewery_name,Rivertowne Brewing Copmany,Rivertowne Brewing Company
1803.state,wAZ,AZ
1804.state,Z,AZ
630.brewery_id,408,145
1459.brewery_name,New Begium Brewing Company,New Belgium Brewing Company
543.brewery_id,408,504
1797.state,ZA,AZ
635.brewery_id,408,415
1120.state,AM,MA
1605.brewery_id,216,261
230.brewery_name,Bent Ptaddle Brewing Company,Bent Paddle Brewing Company
520.brewery_id,408,178
1984.city,Glendael,Glendale
1757.brewery_id,3,43
245.brewery_name,Big Elm Breiwng,Big Elm Brewing
1777.brewery_name,Rond Guys Brewing,Round Guys Brewing
2201.city,Baon Rouge,Baton Rouge
775.brewery_id,242,224
410.brewery_name,Breery Vivant,Brewery Vivant
1662.brewery_name,Pizza Port Berwing Company,Pizza Port Brewing Company
340.brewery_name,Bonfire Brewing Compayn,Bonfire Brewing Company
542.brewery_id,408,192
500.brewery_id,408,182
68.city,Louisvillle,Louisville
395.city,Grand Riapids,Grand Rapids
649.brewery_id,408,553
1751.brewery_name,Rirvertowne Brewing Company,Rivertowne Brewing Company
1315.city,Half Moone Bay,Half Moon Bay
912.city,Birmnigham,Birmingham
977.city,Davenpkort,Davenport
1289.brewery_id,29j9,299
467.city,Reon,Reno
1028.brewery_id,243,234
521.brewery_id,408,497
518.brewery_id,408,155
130.state,C,NC
638.brewery_id,408,101
2323.state,AM,MA
1360.brewery_id,824,284
1744.brewery_name,Rivertowne Bewing Company,Rivertowne Brewing Company
629.brewery_id,408,145
401.city,Grand Rapiqds,Grand Rapids
403.brewery_name,rewery Vivant,Brewery Vivant
2334.brewery_id,b94,94
1423.city,Providennce,Providence
1331.brewery_name,Midnightt Sun Brewing Company,Midnight Sun Brewing Company
1438.brewery_id,337***,337
408.brewery_name,rewery Vivant,Brewery Vivant
537.brewery_id,408,192
1112.brewery_name,Infamous Brewing oCmpany,Infamous Brewing Company
1913.brewery_name,martmouth Brewing Company,Smartmouth Brewing Company
527.brewery_id,408,230
190.city,Williajmsburg,Williamsburg
925.state,Z,AZ
647.brewery_id,408,139
246.city,Sheffied,Sheffield
692.brewery_id,54,554
1857.city,Silerton,Silverton
1407.brewery_name,Mother Earth Brewing Compay,Mother Earth Brewing Company
1044.brewery_name,Hesis Brewing Company,Hess Brewing Company
215.city,Lowll,Lowell
1721.city,Chcago,Chicago
1982.brewery_id,157,175
2054.brewery_id,52,25
76.city,Louisvilole,Louisville
2056.brewery_id,2o5,25
2378.brewery_id,55e0,550
562.brewery_name,Catawba Iszland Brewing,Catawba Island Brewing
1976.state,L,IL
516.brewery_id,408,155
13.brewery_name,18th Street rewery,18th Street Brewery
405.brewery_name,Brwery Vivant,Brewery Vivant
887.brewery_name,Geeva Lake Brewing Company,Geneva Lake Brewing Company
1789.brewery_name,SanTan Brewnig Company,SanTan Brewing Company
1302.brewery_name,Maui Brewng Company,Maui Brewing Company
470.state,NbV,NV
620.brewery_name,CigarC ity Brewing Company,Cigar City Brewing Company
2.city,Garzy,Gary
391.city,Grand Rapisd,Grand Rapids
2233.brewery_id,90,190
848.brewery_id,22***,22
645.brewery_id,408,139
923.state,Z,AZ
292.city,Mraquette,Marquette
1786.brewery_name,Saint Archer Breweyr,Saint Archer Brewery
393.brewery_name,Brwery Vivant,Brewery Vivant
1909.brewery_id,i371,371
1294.brewery_id,929,299
397.brewery_name,Brewery iVvant,Brewery Vivant
924.state,jAZ,AZ
631.brewery_id,408,320
525.brewery_id,408,230
1293.brewery_id,99,299
499.brewery_id,408,182
539.brewery_id,408,192
78.city,Louisvlle,Louisville
1503.brewery_name,Northwoods Brepub,Northwoods Brewpub
1576.brewery_name,Oskar Blus Brewery,Oskar Blues Brewery
727.brewery_id,391,319
426.state,I,MI
1809.brewery_id,52,252
640.brewery_id,408,232
954.brewery_name,Great Divide Brewin gCompany,Great Divide Brewing Company
400.city,Grand Rapis,Grand Rapids
1415.state,nAZ,AZ
1800.state,AmZ,AZ
368.city,ansas City,Kansas City
511.brewery_id,408,155
1878.city,rBooklyn,Brooklyn
2192.brewery_id,p17,17
504.brewery_id,408,182
1574.brewery_name,Oskar Blkues Brewery,Oskar Blues Brewery
1737.city,TraverseCity,Traverse City
1801.state,Z,AZ
