Attribute,Index,Clean Value,Cleaned Value
journal_issn,64,0091-6749 (print),empty
journal_issn,72,1474-5151,empty
journal_issn,86,9788480000000,9790000000000
journal_issn,102,1612-4782     1612-4790,empty
journal_issn,119,2115-7863(electronic);2115-8789(print),empty
journal_issn,128,1840-0132 1840-2445 (electronic),empty
journal_issn,129,1051-0443,empty
journal_issn,132,37-feb,empty
journal_issn,138,1170-7690,empty
journal_issn,159,15-jan,empty
journal_issn,190,0033-8389 do  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,empty
journal_issn,208,empty,nll
journal_issn,221,0895-6111,empty
journal_issn,236,47-jan,jan-47
journal_issn,256,1467-1107,empty
journal_issn,265,1931-3543,empty
journal_issn,310,1931-3543,empty
journal_issn,338,nct00227591/clinicaltrials.gov nct00509899/clinicaltrials.gov nct00599547/clinicaltrials.gov nct00631462/clinicaltrials.gov nct00934544/clinicaltrials.gov nct00952289/clinicaltrials.gov nct01420770/clinicaltrials.gov nct01437787/clinicaltrials.gov,empty
journal_issn,379,0098-4108 (print)     0098-4108 (linking),empty
journal_issn,392,62-feb,feb-62
journal_issn,395,1098-4275,empty
journal_issn,398,1526-7598,156-7598
journal_issn,400,1558-1497,1558-147
journal_issn,423,0306-4603,0306-460x3
journal_issn,435,65-feb,feb-65
journal_issn,441,14-feb,empty
journal_issn,446,1751-7176,751-7176
journal_issn,450,1170-7690,empty
journal_issn,457,empty,unll
journal_issn,490,1098-4275,empty
journal_issn,493,1433-7347,14337-347
journal_issn,508,53-nov,nov-53
journal_issn,519,1470-2738,empty
journal_issn,522,0969-4900,empty
journal_issn,544,1468-5833 (electronic),empty
journal_issn,588,0268-0033 do  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,empty
journal_issn,608,0167-2789 do  - http://dx.doi.org/10.1016/j.physd.2013.07.012,empty
journal_issn,628,0022-0345,220345
journal_issn,638,0390-6078,0390-6708
journal_issn,643,0737-1209,1525-1446
journal_issn,644,22-sep,1524-4539
journal_issn,645,55-jan,jan-55
journal_issn,650,0196-6553,0916-6553
journal_issn,653,1076-6294 (print)     1076-6294,empty
journal_issn,659,0039-2499,1524-4628
journal_issn,663,0966-8519,0966-8159
journal_issn,664,1932-6203,932-6203
journal_issn,687,1020-3397,empty
journal_issn,689,1528-395x,empty
journal_issn,691,60-sep,sep-60
journal_issn,706,0021-8987 (print)     0021-8987,empty
journal_issn,709,0022-3514,empty
journal_issn,719,0020-7454,empty
journal_issn,735,1678-4464,empty
journal_issn,747,67-may,mar-67
journal_issn,755,0546-1766 (print) 0546-1766,0964-4563
journal_issn,782,1939-134x,empty
journal_issn,798,0363-5023,3635023
journal_issn,801,1460-2105,1406-2105
journal_issn,808,1467-1107,1467-1170
journal_issn,822,1930-7381,1930-739x
journal_issn,828,14-feb,1532-5415
journal_issn,849,67-may,mar-67
journal_issn,855,0025-7931,1423-0356
journal_issn,859,1098-4275,empty
journal_issn,883,1478-7547 (electronic),empty
journal_issn,889,1932-6203,1932-623
journal_issn,892,0363-5023,0363-523
journal_issn,894,0903-1936,1399-3003
journal_issn,910,1097-0142,0197-0142
journal_issn,913,0361-6843 print 1471-6402 electronic,empty
journal_issn,915,1057-9249,1099-1611
journal_issn,925,1365-2346,1365-2364
journal_issn,927,1466-187x electronic 0142-159x print,empty
journal_issn,928,1098-4275,empty
journal_issn,932,1527-7755,empty
journal_issn,941,1462-2416,empty
journal_issn,963,0966-6362 do  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,empty
journal_issn,984,65-feb,feb-6z5
journal_issn,991,65-feb,febg-65
