916.journal_title,Biolectromagnetics,Bioelectromagnetics
179.journal_title,Water scieznce and technology : a journal of the International Association on Water Pollution Research,Water science and technology : a journal of the International Association on Water Pollution Research
698.journal_issn,0301-421d5,0301-4215
313.journal_title,European journal of applied pyhsiology,European journal of applied physiology
90.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Rev.Neurol.
86.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
849.journal_issn,dMar-67,Mar-67
123.journal_issn,1471u-2458,1471-2458
108.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
302.jounral_abbreviation,J Cnhem Phys,J Chem Phys
889.journal_issn,932-6203,1932-6203
17.journal_issn,0035-9157 (Print) 0035-9157,1178-1998
76.journal_title,Proc R Soc Med,NULL
112.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
88.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
496.journal_title,oJAMA,JAMA
954.journal_title,International journa lof obesity (2005),International journal of obesity (2005)
194.journal_issn,460-2105,1460-2105
13.journal_issn,0035-9157 (Print) 0035-9157,0001-6349 (Print) 0001-6349
910.journal_title,yCancer,Cancer
110.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Cochrane Database Syst Rev
892.journal_title,J Hand SurgAm,J Hand Surg Am
798.journal_issn,063-5023,0363-5023
15.journal_issn,0035-9157 (Print) 0035-9157,NULL
