112.emergencyservice,on,no
699.hospitalname,communit hospital inc,community hospital inc
134.hospitalname,callahan eye foundation hospital,crenshaw community hospital
837.hospitalname,chilto nmedical center,chilton medical center
34.measurecode,pnl-5c,pn-5c
307.hospitalowner,volutnary non-profit - private,voluntary non-profit - private
673.providernumber,1i0033,10033
294.countyname,dshelby,shelby
236.measurecode,scip-card-2,pn-7
69.countyname,marshagll,marshall
118.score,7%,87%
879.address2,mpty,empty
191.state,fal,al
806.address2,embpty,empty
851.city,clantno,clanton
95.zipcode,35233,36467
431.city,sylcaauga,sylacauga
882.countyname,sfayette,fayette
24.city,domthan,dothan
615.address2,empy,empty
896.address1,1653 temple avenmue north,1653 temple avenue north
667.measurename,heart attack patients gven aspirin at arrival,heart attack patients given aspirin at arrival
181.hospitalowner,govermnent - hospital district or authority,government - hospital district or authority
664.address1,209 north main streett,209 north main street
742.measurename,heart attakc patients given aspirin at arrival,heart attack patients given aspirin at arrival
733.address3,mpty,empty
341.hospitalname,florwers hospital,flowers hospital
688.emergencyservice,eys,yes
4.city,birminhgam,birmingham
281.city,labaster,alabaster
895.address3,mepty,empty
9.measurecode,scip-card-2,ami-1
854.hospitalowner,voluntary non-profi - private,voluntary non-profit - private
460.hospitalname,helen keller memorial hospital***,helen keller memorial hospital
537.state,la,al
714.hospitaltype,acte care hospitals,acute care hospitals
54.hospitalname,callahan eye foundation hospital,marshall medical center south
158.hospitalowner,poprietary,proprietary
597.countyname,offee,coffee
378.state,la,al
450.condition,sulrgical infection prevention,surgical infection prevention
36.address3,emptdy,empty
6.address1,1270 university blvd,1720 university blvd
289.city,birmingham,alabaster
928.condition,surgical infection preevntion,surgical infection prevention
168.stateavg,la_scip-vte-1,al_scip-vte-1
805.stateavg,al_ai-3,al_ami-3
813.hospitalowner,prprietary,proprietary
981.hospitaltype,acute caer hospitals,acute care hospitals
492.address3,emmpty,empty
988.city,neonta,oneonta
12.measurecode,scip-card-2,ami-4
40.hospitalname,callahan eye foundation hospital,southeast alabama medical center
14.measurecode,scip-inf-1,ami-7a
689.emergencyservice,es,yes
209.hospitalname,callahan eye foundation hospital,st vincents east
518.zipcode,6116,36116
270.countyname,shleby,shelby
561.condition,surgical infction prevention,surgical infection prevention
880.countyname,ayette,fayette
251.countyname,clakre,clarke
11.address1,1300 south montgomery oavenue,1300 south montgomery avenue
20.condition,heart attakc,heart attack
674.address3,mepty,empty
704.state,l,al
603.score,00%,100%
122.score,mpty,empty
192.hospitalname,callahan eye foundation hospital,marshall medical center north
13.address1,1300 south mntgomery avenue,1300 south montgomery avenue
834.hospitalname,chilton medicla center,chilton medical center
692.address2,evmpty,empty
10.address1,1300 south moyntgomery avenue,1300 south montgomery avenue
91.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
827.emergencyservice,yse,yes
225.measurecode,ami7-a,ami-7a
830.stateavg,al_ami3-,al_ami-3
740.address2,mpty,empty
493.address2,emqpty,empty
2.score,empyt,empty
525.city,montgomrery,montgomery
53.hospitalname,callahan eye foundation hospital,marshall medical center south
279.hospitalowner,violuntary non-profit - church,voluntary non-profit - church
183.measurename,pneumonia patients jgiven smoking cessation advice/counseling,pneumonia patients given smoking cessation advice/counseling
639.city,opeika,opelika
427.providernumber,1014,10164
96.zipcode,35233,36467
702.phonenumber,3342836451,3342836541
305.hospitalowner,voluntary non-profit - privte,voluntary non-profit - private
216.providernumber,10018,10011
786.city,hunstville,huntsville
174.sample,6 paitents,6 patients
13.zipcode,35606,35660
223.measurecode,scip-card-2,ami-4
126.sample,0 ptaients,0 patients
39.hospitalname,callahan eye foundation hospital,southeast alabama medical center
254.emergencyservice,tyes,yes
76.sample,1 patients,61 patients
566.providernumber,01024,10024
6.city,birmignham,birmingham
755.providernumber,10063,10036
273.providernumber,k10016,10016
616.providernumber,10072,10027
222.measurecode,scip-card-2,ami-3
5.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under goods control in the days right after surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
459.hospitalname,helen kller memorial hospital,helen keller memorial hospital
606.emergencyservice,es,yes
11.providernumber,1019,10019
674.state,xal,al
500.providernumber,0022,10022
91.emergencyservice,ykes,yes
13.phonenumber,2568364556,2563864556
208.hospitalname,callahan eye foundation hospital,st vincents east
201.phonenumber,208383122,2058383122
12.zipcode,53660,35660
271.countyname,sherlby,shelby
931.state,l,al
544.state,dal,al
959.address2,iempty,empty
92.hospitalowner,oluntary non-profit - other,voluntary non-profit - other
560.zipcode,361e06,36106
702.measurename,heart afilure patients given smoking cessation advice/counseling,heart failure patients given smoking cessation advice/counseling
862.address1,1265 military street south,1256 military street south
300.zipcode,5233,35233
70.measurename,heart attack patienst given aspirin at arrival,heart attack patients given aspirin at arrival
580.providernumber,10e025,10025
10.measurecode,scip-card-2,ami-2
233.address3,empyt,empty
822.stateavg,al_sci-inf-2,al_scip-inf-2
215.providernumber,10018,10011
401.measurecode,h-3,hf-3
12.providernumber,d10019,10019
549.sample,430 patiensts,430 patients
222.city,fort apyne,fort payne
288.city,birmingham,alabaster
838.phonenumber,20575525j00,2057552500
133.hospitalname,callahan eye foundation hospital,crenshaw community hospital
552.stateavg,al_hf4,al_hf-4
287.city,birmingham,alabaster
414.condition,surgica infection prevention,surgical infection prevention
92.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
