instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
86,359471.0167,97,0,1,17,78,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
87,359471.0167,40,0,1,18,91,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
88,359471.0167,57,0,1,19,49,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
89,359471.0167,76,0,1,20,22,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
90,340275.328,11,0,1,21,17,2,1,1,0.22,0.2727,0.64,0,0,48,48
91,359471.0167,17,0,1,22,-60.89798252,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
92,359471.0167,33.30755975,0,1,23,25,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
93,359495.0167,94,0,-8.565520107,0,40,3,1,1,0.2,0.2576,0.089121956,0,0,6,6
94,359495.0167,89,0,1,1,56,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
95,359495.0167,-35.16793282,2.096643659,1,2,21,3,1,0.287848558,0.16,0.197,0.681706726,0.0896,0,2,2
96,359495.0167,12,0,1,-5.545774147,43,3,1,0.414562741,0.24,0.2273,0.48,0.2239,0,2,2
97,359495.0167,67,0.376011115,1,5,40,8.373903673,1,1,0.22,0.2273,0.47,0.1642,0,3,3
43867.43802,359495.0167,29,0,1,6,88,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
99,359495.0167,93,0,1,7,18,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
100,359495.0167,70,0,1,8,64,3,1,1,0.2,-1.57731294,0.4,0.2985,3,192,195
101,359495.0167,12,0,1,9,80,3,0.07322438,1,0.22,0.197,0.37,0.3284,6,109,115
102,359495.0167,51,0,-1.156493282,10,44,3,-0.82922403,1,0.22,0.197,0.37,0.3284,4,53,57
103,359495.0167,78,0,1,11,90,3,1,1,0.26,-0.408456653,0.33,0.3284,12,34,46
104,359495.0167,27,0,1,12,13,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
105,359495.0167,54,0,1,13,41,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
106,359495.0167,101,0,1,14,4,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
107,359495.0167,51,0,1,15,62,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
108,359495.0167,46,0,1,16,86,3,1,1,1.622617536,0.3182,0.28,0.0896,4,85,89
109,359495.0167,80,0,1,17,70,3,1,1,0.24,0.2273,-0.169860023,0.194,151.1631273,186,190
110,359495.0167,93,0,1,18,59,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
111,359495.0167,13,0,1,19,65,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
112,359495.0167,101,0,1,20,58,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
113,359495.0167,45,0,1,21,98,3,1,1,1.054371683,0.197,0.51,0.194,3,40,43
114,359495.0167,53,0,1,22,82,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
115,359495.0167,98,0,1,23,57,3,1,1,0.2,0.2576,0.47,0,1,18,19
116,359519.0167,96,0,1,0,31,8.451100765,1,1,0.18,0.2424,0.55,0,0,11,11
117,359519.0167,12,0,1,1,73,4,1,1,0.16,0.2273,0.64,-0.618068415,0,4,4
118,359519.0167,29,0,1,2,83,4,1,1,0.16,0.2273,0.64,0,0,2,2
119,359519.0167,56,0,1,4,47,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
120,359519.0167,94,0,-9.093333081,5,45,4,1,5.029248797,0.14,0.1818,0.69,0.0896,0,4,4
121,359519.0167,58,0,1,6,100,4,1.127849584,2,0.14,0.1667,0.63,0.1045,0,36,36
122,359519.0167,43,0,1,7,63,13.80123843,1,2,0.16,0.2273,0.59,0,0,95,95
123,359519.0167,38,0,1,8,78,4,2.070717785,1,0.16,0.2273,0.59,0,3,216,219
124,359519.0167,45,0,1,9,57,4,1,2,0.18,0.2424,0.51,0,51.05453479,116,122
125,359519.0167,58,0,-6.610427492,10,46,4,1,1,0.2,-0.040674345,0.47,0,3,42,45
126,359519.0167,97,0,1,11,94,-0.626843373,1,1,0.22,0.2576,0.44,0.0896,2,57,59
127,359519.0167,24,0,1,12,56,4,1,1,0.26,0.2879,0.35,0,6,78,84
128,359519.0167,12,0,1,13,84,4,1,1,0.26,0.211351237,0.35,0.1045,12,55,67
-20140.11026,359519.0167,52,0,1,14,84,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
130,359519.0167,27,0,1,15,63,4,1,1,0.28,0.2727,0.36,0,198.6030509,54,62
131,359519.0167,18,0,1,16,19,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
132,359519.0167,69,0,1,17,89,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
133,359519.0167,161.8535037,0,1,18,15,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
134,359519.0167,34,0,1,19,69,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
135,359519.0167,29,0,1,20,69,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
136,359519.0167,86,0,1,21,60,4,1,2,-0.90615578,0.2121,0.55,0.2239,0,48,48
137,359519.0167,2,0,1,22,65,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
138,359519.0167,57,0,-24.45308857,23,31,4,1,2,0.2,0.197,0.59,0.194,4,-345.1194421,23
139,359543.0167,98,0,1,0,47,5,1,2,0.2,0.197,0.64,0.194,4,13,17
140,359543.0167,43,0,1,1,35,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
141,359543.0167,78,0,1,2,89,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
142,359543.0167,87,0,1,4,9,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
143,359543.0167,80,0,1,5,86,5,1,3,0.22,0.2727,0.55,0,0,5,5
144,359543.0167,79,0,1,6,74,5,1,2,0.2,0.2576,0.69,0,96.9136127,26,34
145,359543.0167,52,0,1,-21.80982273,30,5,1,1,0.2,0.2121,0.69,0.1343,87.6915978,76,84
146,359543.0167,73,0,1,8,94,5,1,0.462452973,0.2,0.197,0.51,0.2537,20,190,210
147,359543.0167,70,0,1,9,77,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
148,359543.0167,34,0,1,14.30472687,99,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
149,359543.0167,101,0,1,11,42,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
150,359543.0167,48,0,-5.767622898,12,8,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
151,359543.0167,38,0,1,13,48,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
152,359543.0167,12,0,1,14,37.93245732,5,1,2,0.2,0.197,0.4,0.2537,7,-434.7975061,50
20360.60591,359543.0167,11,0,1,15,70,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
154,359543.0167,-8.115812915,0,1,16,49,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
155,359543.0167,66.44242364,0,1,17,91,-18.98438213,1,2,0.2,0.2576,0.37,0,9,178,187
156,359543.0167,37,0,1,18,36,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
157,359543.0167,55,-3.677771252,1,19,96,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
158,370180.3683,40,0,1,20,47,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
159,359543.0167,216.4929307,0,1,21,82,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
160,359543.0167,44,0,1,22,68,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
161,359543.0167,37,0,1,23,38,11.09084352,1,2,0.18,0.197,0.51,0.1642,1,14,15
162,359567.0167,5,0,1,0,53,6,0,2,0.18,0.725352439,0.51,0.1642,1,24,25
163,359567.0167,45.47432729,0,-7.324216171,1,8,6,0,2,0.37356077,0.2121,0.55,0.0896,1,15,16
52378.43098,359567.0167,13,0,1,2,79,6,0,2,0.18,0.2424,0.55,0,3,13,16
165,359567.0167,21,0,1,3,69,6,0,3,0.18,0.197,0.55,0.1642,14.53481898,7,7
166,359567.0167,43,0,1,4,36,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
167,359567.0167,92,0,1,5,40,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
32326.30071,359567.0167,6,0,1,6,87,6,0,2,0.16,0.1667,0.74,0.1642,0,987.5257431,2
169,359567.0167,56,0,1,7,80,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
170,359567.0167,40,0,1,8,54,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
171,359567.0167,98,0,1,9,65,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
172,359567.0167,89,0,1,10,78,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
173,359567.0167,10,0,1,11,17,6,0,2,0.2,0.1818,0.69,0.3881,2,217.7699946,62
174,359567.0167,73,0,1,12,51,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
175,387289.7651,98,0,1,13,23,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
-13326.48735,359567.0167,84,0,1,14,10,6,-0.544045796,1,0.2,0.1667,0.32,0.4925,12,83,95
177,359567.0167,84,0,1,15,38,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
178,359567.0167,54,0,1,16,36,6,0,1,0.348184926,0.1364,0.820530986,0.4478,8,68,76
179,359567.0167,37,0,1,17,113.5919548,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
180,359567.0167,41,0,1,18,82,6,0,2.124669799,0.14,0.1212,0.39,0.038586698,3,42.8042036,55
6268.316746,359567.0167,59,0,1,19,23,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
182,359567.0167,12,0,1,20,93,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
183,359567.0167,27,0,1,21,69,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
184,339267.2979,32,-2.617718484,1,13.22530034,16,15.36205091,0,1,0.12,0.380769213,0.36,0.3881,1,33,34
185,359567.0167,70,0,1,23,56,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
186,359591.0167,7,0,1,0,61,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
187,359591.0167,4,0,1,1,100,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
188,359591.0167,54,0,1,2,88,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
189,359591.0167,46,0,1,3,21,0,0,1,0.1,0.0758,0.018781249,0.4179,0,4,4
190,359591.0167,2,0,1,4,76,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,382319.1042,9,0,1,5,93,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
192,359591.0167,18,0,1,6,41,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
193,369211.4875,7,0,1,7,40,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
194,359591.0167,59,0,6.427762689,8,49,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
195,359591.0167,18,0,1,22.0880661,82,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
196,359591.0167,115.8485639,0,1,10,83,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
197,359591.0167,87,0,1,11,72,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
198,359591.0167,38,0,1,12,90,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
199,359591.0167,94,0,1,13,60,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
200,359591.0167,24,0,1,14,47,0,0,1,0.22,0.482556547,0.32,0.4627,8,64,72
201,359591.0167,-153.4399066,0,1,15,44,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
202,359591.0167,58,-2.053731405,-30.17939715,16,32,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
203,359591.0167,57,0,1,43.43720551,9,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
204,359591.0167,30,0,1,18,13,0,0,0.236536734,0.16,1.202261495,-0.505016062,0.3284,4,44,48
205,359591.0167,66,0,1,19,41,0,0,1,0.492056112,0.1364,0.43,0.3284,1,764.9833982,41
206,359591.0167,91,0,1,20,23,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
207,359591.0167,6,0,1,21,46,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
208,359591.0167,42,0,1,22,17,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
209,359591.0167,63,0.856822062,1,23,78,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
210,359615.0167,89,0,1,0,76,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
211,359615.0167,8,0,1,1,58,1,1,1,0.12,0.023139194,0.5,0.2836,1,-409.8629527,1
212,359615.0167,65,0,1,2,46,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
213,359615.0167,44,0,1,3,33,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
214,359615.0167,46,0,1,4,22,1,1,1,0.1,0.1212,0.54,0.1343,-9.616118246,2,3
215,359615.0167,79,0,1,5,101.3524884,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
216,359615.0167,2,0,1,6,34,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
217,359615.0167,53,0,1,7,61,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
218,359615.0167,7,0,1,8,9,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
219,359615.0167,40,0,1,9,59,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
220,359615.0167,4,0,1,10,-114.2768605,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
221,359615.0167,70,0,1,11,91,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
222,359615.0167,40,0,1,12,-46.13600382,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
223,359615.0167,57,0,1,13,53,-7.064854162,1,2,0.2,0.1818,0.4,0.2836,4,50,54
224,359615.0167,91,0,1,14,12,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
225,359615.0167,62,0,1,15,73,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
226,359615.0167,58,0,1,16,42,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
227,359615.0167,89,0,1,17,18,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
228,359615.0167,69,0,1,18,94,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
229,359615.0167,91,0,1,19,21,1,1,1,0.082916527,-0.595814768,0.47,0.1642,3,92,95
230,359615.0167,154.4411541,0,1,20,65,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
231,359615.0167,35,0,1,21,15,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
8745.510093,359615.0167,93,0,1,22,11,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
233,359615.0167,57,0,1,23,4,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
234,359639.0167,95,0,1,0,87,2,1,1,0.14,0.1667,0.59,0.1045,2,302.2281923,12
235,359639.0167,88,0,1,1,35,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
-52654.49304,359639.0167,88,0,1,2,171.4052916,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
237,359639.0167,75,0,1,5,21,2,1,2,0.16,0.354345705,0.55,0.1343,0,6,6
238,359172.2943,12,0,1,6,25,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
239,351956.8527,8,0,1,7,32,-2.748746926,1,2,0.16,0.2273,0.55,0,30.78341412,97,99
240,371801.1578,5,0,1,8,92,2,1,2,0.18,0.2121,0.51,0.0896,3,47.1759955,217
241,359639.0167,12,0,1,9,49,2,1,3.007780371,0.18,0.197,0.51,0.1642,3,127,130
242,359639.0167,65,0,1,10,59,2,1,2,0.2,0.2121,0.808721985,0.1642,3,51,54
243,359639.0167,74,0,1,11,19,-2.001827734,1,2,0.2,0.2121,0.47,0.1343,4,31,35
244,359639.0167,83,0,1,12,98,2,1,2,0.2,-1.789038766,0.51,0.1045,2,55,57
245,359639.0167,46,0,1,13,91,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
246,359639.0167,30,0,1,14,67,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
247,359639.0167,26,0,1,15,72,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
248,359639.0167,89,0,1,16,31,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
249,359639.0167,85,0,1,17,24,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
250,359639.0167,49.53099953,0,1,18,76,2,1,3,0.16,0.1818,0.93,0.1045,167.2693191,94,95
251,359639.0167,53,0,1,19,73,2,1,3,0.16,0.2273,0.93,0,0,51,51
252,359639.0167,52,0,1,20,34,2,1,3,0.16,0.1515,0.93,-0.479024736,0,32,32
253,359639.0167,160.7140454,0,1,21,45,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
25232.3514,359639.0167,20,0,1,22,39,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
255,359639.0167,66,0,1,23,33,2,1,2.775818223,0.16,0.197,0.93,0.0896,1,18,19
256,359663.0167,70,0,1,0,46,3,1,2,0.16,0.197,0.60145308,0.0896,0,7,7
257,359663.0167,72,0,1,1,43,3,1,-0.694273144,0.16,0.1818,0.86,0.1045,0,6,6
258,352583.0339,92,0,1,2,65,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
259,359663.0167,64,0,1,5,55,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
260,359663.0167,11,0,1,6,81,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
-6179.935914,359663.0167,15,0,1,7,-22.09663199,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
262,359663.0167,43,0,1,8,73,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
263,359663.0167,91,0,1,9,4,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
264,359663.0167,82,0,2.380625457,10,55,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
265,359663.0167,96,0,1,11,54,3,1,1,0.2,0.115417855,0.538821547,0.3881,3,32,35
266,359663.0167,42,0,1,12,1,3,1,1,0.2,0.1515,0.657916585,0.5821,3,52,55
267,359663.0167,56,0,1,13,92,-8.730447727,1,1,0.22,0.197,0.44,0.3582,0,49,49
268,359663.0167,84,0,1,14,17,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
269,359663.0167,22,0,1,15,32,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
270,359663.0167,55,0,1,16,16,3,1,-2.466878333,0.22,0.197,0.44,0.3284,5,63,68
271,359663.0167,98,0,17.45898828,17,54,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
272,359663.0167,100,0.735589166,1,18,47,-1.843277703,1,1,0.2,0.1515,0.47,0.5224,2,135,137
273,359663.0167,38,0,1,19,81,3,1,1,0.18,0.1515,0.47,0.4179,-351.943852,82,83
274,359663.0167,81,0,5.402934839,20,21,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
275,359663.0167,95,0,1,21,97,3,1,1,0.16,0.1364,0.55,1.457031229,0,57,57
276,359663.0167,70,0,1,22,57,3,1,1.834137169,0.16,0.1212,0.55,0.4478,1,32,33
-7961.320928,359663.0167,101,0,1,23,22,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
