Attribute,Index,Clean Value,Cleaned Value
journal_issn,121,22-mar,empty
journal_issn,128,1840-0132 1840-2445 (electronic),empty
journal_issn,132,37-feb,empty
journal_issn,138,1170-7690,empty
journal_issn,144,0266-7681 (print) 0266-7681,0315-162x
journal_issn,150,0363-6771,empty
journal_issn,159,15-jan,empty
journal_issn,170,empty,null***
journal_issn,189,2158-0979,empty
journal_issn,190,0033-8389 do  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,empty
journal_issn,209,0004-0010 (print) 0004-0010,0315-162x
journal_issn,213,0041-5782 (print) 0041-5782,0315-162x
journal_issn,236,47-jan,jan-47
journal_issn,238,17-mar,empty
journal_issn,248,1982-4335,empty
journal_issn,265,1931-3543,empty
journal_issn,267,0003-990x,f0003-990x
journal_issn,272,0042-9007,0042-9007***
journal_issn,289,1932-6203,19326-203
journal_issn,303,0949-2658 (print) 0949-2658,0315-162x
journal_issn,305,0048-7848 (print) 0048-7848,0315-162x
journal_issn,306,0030-1876 (print) 0030-1876,0315-162x
journal_issn,310,1931-3543,empty
journal_issn,332,1179-1969,179-1969
journal_issn,338,nct00227591/clinicaltrials.gov nct00509899/clinicaltrials.gov nct00599547/clinicaltrials.gov nct00631462/clinicaltrials.gov nct00934544/clinicaltrials.gov nct00952289/clinicaltrials.gov nct01420770/clinicaltrials.gov nct01437787/clinicaltrials.gov,empty
journal_issn,342,0065-1419 (print)     0065-1419,0315-162x
journal_issn,348,1462-8910,1463-1318
journal_issn,354,1471-2407,1417-2407
journal_issn,372,1539-3704,empty
journal_issn,378,1932-6203,19n32-6203
journal_issn,379,0098-4108 (print)     0098-4108 (linking),empty
journal_issn,392,62-feb,feb-62
journal_issn,395,1098-4275,empty
journal_issn,401,2150-1351 (print)     2150-1351,0315-162x
journal_issn,424,0735-1631,empty
journal_issn,433,empty,ull
journal_issn,435,65-feb,feb-65
journal_issn,450,1170-7690,empty
journal_issn,466,0095-1137 (print) 0095-1137,0315-162x
journal_issn,490,1098-4275,empty
journal_issn,493,1433-7347,1433-7374
journal_issn,494,empty,nxull
journal_issn,508,53-nov,ov-53
journal_issn,516,2168-619x,2168-6k19x
journal_issn,532,1095-9203,10959203
journal_issn,538,0160-6379,empty
journal_issn,575,1423-0380,143-0380
journal_issn,588,0268-0033 do  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,empty
journal_issn,590,0047-1860 (print)     0047-1860,0315-162x
journal_issn,596,0949-2658 (print) 0949-2658,0949-2658 (print) 0949-2i658
journal_issn,608,0167-2789 do  - http://dx.doi.org/10.1016/j.physd.2013.07.012,empty
journal_issn,611,0268-960x,0268960x
journal_issn,627,0910-5050,1460-2385
journal_issn,636,0161-6412 (print) 0161-6412,0315-162x
journal_issn,643,0737-1209,1525-1446
journal_issn,644,22-sep,1524-4539
journal_issn,645,55-jan,jan-55
journal_issn,647,1469-896x,1469-8m96x
journal_issn,653,1076-6294 (print)     1076-6294,0315-162x
journal_issn,655,1949-8349 (print)     1949-8357,0315-162x
journal_issn,659,0039-2499,1524-4628
journal_issn,664,1932-6203,1923-6203
journal_issn,673,-9262,empty
journal_issn,691,60-sep,sep-60
journal_issn,697,0146-4760 (print) 0146-4760,0315-162x
journal_issn,706,0021-8987 (print)     0021-8987,0315-162x
journal_issn,720,1470-0328 (print) 1470-0328,0315-162x
journal_issn,722,0021-7557,0021-7557***
journal_issn,740,0195-6701 (print) 0195-6701,0315-162x
journal_issn,741,apr-74,empty
journal_issn,747,67-may,mar-67
journal_issn,755,0546-1766 (print) 0546-1766,0315-162x
journal_issn,756,1079-2082 (print) 1079-2082,0315-162x
journal_issn,759,0029-6570 (print) 0029-6570,0315-162x
journal_issn,770,1932-6203,1932-603
journal_issn,784,1303-6521,3103-6521
journal_issn,798,0363-5023,r0363-5023
journal_issn,808,1467-1107,4167-1107
journal_issn,822,1930-7381,1930-739x
journal_issn,828,14-feb,1532-5415
journal_issn,833,empty,nulzl
journal_issn,839,1540-0514,540-0514
journal_issn,843,1071-1007 (print) 1071-1007,0315-162x
journal_issn,849,67-may,mar-67
journal_issn,855,0025-7931,1423-0356
journal_issn,859,1098-4275,empty
journal_issn,883,1478-7547 (electronic),empty
journal_issn,889,1932-6203,1932-623
journal_issn,892,0363-5023,036-5023
journal_issn,894,0903-1936,1399-3003
journal_issn,896,1353-3452 (print)     1353-3452,0315-162x
journal_issn,901,22-mar,empty
journal_issn,913,0361-6843 print 1471-6402 electronic,empty
journal_issn,915,1057-9249,1099-1611
journal_issn,927,1466-187x electronic 0142-159x print,empty
journal_issn,928,1098-4275,empty
journal_issn,937,1062-3264 (print)     1062-3264,0315-162x
journal_issn,941,1462-2416,empty
journal_issn,942,1123-6337 (print) 1123-6337,0315-162x
journal_issn,959,1539-3704,empty
journal_issn,963,0966-6362 do  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,empty
journal_issn,982,0009-9201 (print) 0009-9201,0315-162x
journal_issn,983,0300-5771 (print) 0300-5771,0315-162x
journal_issn,984,65-feb,febq-65
journal_issn,985,1083-8791,empty
journal_issn,988,0950-9240 (print) 0950-9240,0315-162x
journal_issn,991,65-feb,eb-65
journal_issn,993,1423-0380,1423-030
