522.journal_issn,0969-b4900,0969-4900
969.journal_title,Acta paediatrica Scandinavica. Spplement,Acta paediatrica Scandinavica. Supplement
669.journal_issn,1577-1626,1757-1626
980.journal_issn,1945-7107,1945-7170
468.journal_issn,1356-5700,1356-7500
52.journal_title,Annals of the Royal Cllege of Surgeons of England,Annals of the Royal College of Surgeons of England
117.journal_issn,00218987,0021-8987
892.journal_title, JHand Surg Am,J Hand Surg Am
163.journal_issn,0035-9157 (Print) 0035-9157,NULL
858.journal_title,Circulaxtion,Circulation
702.jounral_abbreviation,Respiroloogy,Respirology
583.jounral_abbreviation,ULL,NULL
49.journal_title,TheJournal of clinical psychiatry,The Journal of clinical psychiatry
477.journal_issn,15327-361,1532-7361
104.jounral_abbreviation,Fertil. Streil.,Fertil. Steril.
677.journal_issn,NULL***,NULL
103.journal_title,Proc R Soc Med,NULL
113.journal_issn,ULL,NULL
68.journal_title,IDS Reviews,AIDS Reviews
705.journal_issn,2314-6s141,2314-6141
579.journal_issn,1976-2347,1976-2437
764.journal_issn,UNLL,NULL
831.journal_issn,NULL***,NULL
25.journal_title,Scandinavian oJurnal of Gastroenterology,Scandinavian Journal of Gastroenterology
285.jounral_abbreviation,NUL,NULL
542.jounral_abbreviation,NULpL,NULL
801.journal_title,Jornal of the National Cancer Institute,Journal of the National Cancer Institute
185.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
587.journal_title,Europeanz Journal Of Anaesthesiology,European Journal Of Anaesthesiology
213.journal_issn,0041-5782 (Pprint) 0041-5782,0041-5782 (Print) 0041-5782
243.journal_issn,044-6055,2044-6055
161.journal_issn,0035-9157 (Print) 0035-9157,NULL
8.journal_issn,NUzLL,NULL
993.journal_title,Tumour biology : the journal of the International Society for Oncoevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
398.journal_issn,126-7598,1526-7598
156.journal_issn,0035-9157 (Print) 0035-9157,1424-7860
652.journal_issn,15273-350,1527-3350
785.journal_issn,15d92-7830,1592-7830
104.journal_title,Proc R Soc Med,Fertility and sterility
184.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
662.journal_issn,NULkL,NULL
195.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
767.journal_issn,NrULL,NULL
186.journal_issn,UNLL,NULL
522.jounral_abbreviation,NUL,NULL
676.jounral_abbreviation,xNULL,NULL
187.journal_issn,hNULL,NULL
770.journal_title,PLo SOne,PLoS One
434.jounral_abbreviation,NULnL,NULL
889.journal_issn,132-6203,1932-6203
807.journal_issn,521-3773,1521-3773
275.journal_issn,-896,-8906
546.journal_issn,1462-0234,1462-0324
82.jounral_abbreviation,Stat Methsods Med Res,Stat Methods Med Res
79.journal_issn,UNLL,NULL
292.jounral_abbreviation,Nutrints,Nutrients
907.journal_title,ProQuset LLC,ProQuest LLC
336.journal_issn,1047-9511***,1047-9511
159.journal_issn,0035-9157 (Print) 0035-9157,15-Jan
158.journal_title,Proc R Soc Med,CNS spectrums
932.journal_issn,5127-7755,1527-7755
105.journal_title,Proc R Soc Med,Cancer chemotherapy and pharmacology
669.jounral_abbreviation,Cases jornal,Cases journal
645.jounral_abbreviation,Acta iDerm. Venereol.,Acta Derm. Venereol.
187.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
191.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
198.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
984.journal_title,Am J ClinN utr,Am J Clin Nutr
575.journal_title,Tumour biology : the journal of the International Society cfor Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
867.jounral_abbreviation,NUL,NULL
