3666.marriedexemp,9h000,9000
19315.singleexemp,3300***,3300
13342.city,iMIAMI,MIAMI
4585.childexemp,3d300,3300
8397.city,GUjANICA,GUANICA
2344.city,GENESOE,GENESEO
13970.marriedexemp,22p0,220
639.state,CD,DC
11661.singleexemp,***,0
9517.childexemp,***,0
7876.singleexemp,***,0
16934.childexemp,w0,0
17345.state,CwO,CO
15313.childexemp,,0
8474.marriedexemp,0280,2080
18837.singleexemp,,0
2911.singleexemp,90,900
12395.singleexemp,e2475,2475
7309.gender,***,F
8532.marriedexemp,20,220
11588.childexemp,h0,0
9355.marriedexemp,,0
17206.gender,,F
7003.singleexemp,***,0
15601.state,HN,NH
792.state,CD,DC
14034.singleexemp,p1040,1040
1106.gender,,F
2223.state,DlC,DC
17579.gender,,F
9213.singleexemp,,0
15826.city,HANAPEE,HANAPEPE
2624.singleexemp,***,0
2395.state,CD,DC
14332.childexemp,,0
14259.childexemp,,0
1232.childexemp,y0,0
9578.state,TC,CT
13525.marriedexemp,7510,7150
15003.childexemp,***,0
3231.state,pDC,DC
19141.childexemp,,0
5756.state,N,IN
7398.childexemp,,0
3778.gender,***,F
7896.singleexemp,***,0
12913.gender,oF,F
19833.marriedexemp,20,220
16576.singleexemp,700,2700
19599.state,J,NJ
17236.city,HANANH,HANNAH
11566.state,K,AK
3999.marriedexemp,,0
10009.marriedexemp,6f600,6600
7972.singleexemp,,0
19189.marriedexemp,20,220
16294.marriedexemp,20,220
13039.childexemp,z0,0
6994.marriedexemp,,0
14908.gender,,M
5534.city,SAINT MATTEWS,SAINT MATTHEWS
7674.city,HAMPsTON,HAMPTON
17100.gender,hF,F
5957.childexemp,,0
4642.gender,***,F
10767.state,I,RI
9724.marriedexemp,,0
14339.gender,***,M
18683.gender,nF,F
15180.singleexemp,***,0
3416.state,CD,DC
19073.childexemp,a0,0
15675.marriedexemp,20,220
13215.singleexemp,e0,0
17566.singleexemp,,0
14947.marriedexemp,20,220
9190.singleexemp,200,2000
1384.childexemp,000,2000
11778.singleexemp,***,0
10145.marriedexemp,***,0
14959.city,HARLOWON,HARLOWTON
13188.marriedexemp,20,220
8635.city,HANAN,HANNA
4999.marriedexemp,***,0
2664.state,DtC,DC
15904.childexemp,m0,0
2449.marriedexemp,,0
13585.gender,***,F
12767.childexemp,w0,0
14385.marriedexemp,220***,220
9825.state,oNC,NC
13792.singleexemp,,0
17638.state,RgI,RI
11511.marriedexemp,9450,4950
12322.singleexemp,,0
18386.marriedexemp,202,220
1196.state,C,DC
14883.singleexemp,03,103
15851.state,OC,CO
17190.gender,eF,F
4510.gender,,F
1308.city,CAYYE,CAYEY
13812.childexemp,,0
11823.state,O,CO
8352.marriedexemp,,0
172.state,zDC,DC
6419.gender,***,F
6552.city,CHESTERIELD,CHESTERFIELD
6710.marriedexemp,202,220
11029.singleexemp,g0,0
10119.marriedexemp,s0,0
1060.state,CD,DC
12888.singleexemp,,0
8826.marriedexemp,o0,0
9249.gender,,F
17616.marriedexemp,20,220
11677.state,T,CT
4633.marriedexemp,202,220
8839.childexemp,,0
18973.gender,rM,M
8271.state,TC,CT
14915.state,uNJ,NJ
7461.city,PUUNEEN,PUUNENE
10132.marriedexemp,22o0,220
16946.gender,mF,F
11384.gender,***,F
18681.singleexemp,j0,0
13149.singleexemp,***,0
644.singleexemp,***,0
5070.childexemp,3000***,3000
4871.city,HAMPOTN,HAMPTON
9701.city,RGOVER,GROVER
3574.childexemp,101,110
15935.state,I,RI
6345.gender,***,F
2599.state,CD,DC
7578.singleexemp,w0,0
6785.childexemp,***,0
11739.state,iMN,MN
15030.gender,***,F
18830.city,HANCEILLE,HANCEVILLE
1339.state,nDC,DC
355.city,SAVISA,SALVISA
17315.singleexemp,,0
17505.singleexemp,,0
12250.marriedexemp,2060,2600
290.state,DkC,DC
12442.city,LENDALE,GLENDALE
9985.gender,zF,F
14498.marriedexemp,p0,0
682.state,C,DC
11233.singleexemp,***,0
18869.city,AHNNA,HANNA
2723.state,C,DC
3033.childexemp,10j40,1040
9197.state,T,CT
11617.gender,,M
17598.gender,,F
2340.childexemp,,0
8825.singleexemp,,0
19523.singleexemp,,0
70.state,C,DC
12375.childexemp,0200,2000
18934.gender,,F
18078.childexemp,***,0
11904.city,GREENWOOD SPIRNGS,GREENWOOD SPRINGS
11596.city,AEST HELENA,EAST HELENA
12230.marriedexemp,0280,2080
14625.city,GfROTON,GROTON
11018.marriedexemp,k0,0
11918.gender,kF,F
11812.state,TC,CT
7636.marriedexemp,20,220
14750.gender,***,F
15409.state,JN,NJ
15971.gender,,F
9404.gender,,F
2.state,dNV,NV
19477.marriedexemp,20,220
4332.childexemp,***,0
7983.singleexemp,***,0
15511.marriedexemp,2d20,220
4297.gender,cM,M
1169.state,C,DC
13947.singleexemp,***,0
11679.singleexemp,v0,0
11217.childexemp,***,0
11907.gender,,F
15623.childexemp,u0,0
18243.state,vCT,CT
17895.city,GROVELADN,GROVELAND
16083.state,CeT,CT
17374.city,HARBSON,HARBESON
18730.marriedexemp,202,220
18738.state,T,CT
16772.state,ClT,CT
1646.city,KANASS CITY,KANSAS CITY
4756.state,HN,NH
19709.marriedexemp,2q20,220
10279.childexemp,q0,0
12195.gender,,F
8279.singleexemp,l0,0
6164.city,AKMUELA,KAMUELA
4412.city,SWAMPSCTT,SWAMPSCOTT
19858.childexemp,***,0
4115.city,ORHAM,GORHAM
11842.singleexemp,,0
16168.gender,***,M
15401.childexemp,m0,0
1000.marriedexemp,k0,0
923.state,TV,VT
4757.gender,***,F
12488.gender,,F
18895.gender,***,F
10387.gender,,F
14174.marriedexemp,***,0
12691.singleexemp,,0
12314.singleexemp,04,40
16358.childexemp,***,0
126.state,C,DC
4187.state,ScD,SD
12415.city,HANwALEI,HANALEI
17307.gender,***,F
9585.gender,xF,F
16459.state,TC,CT
14544.marriedexemp,20,220
9505.city,HARRODSBRG,HARRODSBURG
17507.singleexemp,,0
11370.marriedexemp,208j0,2080
6117.marriedexemp,20,220
4048.gender,***,F
1305.state,C,DC
9267.childexemp,3300***,3300
3343.city,PLESAANTON,PLEASANTON
3238.state,DcC,DC
2325.state,CD,DC
753.state,CD,DC
7837.state,MfE,ME
12983.city,PNCE,PONCE
17124.state,OC,CO
9950.city,HAIKU*,HAIKU-*
14276.singleexemp,20x00,2000
2523.gender,***,M
9559.marriedexemp,2f20,220
2485.city,HAMMND,HAMMOND
1732.city,LETER,LEITER
8175.gender,,M
18475.childexemp,***,0
7606.singleexemp,,0
18004.marriedexemp,202,220
16268.gender,***,F
14325.marriedexemp,***,0
4142.childexemp,***,0
1928.marriedexemp,202,220
14198.marriedexemp,q0,0
16135.state,NdJ,NJ
14066.state,ED,DE
3354.marriedexemp,2000,12000
4878.singleexemp,,0
10570.gender,fF,F
15699.marriedexemp,22p0,220
6059.singleexemp,p0,0
16784.state,CbT,CT
1291.state,DfC,DC
14141.city,HAMPTNO,HAMPTON
10256.gender,***,F
8899.gender,qF,F
8435.marriedexemp,22m0,220
15080.marriedexemp,***,0
12856.city,GRER,GREER
19329.state,T,CT
2923.city,HAGERSTONW,HAGERSTOWN
15513.childexemp,***,0
2368.gender,oF,F
19149.singleexemp,***,0
11334.state,CxT,CT
17434.childexemp,,0
5555.gender,,F
18912.singleexemp,,0
11850.city,HAEGRMAN,HAGERMAN
13792.state,OC,CO
4741.state,CtT,CT
14002.state,TC,CT
2788.singleexemp,2700***,2700
11490.marriedexemp,3000***,3000
3451.city,HANyAHAN,HANAHAN
9675.singleexemp,***,0
467.state,C,DC
9831.marriedexemp,715w0,7150
6699.singleexemp,02,20
17171.city,HALLTOWuN,HALLTOWN
8179.state,TV,VT
13568.state,TsN,TN
17714.childexemp,722,272
8091.city,BTAH,BATH
18448.singleexemp,r0,0
17411.state,I,WI
18687.gender,***,F
11308.state,cNJ,NJ
11360.singleexemp,***,0
15458.city,GRENWOOD,GREENWOOD
12889.state,I,WI
14173.gender,kF,F
19792.city,ULFPORT,GULFPORT
7422.gender,***,F
9017.gender,,M
12261.marriedexemp,***,0
17272.gender,,F
18627.childexemp,p0,0
15175.childexemp,g0,0
5790.marriedexemp,4050,4500
15537.marriedexemp,2008,2080
7570.state,TU,UT
19571.childexemp,,0
15194.state,TC,CT
18127.state,dNJ,NJ
19253.childexemp,***,0
3744.childexemp,33x00,3300
8190.singleexemp,300,3300
17081.marriedexemp,202,220
17926.marriedexemp,,0
1526.marriedexemp,0280,2080
4206.childexemp,,0
1426.marriedexemp,,0
17139.state,TC,CT
1048.marriedexemp,202,220
4764.childexemp,***,0
13496.state,T,CT
11769.state,NjJ,NJ
18209.singleexemp,,0
2114.state,C,DC
8036.gender,aM,M
9435.state,TV,VT
9419.singleexemp,1e000,1000
16168.state,TC,CT
14592.singleexemp,15d00,1500
10774.city,HAL,HALL
15444.marriedexemp,220***,220
12136.marriedexemp,20,220
11538.singleexemp,78,87
1855.state,C,DC
15788.gender,***,F
18041.gender,,F
7921.singleexemp,,0
19832.singleexemp,c0,0
11616.marriedexemp,b220,220
16774.childexemp,,0
4859.gender,,F
18910.gender,lM,M
4649.gender,,F
14428.state,OC,CO
7397.state,CwT,CT
13975.marriedexemp,080,2080
17970.city,HAANMAULU,HANAMAULU
6324.state,OC,CO
1874.state,T,CT
14374.singleexemp,***,0
15488.state,KO,OK
9982.childexemp,0*-,0-*
13615.state,A,CA
18417.marriedexemp,08,80
11942.gender,iM,M
14968.childexemp,z0,0
6050.city,ALSEY,HALSEY
13362.singleexemp,,0
1516.city,DAHLONGA,DAHLONEGA
15853.childexemp,,0
18301.gender,,M
5913.state,O,CO
2001.childexemp,***,0
11604.state,T,CT
17647.childexemp,0,40
4715.state,OC,CO
11330.singleexemp,000,1000
18303.singleexemp,***,0
15494.city,HLLOWELL,HALLOWELL
3797.gender,,M
8308.singleexemp,***,0
14014.singleexemp,,0
13047.singleexemp,,0
146.state,CD,DC
12977.singleexemp,m0,0
2423.childexemp,***,0
16489.marriedexemp,k0,0
9084.gender,jF,F
14339.childexemp,s0,0
19095.gender,***,M
2096.state,C,DC
5812.state,T,CT
7191.marriedexemp,2f20,220
11395.gender,***,F
6634.city,STlITZER,STITZER
2267.state,CD,DC
13092.gender,***,M
16759.marriedexemp,2x600,2600
15890.childexemp,***,0
1541.gender,iF,F
19492.city,CRAFTmSBURY COMMON,CRAFTSBURY COMMON
19030.childexemp,***,0
12654.gender,,F
8661.state,L,FL
7273.gender,,F
16607.city,UAYNABO,GUAYNABO
1810.gender,,F
4754.city,FORTSHAFTER,FORT SHAFTER
5453.childexemp,***,0
18869.singleexemp,***,0
6013.gender,***,F
14973.state,xHI,HI
8327.state,OC,CO
15857.city,HIALEY-*,HAILEY-*
1715.state,MsI,MI
13774.state,TC,CT
17039.city,HADRAWAY,HARDAWAY
10472.city,BSOWELL,BOSWELL
7923.city,HARMNOY,HARMONY
9689.gender,,F
19954.singleexemp,78,87
3840.singleexemp,,0
7194.singleexemp,5375,3575
9619.childexemp,w0,0
14772.state,WqV,WV
19508.city,HANAMAUUL,HANAMAULU
773.state,CN,NC
820.marriedexemp,6s600,6600
8808.state,NiV,NV
10298.childexemp,***,0
14367.marriedexemp,2m20,220
18293.singleexemp,,0
12919.marriedexemp,20,220
18327.childexemp,***,0
4752.childexemp,b0,0
18292.childexemp,,0
9536.city,LOWELL***,LOWELL
2378.state,CD,DC
14391.singleexemp,,0
13148.marriedexemp,202,220
5173.marriedexemp,,0
10862.gender,bF,F
3136.singleexemp,,0
4560.marriedexemp,,0
18574.singleexemp,02,20
11195.marriedexemp,***,0
9260.state,JN,NJ
6101.childexemp,1q500,1500
6554.state,PdA,PA
14572.marriedexemp,,0
15581.marriedexemp,***,0
12907.singleexemp,b0,0
14020.gender,gF,F
442.state,C,DC
9157.state,T,CT
3113.gender,***,F
16458.gender,***,F
17112.city,GRENWOOD,GREENWOOD
1114.singleexemp,p0,0
19485.childexemp,i0,0
18105.marriedexemp,2b080,2080
8689.childexemp,***,0
5659.state,TV,VT
14569.childexemp,w0,0
14310.gender,,F
3169.gender,,F
11315.city,HALnIFAX,HALIFAX
7286.city,HAGbERSTOWN,HAGERSTOWN
2381.state,DlC,DC
2289.state,iDC,DC
5736.singleexemp,,0
12518.marriedexemp,***,0
14327.state,CaT,CT
19713.city,GURBO,GURABO
3114.singleexemp,o0,0
19798.gender,xF,F
13414.state,JN,NJ
866.state,DhC,DC
11624.marriedexemp,220***,220
12775.singleexemp,,0
15210.state,JN,NJ
2696.childexemp,***,0
15445.state,J,NJ
13958.state,T,CT
13138.marriedexemp,20,220
2036.childexemp,3300***,3300
17524.gender,jF,F
18640.city,BAYvAMON,BAYAMON
8444.marriedexemp,660t0,6600
18293.marriedexemp,2000***,2000
3116.state,C,DC
17033.marriedexemp,500,4500
5845.city,RICHOWOD,RICHWOOD
11147.state,zCT,CT
10773.childexemp,w0,0
2062.state,DdC,DC
2088.state,eDC,DC
2113.gender,***,F
17901.singleexemp,,0
12904.singleexemp,u0,0
7575.state,HN,NH
3397.city,RENzVILLE,RENVILLE
15677.childexemp,,0
18461.state,I,RI
8679.marriedexemp,q0,0
11134.city,HILEY-*,HAILEY-*
9574.state,J,NJ
12495.childexemp,***,0
4126.state,LF,FL
17704.state,cCT,CT
7681.city,RIVERSIE,RIVERSIDE
584.city,AADMSVILLE,ADAMSVILLE
7174.city,HARMOYN,HARMONY
9329.childexemp,w0,0
13036.childexemp,***,0
19798.singleexemp,***,0
11195.state,AP,PA
10967.state,JN,NJ
18922.city,HANCEVILLE***,HANCEVILLE
17721.state,J,NJ
3047.state,CD,DC
12575.state,T,CT
7681.marriedexemp,,0
18091.childexemp,***,0
19421.city,dHALL,HALL
15352.city,ROCKVLILE,ROCKVILLE
12840.state,HO,OH
15818.childexemp,***,0
17620.state,OC,CO
9.state,CD,DC
1836.childexemp,l0,0
5840.marriedexemp,2800,2080
12430.gender,,M
604.state,jDC,DC
19029.city,GRABO,GURABO
2830.state,DlC,DC
17731.marriedexemp,,0
1932.state,CD,DC
10560.gender,,M
4715.city,GUNNISON***,GUNNISON
499.childexemp,s0,0
10945.gender,***,F
18354.gender,,F
16180.marriedexemp,220***,220
18735.city,GURBAO,GURABO
5086.city,UCILE,LUCILE
10971.singleexemp,***,0
5098.singleexemp,,0
16194.state,IbL,IL
17131.childexemp,2000***,2000
13448.childexemp,***,0
19162.city,NEW ORLANS,NEW ORLEANS
14562.state,J,NJ
2819.singleexemp,y0,0
5090.childexemp,***,0
10384.marriedexemp,j220,220
18651.singleexemp,3755,3575
17391.singleexemp,,0
9330.marriedexemp,2008,2080
1389.singleexemp,,0
17315.childexemp,g0,0
13074.gender,yF,F
14529.gender,,F
15934.state,T,UT
14047.childexemp,***,0
19919.city,HAMPON,HAMPTON
8249.childexemp,,0
18904.gender,***,M
8636.singleexemp,***,0
18213.childexemp,***,0
4211.childexemp,300***,300
15600.gender,xF,F
4846.marriedexemp,0280,2080
11322.state,CsO,CO
6508.marriedexemp,6g600,6600
5838.city,HMPTON,HAMPTON
11963.childexemp,100,1500
1752.state,CD,DC
6593.city,HRADIN,HARDIN
1197.gender,***,F
13232.city,HALLEKC,HALLECK
11780.childexemp,,0
17388.city,GREyNADA,GRENADA
15444.childexemp,101,110
10682.marriedexemp,20,220
4072.marriedexemp,800,1800
6577.state,KkS,KS
6013.state,CuT,CT
1682.marriedexemp,***,0
15794.state,OC,CO
13420.gender,***,F
17240.city,HANCOCcK,HANCOCK
7721.gender,oF,F
10090.singleexemp,w0,0
12598.singleexemp,,0
15499.gender,zF,F
19184.state,T,MT
3322.singleexemp,,0
19573.marriedexemp,080,2080
15468.gender,***,F
9911.marriedexemp,m220,220
15824.marriedexemp,,0
12666.gender,,F
3637.childexemp,300,3300
17901.state,OC,CO
17069.gender,***,F
10946.singleexemp,o0,0
11245.marriedexemp,150,7150
14493.singleexemp,***,0
5390.singleexemp,***,0
17738.childexemp,00,900
14344.marriedexemp,20,220
11246.marriedexemp,4200***,4200
19149.state,OC,CO
19876.state,D,ID
17896.marriedexemp,202,220
11697.childexemp,***,0
14806.state,vAL,AL
15805.marriedexemp,2y20,220
18483.city,THEk ROCK,THE ROCK
18284.marriedexemp,202,220
5057.singleexemp,***,0
13232.childexemp,,0
6975.marriedexemp,71j50,7150
4069.childexemp,a0,0
13919.marriedexemp,j0,0
15553.city,HAMMqOND,HAMMOND
17402.marriedexemp,g220,220
894.state,CD,DC
19179.childexemp,,0
18285.state,KjY,KY
11017.childexemp,1f200,1200
10658.gender,tM,M
16996.marriedexemp,660i0,6600
5557.childexemp,,0
3339.gender,,F
15888.city,HAMPOTN,HAMPTON
19608.city,BETON,BENTON
18327.singleexemp,***,0
9220.singleexemp,33u00,3300
12793.gender,wF,F
13433.state,V,NV
8664.gender,***,F
18786.gender,,F
10103.state,TC,CT
3499.state,A,WA
3637.gender,***,F
708.city,GUeLFPORT,GULFPORT
14181.gender,***,F
10278.gender,sF,F
18365.state,O,CO
242.childexemp,***,0
6505.marriedexemp,2r20,220
2464.childexemp,b0,0
9795.state,CiT,CT
19032.childexemp,***,0
7157.marriedexemp,026,206
13999.marriedexemp,20,220
5683.singleexemp,,0
15288.state,JN,NJ
12042.singleexemp,***,0
6746.marriedexemp,400,4000
17425.gender,bF,F
13440.marriedexemp,20,220
13904.city,BELMOT,BELMONT
4109.gender,,F
6967.city,AGERSTOWN,HAGERSTOWN
6231.childexemp,***,0
9139.city,GOVER,GROVER
9375.marriedexemp,220***,220
5098.state,OC,CO
7445.city,APCHE JUNCTION,APACHE JUNCTION
4039.city,nWATKINS,WATKINS
3534.state,EN,NE
13255.marriedexemp,***,0
15313.singleexemp,,0
13060.childexemp,,0
2996.marriedexemp,202,220
8359.singleexemp,,0
11801.marriedexemp,,0
2092.singleexemp,,0
8521.singleexemp,***,0
1059.childexemp,***,0
16.gender,dM,M
18231.singleexemp,***,0
6205.singleexemp,***,0
9589.state,J,NJ
2983.gender,,M
10230.singleexemp,***,0
15510.gender,***,F
17732.childexemp,t0,0
6349.gender,,F
10028.singleexemp,,0
17114.city,FORVILLE,FORTVILLE
7427.state,T,CT
10238.gender,***,F
11860.city,HAILY-*,HAILEY-*
8620.gender,,M
1846.childexemp,v0,0
3373.childexemp,b0,0
1633.state,I,MI
804.city,NORTH RBIDGTON,NORTH BRIDGTON
7556.marriedexemp,***,0
15552.marriedexemp,***,0
16480.state,OC,CO
1884.state,NpJ,NJ
8437.city,HANOER,HANOVER
15724.singleexemp,t0,0
4504.marriedexemp,***,0
9617.state,CgO,CO
14915.singleexemp,***,0
13841.childexemp,,0
611.singleexemp,,0
15575.singleexemp,u0,0
7748.city,TOPfEKA,TOPEKA
14231.marriedexemp,,0
16233.gender,,F
11844.marriedexemp,***,0
18446.singleexemp,00,900
9940.state,A,CA
14027.state,T,CT
7867.gender,,F
19701.singleexemp,***,0
14317.gender,cF,F
15973.singleexemp,100,1000
10843.childexemp,,0
18581.state,GaA,GA
5275.singleexemp,***,0
6988.singleexemp,200t0,2000
13096.city,GREYBULL***,GREYBULL
14685.marriedexemp,7105,7150
3568.childexemp,,0
4753.city,HAMPTNO,HAMPTON
17116.state,nNJ,NJ
11165.gender,iF,F
12107.city,GUIDL,GUILD
2392.singleexemp,***,0
9854.childexemp,c0,0
6944.childexemp,b0,0
5140.childexemp,h0,0
13275.marriedexemp,200,2080
12188.state,NwJ,NJ
5627.marriedexemp,f220,220
3798.gender,***,F
19443.childexemp,***,0
8609.city,ROCKPORT,BROCKPORT
10760.singleexemp,***,0
2055.singleexemp,j0,0
8832.city,GNLOCK,GUNLOCK
3100.marriedexemp,2v080,2080
7460.singleexemp,***,0
2254.state,CD,DC
7416.singleexemp,,0
14121.state,TC,CT
8871.city,tHALLOWELL,HALLOWELL
2341.childexemp,p0,0
18561.singleexemp,110***,110
7463.marriedexemp,,0
11480.state,iCO,CO
16656.singleexemp,,0
5254.childexemp,y0,0
3065.marriedexemp,g4800,4800
17633.childexemp,c0,0
16040.state,hCT,CT
5441.childexemp,,0
11089.singleexemp,,0
8251.singleexemp,***,0
7896.childexemp,***,0
15128.singleexemp,v0,0
3783.city,GUILORD,GUILFORD
5128.gender,,M
14370.childexemp,,0
17035.childexemp,***,0
8045.singleexemp,,0
15734.gender,***,F
11129.singleexemp,***,0
12981.marriedexemp,j0,0
19013.state,gMD,MD
6719.childexemp,u0,0
7148.state,ZA,AZ
16216.state,T,CT
17730.singleexemp,***,0
7063.city,HAMOND,HAMMOND
13483.childexemp,p3300,3300
18798.marriedexemp,080,2080
3714.gender,,F
6975.city,GILL***,GILL
19019.gender,eM,M
19713.gender,***,F
16235.childexemp,245,2475
14625.state,T,CT
11131.gender,***,F
18847.state,JN,NJ
4713.singleexemp,***,0
10374.childexemp,***,0
1249.singleexemp,***,0
13988.marriedexemp,2008,2080
17852.childexemp,o0,0
1376.state,CD,DC
18772.gender,,M
9287.singleexemp,,0
3461.singleexemp,3030,3300
12631.gender,***,F
5076.childexemp,***,0
18497.marriedexemp,20,220
7252.gender,oF,F
5306.gender,,M
2418.singleexemp,,0
16193.childexemp,l0,0
1144.singleexemp,q0,0
3875.city,CATAWAB,CATAWBA
4755.city,SANTA RCUZ,SANTA CRUZ
7420.state,nIL,IL
12098.gender,rM,M
15687.state,JN,NJ
17481.city,AHCHITA,HACHITA
10368.childexemp,j0,0
19649.state,J,NJ
1858.state,MN,NM
12021.state,J,NJ
10740.state,NaD,ND
18231.gender,xF,F
5838.state,TC,CT
14803.gender,***,F
6854.gender,***,M
6309.singleexemp,100,1900
1410.marriedexemp,,0
15718.singleexemp,,0
18470.marriedexemp,22v0,220
17036.state,PdR,PR
2038.state,T,CT
14044.singleexemp,***,0
2635.city,ARPER,HARPER
11032.gender,***,F
16390.singleexemp,v0,0
14247.gender,***,F
3352.state,CyO,CO
19563.gender,***,M
16308.marriedexemp,660,6600
17363.city,OWNER,TOWNER
8376.city,TOTOxWA,TOTOWA
12851.city,HNUTINGTON,HUNTINGTON
2171.childexemp,i0,0
7972.childexemp,,0
7237.state,T,CT
19267.city,GILMANTON IRONn WORKS,GILMANTON IRON WORKS
10561.singleexemp,7g00,700
5887.marriedexemp,138,318
11483.state,xCO,CO
14432.marriedexemp,,0
3334.childexemp,k0,0
4917.singleexemp,***,0
18290.state,O,CO
2517.state,CD,DC
12178.city,ROVES,GROVES
19432.singleexemp,d0,0
16344.city,HAMDEaN,HAMDEN
4298.state,cAK,AK
2791.childexemp,f0,0
3821.marriedexemp,150,7150
19314.childexemp,x0,0
4384.gender,,F
13281.gender,,F
5294.city,ySHELBURNE,SHELBURNE
15679.city,ALEIWA,HALEIWA
528.city,OCRNING,CORNING
1192.gender,nM,M
18062.state,TC,CT
10124.marriedexemp,20,220
9529.childexemp,b1200,1200
11219.state,jNJ,NJ
19431.state,OC,CO
8521.city,GUFFEdY,GUFFEY
9040.childexemp,,0
18983.city,GUAYAAM,GUAYAMA
11676.marriedexemp,g220,220
7171.singleexemp,j0,0
15468.city,SWNATON,SWANTON
18339.marriedexemp,v0,0
19016.gender,***,F
12122.state,CD,DC
16896.state,T,CT
19699.city,HARMxONY,HARMONY
12249.city,HAPP YJACK,HAPPY JACK
4882.childexemp,***,0
19119.singleexemp,***,0
10939.city,HANSNE,HANSEN
10127.childexemp,***,0
2911.state,AV,VA
13227.marriedexemp,202,220
16933.gender,,F
15460.childexemp,***,0
9211.singleexemp,q0,0
2556.childexemp,***,0
8446.city,GAYAMA,GUAYAMA
13836.state,JN,NJ
13252.state,JN,NJ
261.state,DkC,DC
7132.childexemp,h2300,2300
11706.city,GUAYeNABO,GUAYNABO
7471.city,GUNNION,GUNNISON
9310.city,BEAR CdREEK,BEAR CREEK
12753.city,GUmILD,GUILD
16835.city,GvUAYNABO,GUAYNABO
11337.singleexemp,3300***,3300
8252.childexemp,0200,2000
15841.city,ANTEE,SANTEE
18106.childexemp,***,0
9667.gender,***,F
19973.marriedexemp,202,220
15391.singleexemp,300,3300
9152.gender,***,F
16984.marriedexemp,220***,220
14049.gender,***,M
15954.state,J,NJ
19710.singleexemp,a0,0
489.childexemp,***,0
17975.gender,oF,F
12428.marriedexemp,***,0
4572.marriedexemp,c4500,4500
5668.city,SAN ATONIO,SAN ANTONIO
15452.state,kNJ,NJ
2056.state,sDC,DC
14569.singleexemp,q0,0
16664.state,sMI,MI
14133.city,dWEST GREENE,WEST GREENE
3035.gender,***,F
13423.city,WASHINTGON,WASHINGTON
11389.city,HAKU-*,HAIKU-*
10420.singleexemp,,0
10258.gender,aM,M
17042.gender,bM,M
10917.childexemp,n0,0
1325.city,HLALECK,HALLECK
4084.gender,***,M
7587.gender,,F
3635.marriedexemp,i0,0
10775.childexemp,,0
6108.marriedexemp,s220,220
12048.marriedexemp,200,2080
11808.gender,lF,F
15386.state,TC,CT
6812.city,WEST BURLINGON,WEST BURLINGTON
16058.childexemp,***,0
1688.state,SK,KS
5124.gender,***,F
15273.city,BOjULDER,BOULDER
11967.gender,vF,F
4383.childexemp,v0,0
11382.marriedexemp,20,220
14832.childexemp,***,0
14841.state,NyJ,NJ
11696.marriedexemp,280,2080
13676.state,A,CA
16761.city,JSAPER,JASPER
