labels,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage,i_w_bhr_weg,o_w_bhr_power,o_w_bhr_voltage,i_w_bru_weg,o_w_bru_power,o_w_bru_voltage,i_w_hr_weg,o_w_hr_power,o_w_hr_voltage,i_w_hl_weg,o_w_hl_power,o_w_hl_voltage
0,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59
0,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59
0,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59
0,-107,0,0,0,0,0,395,724,3,581,28,1,-175,27044,410,-179,30475,382
0,-107,0,0,0,0,0,395,724,3,581,28,1,-175,27044,410,-179,30475,382
0,-107,0,0,0,0,0,395,724,3,581,28,1,-175,27044,410,-179,30475,382
0,-107,0,0,0,0,0,395,724,3,581,28,1,-175,27044,410,-179,30475,382
0,-107,0,0,0,0,0,395,242,1,581,17,1,-582,17384,395,-585,9250,402
0,-107,0,0,0,0,0,395,242,1,581,17,1,-582,17384,395,-585,9250,402
0,-107,0,0,0,0,0,395,242,1,581,17,1,-582,17384,395,-585,9250,402
0,-107,0,0,0,0,0,395,0,0,581,7,1,-816,25813,118,-817,14912,115
0,-107,0,0,0,0,0,395,0,0,581,7,1,-816,25813,118,-817,14912,115
0,-107,0,0,0,0,0,395,0,0,581,7,1,-816,25813,118,-817,14912,115
0,-107,0,0,0,0,0,3,25714,44,581,4,0,-832,153,31,-833,26256,31
0,-107,0,0,0,0,0,3,25714,44,581,4,0,-832,153,31,-833,26256,31
0,-107,0,0,0,0,0,3,25714,44,581,4,0,-832,153,31,-833,26256,31
0,-107,0,0,0,0,0,81,21120,55,581,0,0,-833,23347,29,-833,22245,29
0,-107,0,0,0,0,0,81,21120,55,581,0,0,-833,23347,29,-833,22245,29
0,-107,0,0,0,0,0,81,21120,55,581,0,0,-833,23347,29,-833,22245,29
0,-107,0,0,0,0,0,81,21120,55,581,0,0,-833,23347,29,-833,22245,29
0,-107,0,0,0,0,0,160,22971,56,581,0,0,-833,17209,29,-833,20824,29
0,-107,0,0,0,0,0,160,22971,56,581,0,0,-833,17209,29,-833,20824,29
0,-107,0,0,0,0,0,160,22971,56,581,0,0,-833,17209,29,-833,20824,29
0,-107,0,0,0,0,0,160,22971,56,581,0,0,-833,17209,29,-833,20824,29
0,-107,0,0,0,0,0,160,22971,56,581,0,0,-833,17209,29,-833,20824,29
0,-107,0,0,0,0,0,239,21546,56,581,0,0,-833,18591,29,-833,20157,29
0,-107,0,0,0,0,0,239,21546,56,581,0,0,-833,18591,29,-833,20157,29
0,-107,0,0,0,0,0,239,21546,56,581,0,0,-833,18591,29,-833,20157,29
0,-107,0,0,53,21504,56,317,19656,54,581,0,0,-833,13888,27,-833,15697,27
0,-107,0,0,53,21504,56,317,19656,54,581,0,0,-833,13888,27,-833,15697,27
0,-107,0,0,53,21504,56,317,19656,54,581,0,0,-833,13888,27,-833,15697,27
0,-107,0,0,133,20900,55,396,18920,55,581,0,0,-833,11042,26,-833,14995,27
0,-107,0,0,133,20900,55,396,18920,55,581,0,0,-833,11042,26,-833,14995,27
0,-107,0,0,133,20900,55,396,18920,55,581,0,0,-833,11042,26,-833,14995,27
0,-107,0,0,212,30318,61,470,2772,22,581,0,0,-833,9820,26,-833,14563,27
0,-107,0,0,212,30318,61,470,2772,22,581,0,0,-833,9820,26,-833,14563,27
0,-107,0,0,212,30318,61,470,2772,22,581,0,0,-833,9820,26,-833,14563,27
0,-107,0,0,212,30318,61,470,2772,22,581,0,0,-833,9820,26,-833,14563,27
0,-107,0,0,291,21945,57,476,72,2,581,0,0,-833,8624,26,-833,24985,29
0,-107,0,0,291,21945,57,476,72,2,581,0,0,-833,8624,26,-833,24985,29
0,-107,0,0,291,21945,57,476,72,2,581,0,0,-833,8624,26,-833,24985,29
0,-107,0,0,291,21945,57,476,72,2,581,0,0,-833,8624,26,-833,24985,29
0,-107,0,0,371,23870,56,476,80,1,581,0,0,-833,7428,24,-833,23869,29
0,-107,0,0,371,23870,56,476,80,1,581,0,0,-833,7428,24,-833,23869,29
0,-107,0,0,371,23870,56,476,80,1,581,0,0,-833,7428,24,-833,23869,29
0,-107,0,0,371,23870,56,476,80,1,581,0,0,-833,7428,24,-833,23869,29
0,-107,0,0,449,25926,58,476,28,1,581,0,0,-833,3616,26,-833,30317,29
0,-107,0,0,449,25926,58,476,28,1,581,0,0,-833,3616,26,-833,30317,29
0,-107,0,0,449,25926,58,476,28,1,581,0,0,-833,3616,26,-833,30317,29
0,-107,0,0,527,24534,58,476,18,1,581,0,0,-833,3544,24,-833,31557,31
0,-107,0,0,527,24534,58,476,18,1,581,0,0,-833,3544,24,-833,31557,31
0,-107,0,0,527,24534,58,476,18,1,581,0,0,-833,3544,24,-833,31557,31
0,-107,0,0,606,21505,55,476,6,1,581,0,0,-833,3544,26,-833,31247,31
0,-107,0,0,606,21505,55,476,6,1,581,0,0,-833,3544,26,-833,31247,31
0,-107,0,0,606,21505,55,476,6,1,581,0,0,-833,3544,26,-833,31247,31
0,-107,0,0,606,21505,55,476,6,1,581,0,0,-833,3544,26,-833,31247,31
0,2,13842,19,685,20664,57,476,2,1,581,0,0,-833,6570,24,-833,30782,31
1,2,13842,19,685,20664,57,476,2,1,581,0,0,-833,6570,24,-833,30782,31
1,2,13842,19,685,20664,57,476,2,1,581,0,0,-833,6570,24,-833,30782,31
1,2,13842,19,685,20664,57,476,2,1,581,0,0,-833,6570,24,-833,30782,31
1,61,31378,57,764,22230,57,476,0,0,581,0,0,-833,4048,24,-833,30162,31
1,61,31378,57,764,22230,57,476,0,0,581,0,0,-833,4048,24,-833,30162,31
1,61,31378,57,764,22230,57,476,0,0,581,0,0,-833,4048,24,-833,30162,31
1,61,31378,57,764,22230,57,476,0,0,581,0,0,-833,4048,24,-833,30162,31
1,135,30942,55,838,21448,56,476,0,0,581,0,0,-833,7116,26,-833,24971,29
1,135,30942,55,838,21448,56,476,0,0,581,0,0,-833,7116,26,-833,24971,29
1,135,30942,55,838,21448,56,476,0,0,581,0,0,-833,7116,26,-833,24971,29
1,215,34818,57,876,244,2,476,0,0,581,0,0,-833,7428,26,-833,22071,29
1,215,34818,57,876,244,2,476,0,0,581,0,0,-833,7428,26,-833,22071,29
1,215,34818,57,876,244,2,476,0,0,581,0,0,-833,7428,26,-833,22071,29
1,215,34818,57,876,244,2,476,0,0,581,0,0,-833,7428,26,-833,22071,29
1,294,33028,56,877,113,2,476,0,0,581,0,0,-833,7714,24,-833,13591,27
1,294,33028,56,877,113,2,476,0,0,581,0,0,-833,7714,24,-833,13591,27
1,294,33028,56,877,113,2,476,0,0,581,0,0,-833,7714,24,-833,13591,27
1,371,33084,56,877,103,1,476,0,0,581,0,0,-833,7974,26,-833,8442,26
1,371,33084,56,877,103,1,476,0,0,581,0,0,-833,7974,26,-833,8442,26
1,371,33084,56,877,103,1,476,0,0,581,0,0,-833,7974,26,-833,8442,26
1,452,34134,57,877,93,1,476,0,0,581,0,0,-833,8182,24,-833,6258,26
1,452,34134,57,877,93,1,476,0,0,581,0,0,-833,8182,24,-833,6258,26
1,452,34134,57,877,93,1,476,0,0,581,0,0,-833,8182,24,-833,6258,26
1,452,34134,57,877,93,1,476,0,0,581,0,0,-833,8182,24,-833,6258,26
1,530,30726,54,877,76,1,476,0,0,581,0,0,-833,8442,26,-833,3376,27
1,530,30726,54,877,76,1,476,0,0,581,0,0,-833,8442,26,-833,3376,27
1,530,30726,54,877,76,1,476,0,0,581,0,0,-833,8442,26,-833,3376,27
1,586,21898,38,877,58,0,476,0,0,581,0,0,-833,8780,26,-833,7454,26
1,586,21898,38,877,58,0,476,0,0,581,0,0,-833,8780,26,-833,7454,26
1,586,21898,38,877,58,0,476,0,0,581,0,0,-833,8780,26,-833,7454,26
1,586,21898,38,877,58,0,476,0,0,581,0,0,-833,8780,26,-833,7454,26
1,586,21898,38,877,58,0,476,0,0,581,0,0,-833,8780,26,-833,7454,26
1,615,11025,11,877,0,1,476,0,0,581,0,0,-833,9092,24,-833,10108,26
1,615,11025,11,877,0,1,476,0,0,581,0,0,-833,9092,24,-833,10108,26
1,615,11025,11,877,0,1,476,0,0,581,0,0,-833,9092,24,-833,10108,26
1,562,33621,58,877,0,0,476,0,0,581,0,0,-833,6112,26,-833,9092,26
1,562,33621,58,877,0,0,476,0,0,581,0,0,-833,6112,26,-833,9092,26
1,562,33621,58,877,0,0,476,0,0,581,0,0,-833,6112,26,-833,9092,26
1,483,33364,56,877,0,0,476,0,0,581,0,0,-833,6376,26,-833,11674,26
1,483,33364,56,877,0,0,476,0,0,581,0,0,-833,6376,26,-833,11674,26
1,483,33364,56,877,0,0,476,0,0,581,0,0,-833,6376,26,-833,11674,26
1,405,31616,55,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10236,27
1,405,31616,55,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10236,27
1,405,31616,55,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10236,27
1,405,31616,55,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10236,27
1,327,31292,57,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10886,26
1,327,31292,57,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10886,26
1,327,31292,57,877,0,0,476,0,0,581,0,0,-833,9638,26,-833,10886,26
1,249,32748,56,0,0,0,476,0,0,581,0,0,-833,9950,26,-833,12646,27
1,249,32748,56,0,0,0,476,0,0,581,0,0,-833,9950,26,-833,12646,27
1,249,32748,56,0,0,0,476,0,0,581,0,0,-833,9950,26,-833,12646,27
1,249,32748,56,0,0,0,476,0,0,581,0,0,-833,9950,26,-833,12646,27
1,249,32748,56,0,0,0,476,0,0,581,0,0,-833,9950,26,-833,12646,27
1,171,32886,57,-50,21222,54,476,0,0,581,0,0,-833,9976,26,-833,13456,27
1,171,32886,57,-50,21222,54,476,0,0,581,0,0,-833,9976,26,-833,13456,27
1,171,32886,57,-50,21222,54,476,0,0,581,0,0,-833,9976,26,-833,13456,27
1,91,31684,56,-130,21056,55,476,0,0,581,0,0,-833,6856,26,-833,17808,27
1,91,31684,56,-130,21056,55,476,0,0,581,0,0,-833,6856,26,-833,17808,27
1,91,31684,56,-130,21056,55,476,0,0,581,0,0,-833,6856,26,-833,17808,27
1,18,16689,33,-208,22400,57,476,0,0,581,0,1,-833,9950,26,-833,18591,29
1,18,16689,33,-208,22400,57,476,0,0,581,0,1,-833,9950,26,-833,18591,29
1,18,16689,33,-208,22400,57,476,0,0,581,0,1,-833,9950,26,-833,18591,29
1,8,303,3,-286,21924,54,476,0,0,581,0,0,-833,14882,13,-833,21366,14
0,8,303,3,-286,21924,54,476,0,0,581,0,0,-833,14882,13,-833,21366,14
0,8,303,3,-286,21924,54,476,0,0,581,0,0,-833,14882,13,-833,21366,14
0,8,303,3,-286,21924,54,476,0,0,581,0,0,-833,14882,13,-833,21366,14
0,8,303,3,-286,21924,54,476,0,0,581,0,0,-833,14882,13,-833,21366,14
0,8,194,2,-321,399,3,476,0,0,581,0,0,-686,30021,297,-682,13466,299
0,8,194,2,-321,399,3,476,0,0,581,0,0,-686,30021,297,-682,13466,299
0,8,168,2,-321,116,1,476,0,0,581,0,0,-313,19128,427,-307,32069,430
0,8,168,2,-321,116,1,476,0,0,581,0,0,-313,19128,427,-307,32069,430
0,8,168,2,-321,116,1,476,0,0,581,0,0,-313,19128,427,-307,32069,430
0,8,168,2,-321,116,1,476,0,0,581,0,0,-313,19128,427,-307,32069,430
0,8,168,2,-321,116,1,476,0,0,581,0,0,-313,19128,427,-307,32069,430
0,8,124,1,-321,88,1,476,1,1,581,0,1,-32,17598,110,-31,19789,115
0,8,124,1,-321,88,1,476,1,1,581,0,1,-32,17598,110,-31,19789,115
0,8,124,1,-321,88,1,476,1,1,581,0,1,-32,17598,110,-31,19789,115
0,8,86,2,0,8180,20,476,2,1,581,2,0,0,304,24,0,6064,24
0,8,86,2,0,8180,20,476,2,1,581,2,0,0,304,24,0,6064,24
0,8,86,2,0,8180,20,476,2,1,581,2,0,0,304,24,0,6064,24
0,8,33,1,-72,23688,56,476,2,1,581,0,0,0,3996,26,0,10366,24
0,8,33,1,-72,23688,56,476,2,1,581,0,0,0,3996,26,0,10366,24
0,8,33,1,-72,23688,56,476,2,1,581,0,0,0,3996,26,0,10366,24
0,8,23,1,-151,23352,55,476,0,1,581,0,0,0,2128,24,0,7408,26
0,8,23,1,-151,23352,55,476,0,1,581,0,0,0,2128,24,0,7408,26
0,8,23,1,-151,23352,55,476,0,1,581,0,0,0,2128,24,0,7408,26
0,8,23,1,-151,23352,55,476,0,1,581,0,0,0,2128,24,0,7408,26
0,8,23,1,-151,23352,55,476,0,1,581,0,0,0,2128,24,0,7408,26
0,8,13,0,-234,23296,57,476,0,0,581,0,0,0,5764,26,0,8080,26
0,8,13,0,-234,23296,57,476,0,0,581,0,0,0,5764,26,0,8080,26
0,8,13,0,-234,23296,57,476,0,0,581,0,0,0,5764,26,0,8080,26
0,8,0,0,-313,20832,56,0,56,1,581,0,0,0,6908,26,0,11822,26
0,8,0,0,-313,20832,56,0,56,1,581,0,0,0,6908,26,0,11822,26
0,8,0,0,-313,20832,56,0,56,1,581,0,0,0,6908,26,0,11822,26
0,8,0,0,-391,23520,56,-58,19062,52,581,0,0,0,8442,26,0,11822,26
0,8,0,0,-391,23520,56,-58,19062,52,581,0,0,0,8442,26,0,11822,26
0,8,0,0,-391,23520,56,-58,19062,52,581,0,0,0,8442,26,0,11822,26
0,8,0,0,-391,23520,56,-58,19062,52,581,0,0,0,8442,26,0,11822,26
0,8,0,0,-391,23520,56,-58,19062,52,581,0,0,0,8442,26,0,11822,26
0,8,0,0,-469,21489,56,-137,18816,56,581,0,0,0,12106,26,0,8080,26
0,8,0,0,-469,21489,56,-137,18816,56,581,0,0,0,12106,26,0,8080,26
0,8,0,0,-469,21489,56,-137,18816,56,581,0,0,0,12106,26,0,8080,26
0,8,0,0,-540,5292,27,-214,23199,57,581,0,0,0,17286,27,0,11094,26
0,8,0,0,-540,5292,27,-214,23199,57,581,0,0,0,17286,27,0,11094,26
0,8,0,0,-540,5292,27,-214,23199,57,581,0,0,0,17286,27,0,11094,26
0,8,0,0,-547,100,1,-293,19494,54,581,0,0,0,19287,29,0,10756,24
0,8,0,0,-547,100,1,-293,19494,54,581,0,0,0,19287,29,0,10756,24
0,8,0,0,-547,100,1,-293,19494,54,581,0,0,0,19287,29,0,10756,24
0,8,0,0,-547,100,1,-293,19494,54,581,0,0,0,19287,29,0,10756,24
0,8,0,0,-547,88,1,-371,20748,57,581,0,0,0,24458,29,0,10028,26
0,8,0,0,-547,88,1,-371,20748,57,581,0,0,0,24458,29,0,10028,26
0,8,0,0,-547,88,1,-371,20748,57,581,0,0,0,24458,29,0,10028,26
0,8,0,0,-547,0,1,-448,24304,56,581,0,0,0,22245,29,0,5090,23
0,8,0,0,-547,0,1,-448,24304,56,581,0,0,0,22245,29,0,5090,23
0,8,0,0,-547,0,1,-448,24304,56,581,0,0,0,22245,29,0,5090,23
0,8,0,0,-547,0,0,-527,21112,56,581,0,0,0,22970,31,0,5872,24
0,8,0,0,-547,0,0,-527,21112,56,581,0,0,0,22970,31,0,5872,24
0,8,0,0,-547,0,0,-527,21112,56,581,0,0,0,22970,31,0,5872,24
0,8,0,0,-547,0,0,-527,21112,56,581,0,0,0,22970,31,0,5872,24
0,8,0,0,-547,0,0,-527,21112,56,581,0,0,0,22970,31,0,5872,24
0,8,0,0,-547,0,0,-605,21504,56,581,0,0,0,22970,31,0,5440,24
0,8,0,0,-547,0,0,-605,21504,56,581,0,0,0,22970,31,0,5440,24
0,8,0,0,-547,0,0,-605,21504,56,581,0,0,0,22970,31,0,5440,24
0,8,0,0,-547,0,0,-683,19525,52,-22,23655,56,0,22825,29,0,5008,24
0,8,0,0,-547,0,0,-683,19525,52,-22,23655,56,0,22825,29,0,5008,24
0,8,0,0,-547,0,0,-683,19525,52,-22,23655,56,0,22825,29,0,5008,24
0,8,0,0,-547,0,0,-762,17655,55,-100,22173,57,0,18968,29,0,5008,24
0,8,0,0,-547,0,0,-762,17655,55,-100,22173,57,0,18968,29,0,5008,24
0,8,0,0,-547,0,0,-762,17655,55,-100,22173,57,0,18968,29,0,5008,24
0,8,0,0,-547,0,0,-841,17697,51,-180,23142,57,0,11354,26,0,3434,23
0,8,0,0,-547,0,0,-841,17697,51,-180,23142,57,0,11354,26,0,3434,23
0,8,0,0,-547,0,0,-841,17697,51,-180,23142,57,0,11354,26,0,3434,23
0,8,0,0,-547,0,0,-841,17697,51,-180,23142,57,0,11354,26,0,3434,23
0,8,0,0,-547,0,0,-841,17697,51,-180,23142,57,0,11354,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-257,28768,60,0,8520,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-257,28768,60,0,8520,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-257,28768,60,0,8520,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-257,28768,60,0,8520,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-337,21224,56,0,5920,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-337,21224,56,0,5920,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-337,21224,56,0,5920,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-415,23769,57,0,4672,24,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-415,23769,57,0,4672,24,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-415,23769,57,0,4672,24,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-415,23769,57,0,4672,24,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-493,25593,56,0,2320,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-493,25593,56,0,2320,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-493,25593,56,0,2320,26,0,3434,23
0,8,0,0,-547,0,0,-873,0,0,-572,23896,60,0,5244,26,0,2974,24
0,8,0,0,-547,0,0,-873,0,0,-572,23896,60,0,5244,26,0,2974,24
0,8,0,0,-547,0,0,-873,0,0,-572,23896,60,0,5244,26,0,2974,24
0,-108,0,0,0,25,1,-1256,0,0,-19,8720,39,0,5972,26,0,10756,26
0,-108,0,0,0,25,1,-1256,0,0,-19,8720,39,0,5972,26,0,10756,26
0,-108,0,0,0,25,1,-1256,0,0,-19,8720,39,0,5972,26,0,10756,26
0,-108,0,0,0,20,1,-1256,0,0,14,22116,56,0,3232,26,0,7408,24
0,-108,0,0,0,20,1,-1256,0,0,14,22116,56,0,3232,26,0,7408,24
0,-108,0,0,0,20,1,-1256,0,0,14,22116,56,0,3232,26,0,7408,24
0,-108,0,0,0,20,1,-1256,0,0,93,24534,57,0,3232,26,0,10756,24
0,-108,0,0,0,20,1,-1256,0,0,93,24534,57,0,3232,26,0,10756,24
0,-108,0,0,0,20,1,-1256,0,0,93,24534,57,0,3232,26,0,10756,24
0,-108,0,0,0,20,1,-1256,0,0,93,24534,57,0,3232,26,0,10756,24
0,-108,0,0,0,20,1,-1256,0,0,93,24534,57,0,3232,26,0,10756,24
0,-108,0,0,0,23,1,-1256,0,0,171,21890,55,0,6232,26,0,10756,24
0,-108,0,0,0,23,1,-1256,0,0,171,21890,55,0,6232,26,0,10756,24
0,-108,0,0,0,23,1,-1256,0,0,171,21890,55,0,6232,26,0,10756,24
0,-108,0,0,0,20,1,-1256,0,0,248,25878,57,0,6388,26,0,7048,24
0,-108,0,0,0,20,1,-1256,0,0,248,25878,57,0,6388,26,0,7048,24
0,-108,0,0,0,20,1,-1256,0,0,248,25878,57,0,6388,26,0,7048,24
0,-108,0,0,0,20,1,-1256,0,0,328,21890,56,0,6726,26,0,7048,24
0,-108,0,0,0,20,1,-1256,0,0,328,21890,56,0,6726,26,0,7048,24
0,-108,0,0,0,20,1,-1256,0,0,328,21890,56,0,6726,26,0,7048,24
0,-108,0,0,0,20,1,-1256,0,0,328,21890,56,0,6726,26,0,7048,24
0,-108,0,0,0,20,0,38,20160,55,406,19926,54,0,7922,26,0,6736,26
0,-108,0,0,0,20,0,38,20160,55,406,19926,54,0,7922,26,0,6736,26
0,-108,0,0,0,20,0,38,20160,55,406,19926,54,0,7922,26,0,6736,26
0,-108,0,0,0,20,1,114,17850,52,482,19140,55,0,12646,27,0,7048,24
0,-108,0,0,0,20,1,114,17850,52,482,19140,55,0,12646,27,0,7048,24
0,-108,0,0,0,20,1,114,17850,52,482,19140,55,0,12646,27,0,7048,24
0,-108,0,0,0,20,1,191,20570,55,558,13938,45,0,15400,27,0,7048,24
0,-108,0,0,0,20,1,191,20570,55,558,13938,45,0,15400,27,0,7048,24
0,-108,0,0,0,20,1,191,20570,55,558,13938,45,0,15400,27,0,7048,24
0,-108,0,0,0,20,1,191,20570,55,558,13938,45,0,15400,27,0,7048,24
0,-108,0,0,0,20,1,191,20570,55,558,13938,45,0,15400,27,0,7048,24
0,-108,0,0,0,20,1,270,18792,55,581,83,1,0,17695,29,0,7048,24
0,-108,0,0,0,20,1,270,18792,55,581,83,1,0,17695,29,0,7048,24
0,-108,0,0,0,20,1,270,18792,55,581,83,1,0,17695,29,0,7048,24
0,-108,0,0,0,20,1,348,22792,56,581,0,0,0,27992,32,0,11484,24
0,-108,0,0,0,20,1,348,22792,56,581,0,0,0,27992,32,0,11484,24
0,-108,0,0,0,20,1,348,22792,56,581,0,0,0,27992,32,0,11484,24
0,-108,0,0,0,20,1,348,22792,56,581,0,0,0,27992,32,0,11484,24
0,-108,0,0,0,20,1,390,852,7,581,0,0,-117,1577,341,-121,29178,323
0,-108,0,0,0,20,1,390,852,7,581,0,0,-117,1577,341,-121,29178,323
0,-108,0,0,0,20,1,390,852,7,581,0,0,-117,1577,341,-121,29178,323
0,-108,0,0,0,19,1,391,297,3,581,0,0,-500,10640,443,-506,29276,446
0,-108,0,0,0,19,1,391,297,3,581,0,0,-500,10640,443,-506,29276,446
0,-108,0,0,0,19,1,391,297,3,581,0,0,-500,10640,443,-506,29276,446
0,-108,0,0,0,20,1,391,0,0,581,0,0,-790,18539,179,-792,5824,174
0,-108,0,0,0,20,1,391,0,0,581,0,0,-790,18539,179,-792,5824,174
0,-108,0,0,0,20,1,391,0,0,581,0,0,-790,18539,179,-792,5824,174
0,-108,0,0,0,20,1,0,2232,13,581,0,0,-832,773,31,-832,26597,31
0,-108,0,0,0,20,1,0,2232,13,581,0,0,-832,773,31,-832,26597,31
0,-108,0,0,0,20,1,0,2232,13,581,0,0,-832,773,31,-832,26597,31
0,-108,0,0,0,20,1,0,2232,13,581,0,0,-832,773,31,-832,26597,31
0,-108,0,0,0,20,1,64,26505,57,581,0,0,-833,22738,27,-833,22100,29
0,-108,0,0,0,20,1,64,26505,57,581,0,0,-833,22738,27,-833,22100,29
0,-108,0,0,0,20,1,64,26505,57,581,0,0,-833,22738,27,-833,22100,29
0,-108,0,0,0,20,1,64,26505,57,581,0,0,-833,22738,27,-833,22100,29
0,-108,0,0,0,20,1,142,18424,55,581,0,0,-833,15454,27,-833,17614,29
0,-108,0,0,0,20,1,142,18424,55,581,0,0,-833,15454,27,-833,17614,29
0,-108,0,0,0,20,1,142,18424,55,581,0,0,-833,15454,27,-833,17614,29
0,-108,0,0,0,18,1,221,19305,55,581,0,0,-833,12781,26,-833,20302,29
0,-108,0,0,0,18,1,221,19305,55,581,0,0,-833,12781,26,-833,20302,29
0,-108,0,0,0,18,1,221,19305,55,581,0,0,-833,12781,26,-833,20302,29
0,-108,0,0,35,24192,57,298,21672,56,581,0,0,-833,10366,26,-833,15697,27
0,-108,0,0,35,24192,57,298,21672,56,581,0,0,-833,10366,26,-833,15697,27
0,-108,0,0,35,24192,57,298,21672,56,581,0,0,-833,10366,26,-833,15697,27
0,-108,0,0,35,24192,57,298,21672,56,581,0,0,-833,10366,26,-833,15697,27
0,-108,0,0,35,24192,57,298,21672,56,581,0,0,-833,10366,26,-833,15697,27
0,-108,0,1,113,20185,55,377,19305,55,581,0,0,-833,10366,26,-833,15130,27
0,-108,0,1,113,20185,55,377,19305,55,581,0,0,-833,10366,26,-833,15130,27
