Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1471498244,JBU8126,NY,PAS,06/25/2020,20,SDN,HYUND,P,62200,33640,35780,20210916,100,100,100,"955,757",0100,0000,0436P,,Q,F,107-10,SHOREFRONT PKWY,,0,408,F2,,BBBBBBB,ALL,ALL,BLACK,0,2009,-,0,,,,,
1471498270,JCM5589,NY,PAS,06/25/2020,20,SDN,NISSA,P,62200,33525,33640,20210207,100,100,100,"955,757",0100,0000,0444P,,Q,F,105-00,SHOREFRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,,
1471498300,HPZ1395,NY,PAS,06/25/2020,20,SDN,NISSA,P,62200,33525,33640,20210502,100,100,100,"955,757",0100,0000,0455P,,Q,F,105-00,SHOREFRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,SILVE,0,2003,-,0,,,,,
1471498311,JME2943,NY,PAS,06/26/2020,20,SDN,ME/BE,P,62200,33640,35780,20211001,100,100,100,"955,757",0100,0000,0226P,,Q,F,106-20,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,,,,
1471498323,HET9586,NC,PAS,06/26/2020,20,SUBN,CHEVR,P,62200,33640,35780,0,100,100,100,"955,757",0100,0000,0224P,,Q,F,106-20,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1471498335,HXS3709,NY,PAS,06/26/2020,20,SDN,TOYOT,P,62200,33640,35780,20220404,100,100,100,"955,757",0100,0000,0217P,,Q,F,107-10,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,PURPL,0,2006,-,0,,,,,
1471498359,LJZV76,FL,PAS,06/26/2020,20,SDN,TOYOT,P,62200,33640,35780,0,100,100,100,"955,757",0100,0000,0221P,,Q,F,106-20,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1471498360,HGE4588,NY,PAS,06/26/2020,20,P-U,TOYOT,P,62200,33640,35780,20200706,100,100,100,"955,757",0100,0000,0216P,,Q,F,107-10,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2020,-,0,,,,,
1471498372,GTD4012,NY,PAS,06/27/2020,20,SUBN,MAZDA,P,62200,33640,35780,20200911,100,100,100,"955,757",0100,0000,0151P,,Q,F,106-20,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,,
1471498384,G99HHS,NJ,PAS,06/27/2020,20,SDN,MAZDA,P,62200,33525,33640,0,100,100,100,"955,757",0100,0000,0149P,,Q,F,105-00,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1471498414,JBC5137,NY,PAS,06/27/2020,20,SUBN,BMW,P,62200,33340,0,20200930,100,100,100,"955,757",0100,0000,0200P,,Q,F,,SHORE FRONT PKWY,BEACH 97 ST,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,,
1471503630,HVV4878,NY,PAS,06/22/2020,50,SDN,HYUND,P,29887,41700,61640,20220506,101,101,101,"950,750",0101,0000,0838A,,Q,O,164,BEACH 6TH STREET,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2017,-,0,,,,,
1471503653,JPJ7674,NY,PAS,06/22/2020,14,SUBN,JEEP,P,61640,29886,40095,20220110,101,101,101,"950,750",0101,0000,0843A,,Q,F,509,SEAGIRT AVENUE,,0,408,E5,,BBBBBBB,ALL,ALL,BLACK,0,2020,-,0,,,,,
1471503665,JNK3349,NY,PAS,06/22/2020,50,SUBN,GMC,P,61690,40610,45095,20211225,101,101,101,"950,750",0101,0000,0852A,,Q,O,20-46,SEAGIRT BLVD,,0,408,C,,BBBBBBB,ALL,ALL,TAN,0,2005,-,0,,,,,
1471503677,JJX3101,NY,PAS,06/22/2020,60,VAN,PONTI,P,45095,40404,40404,20210709,101,101,101,"950,750",0101,0000,0905A,,Q,F,20-30,FERNSIDE PLACE,,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0,2004,-,0,,,,,
1471503689,JKP6092,NY,PAS,06/22/2020,50,SUBN,MERCU,P,30190,56310,57090,20210721,101,101,101,"950,750",0101,0000,0913A,,Q,O,541,BEACH 19TH STREET,,0,408,M2,,BBBBBBB,ALL,ALL,GRAY,0,2008,-,0,,,,,
1471503690,JDD1198,NY,PAS,06/22/2020,50,SDN,CHEVR,P,39790,54440,55995,20200812,101,101,101,"950,750",0101,0000,0932A,,Q,F,837,CORNAGA AVENUE,,0,408,E5,,BBBBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
1471503720,HZG6370,NY,PAS,06/24/2020,50,SDN,ME/BE,P,62200,36290,31540,20220409,101,101,101,"950,750",0101,0000,0925A,,Q,F,57-17,SHORE FRONT PARKWAY,,0,408,E5,,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,,
1471503768,HJR8763,NY,PAS,06/24/2020,50,SDN,HONDA,P,38190,57090,30140,20201109,101,101,101,"950,750",0101,0000,1034A,,Q,O,1602,CAFFREY AVENUE,,0,408,E5,,BBBBBBB,ALL,ALL,BLACK,0,2012,-,0,,,,,
1471503781,KUHC72,FL,PAS,06/24/2020,14,SDN,LEXUS,P,59200,30190,30240,20210331,101,101,101,"950,750",0101,0000,0150P,,Q,O,19-09,PLAINVIEW AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,
1471504256,JRG4000,NY,PAS,06/29/2020,98,SDN,CHRYS,P,47690,29040,37390,20220316,101,101,101,"949,334",0101,0000,1050A,,Q,F,577,GRASSMERE TERRACE,,0,408,D,,BBBBBBB,ALL,ALL,GRAY,0,2007,-,0,,,,,
1471506228,LGA1946,PA,PAS,06/22/2020,40,SDN,LINCO,P,54296,30340,59540,0,101,101,101,"968,018",0101,0000,1050P,,Q,F,22-10,LORETTA ROAD,,0,408,E5,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1471507427,HJR5330,NY,PAS,06/18/2020,14,SDN,INFIN,P,56790,39790,42390,20210413,101,101,101,"950,750",0101,0000,0826A,,Q,F,1055,NEILSON ST,,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1471507439,JLU9915,NY,PAS,06/18/2020,14,SDN,TOYOT,P,56790,39790,42390,20211017,101,101,101,"950,750",0101,0000,0828A,,Q,F,1055,NEILSON ST,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2018,-,0,,,,,
1471507440,JHM7951,NY,PAS,06/18/2020,50,SUBN,HONDA,P,47690,37390,57990,20210519,101,101,101,"950,750",0101,0000,0850A,,Q,O,606,GRASSMERE TERR,,0,408,C,,BBBBBBB,ALL,ALL,RED,0,2008,-,0,,,,,
1471507452,GTT2384,NY,PAS,06/19/2020,50,SUBN,MERCU,P,49390,29940,29990,20201216,101,101,101,"950,750",0101,0000,0818A,,Q,O,12-14,HEYSON ROAD,,0,408,F2,,BBBBBBB,ALL,ALL,BLUE,0,2002,-,0,,,,,
1471507464,HXU1350,NY,PAS,06/19/2020,50,SUBN,JEEP,P,30140,59200,37390,20220226,101,101,101,"950,780",0101,0000,0825A,,Q,O,340,BEACH 17TH STREET,,0,408,E5,,BBBBBBB,ALL,ALL,BLACK,0,2018,-,0,,,,,
1471507476,HZE1282,NY,PAS,06/18/2020,20,SUBN,TOYOT,P,31430,41700,60790,20200516,101,101,101,"950,750",0101,0000,0917A,,Q,O,121,BEACH 56TH PL,,0,408,E5,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1471507490,JAJ5759,OH,PAS,06/18/2020,20,SUBN,JEEP,P,31430,41700,60790,20210531,101,101,101,"950,750",0101,0000,0912A,,Q,O,121,BEACH 56TH PL,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1471507506,JLD3580,NY,OMS,06/19/2020,20,SDN,NISSA,P,31430,41700,60790,20200930,101,101,101,"950,780",0101,0000,0845A,,Q,O,121,BEACH 56TH PLACE,,0,408,E5,,BBBBBBB,ALL,ALL,GRAY,0,2018,-,0,,,,,
1471513786,HDD3387,NY,PAS,06/28/2020,40,SUBN,JEEP,P,17190,20190,20340,20220119,102,102,102,"961,312",0102,0000,1113A,,Q,F,108-11,85 AVE,,0,408,K4,,BBBBBBB,ALL,ALL,BLK,0,2004,-,0,,,,,
1471514882,HPA8755,NY,PAS,07/01/2020,98,SUBN,FORD,P,60810,16740,16890,20220509,102,102,102,"949,909",0102,0000,1255P,,Q,F,81-02,ROCKAWAY BLVD,,0,408,N1,,BBBBBBB,ALL,ALL,WH,0,1998,-,0,,,,,
1471514894,JPC1004,NY,PAS,07/01/2020,98,SUBN,NISSA,P,22040,51090,17790,20211213,102,102,102,"949,969",0102,0000,0143P,,Q,O,87-34,132 ST,,0,408,F2,,BBBBBBB,ALL,ALL,RED,0,2018,-,0,,,,,
1471514900,HJN5086,NY,PAS,07/01/2020,98,SUBN,INFIN,P,20590,51090,18290,20200818,102,102,102,"949,969",0102,0000,0200P,,Q,F,87-45,112 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLACK,0,2004,-,0,,,,,
1471515059,GZY2795,NY,PAS,06/29/2020,40,SUBN,JEEP,P,20340,18290,28890,20210802,102,102,102,"965,835",0102,0000,0807A,,Q,F,91-02,109 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2015,-,0,,,,,
1471515072,HUH3778,NY,PAS,06/29/2020,98,SDN,JEEP,P,17790,16290,16590,20210324,102,102,102,"965,835",0102,0000,1208P,,Q,O,78-12,88 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,RD,0,2011,-,0,,,,,
1471515084,JPN8200,NY,PAS,07/02/2020,40,SDN,HYUN,P,18940,19040,19090,20220306,102,102,102,"965,835",0102,0000,0749A,,Q,F,97-11,97 AVE,,0,408,B,,BBBBBBB,ALL,ALL,WH,0,2013,-,3,,,,,
1471515321,GZG3125,PA,PAS,06/17/2020,40,SUBN,TOYOT,P,58490,18240,18390,0,102,102,102,"968,682",0102,0000,1215A,,Q,F,90-14,PARK LANE SOUTH,,0,408,C3,,BBBBBBB,ALL,ALL,YEL,0,0,-,0,,,,,
1471515333,JGA8632,NY,COM,06/17/2020,78,VAN,FORD,P,20390,18790,19340,20210331,102,102,102,"968,682",0102,0000,1242A,,Q,F,97-30,110 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2002,-,0,,,,,
1471515357,JKW6971,NY,PAS,06/27/2020,98,SDN,INFIN,P,16590,18040,18140,20210731,102,102,102,"968,682",0102,0000,0201A,,Q,F,89-17,80 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,WHITE,0,2018,-,0,,,,,
1471515369,GHG7772,TX,PAS,06/27/2020,98,SDN,NISSA,P,18940,16740,16890,0,102,102,102,"968,682",0102,0000,0249A,,Q,F,81-06,97 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1471515370,JJWV40,FL,PAS,06/27/2020,40,SDN,NISSA,P,16590,17240,17390,0,102,102,102,"968,682",0102,0000,0304A,,Q,F,85-77,80 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1471515382,GHR5914,NY,PAS,06/27/2020,98,SDN,INFIN,P,19340,22120,22140,20210826,102,102,102,"968,682",0102,0000,0656A,,Q,F,133-16,101 AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2017,-,0,,,,,
1471515400,JCE9075,NY,PAS,07/02/2020,98,SUBN,HONDA,P,17340,18290,28890,20200924,102,102,102,"968,682",0102,0000,1235A,,Q,F,91-14,85 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2007,-,0,,,,,
1471516064,JPS4548,NY,PAS,06/30/2020,98,SDN,ME/BE,P,18290,19090,19540,20220304,102,102,102,"950,393",0102,0000,0915A,,Q,F,100-10,91 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2016,-,0,,,,,
1471516088,JPN5608,NY,PAS,06/30/2020,46,P-U,TOYOT,P,19090,68090,35780,20220209,102,102,102,"950,393",0102,0000,1015A,,Q,F,8325,98 ST,,0,408,C,,BBBBBBB,ALL,ALL,BLU,0,2020,-,0,,,,,
1471516465,G90GBV,NJ,PAS,06/17/2020,98,SDN,HONDA,P,21890,19340,19590,0,102,102,102,"953,914",0102,0000,0319P,,Q,F,101-44,130 ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1471516477,HYB4062,NY,PAS,06/17/2020,70,SDN,NISSA,P,0,0,0,20200422,102,102,102,"953,974",0102,0000,0237P,,Q,,,C/O 89 AVE,85 ST,0,408,F2,,BBBBBBB,ALL,ALL,BL,0,2008,-,0,,,,,
1471516544,HWX8133,NY,PAS,06/24/2020,98,SUBN,NISSA,P,16290,18140,18190,20220227,102,102,102,"953,974",0102,0000,0245P,,Q,F,90-17,78 STREET,,0,408,C,,BBBBBBB,ALL,ALL,BK,0,2015,-,0,,,,,
1471516556,JKH2611,NY,PAS,06/23/2020,98,SUBN,INFIN,P,20340,51090,18290,20210623,102,102,102,"953,974",0102,0000,0315P,,Q,F,87-18,109 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2019,-,0,,,,,
1471516570,KYD9242,PA,PAS,06/22/2020,98,SUBN,FORD,P,21690,49690,51090,0,102,102,102,"953,974",0102,0000,1058P,,Q,O,86-20,126 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,
1471516660,HNW1676,NY,PAS,06/17/2020,98,SDN,TOYOT,P,18290,20590,20640,20210218,102,102,102,"963,975",0102,0000,0856A,,Q,O,112-06,91 AVE,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,,
1471516672,JRB1362,NY,PAS,06/17/2020,14,SDN,PORSC,P,19940,58490,0,20220302,102,102,102,"963,979",0102,0000,0127P,,Q,F,,106 ST,PARK LANE SOUTH,0,408,F2,,BBBBBBB,ALL,ALL,TAN,0,2001,-,0,,,,,
1471516684,JHG1745,NY,PAS,06/17/2020,40,SDN,MAZDA,P,15990,51090,17790,20210502,102,102,102,"963,979",0102,0000,0250P,,Q,F,87-09,76 ST,,0,408,C,,BBBBBBB,ALL,ALL,SILVE,0,2011,-,0,,,,,
1471516702,HPE8190,PA,PAS,06/18/2020,21,SDN,LEXUS,P,0,0,0,0,102,102,102,"963,979",0102,0000,0916A,,Q,F,,FROST PARK DR,METROPOLITAN,0,408,E3,,YYYYYBB,0700A,1000A,BLUE,0,0,-,0,,,,,
1471516714,JPN5608,NY,PAS,06/18/2020,46,SUBN,TOYOT,P,19090,68090,35780,20220209,102,102,102,"963,979",0102,0000,1116A,,Q,F,83-25,98 ST,,0,408,D1,,BBBBBBB,ALL,ALL,BLK,0,2020,-,0,,,,,
1471516738,JHG1745,NY,PAS,06/19/2020,40,MAZD,,P,15990,51090,17790,20210502,102,102,102,"963,979",0102,0000,0932A,,Q,F,87-09,76 ST,,0,408,F2,,BBBBBBB,ALL,ALL,SILVE,0,2011,-,0,,,,,
1471516751,JBHA33,FL,PAS,06/23/2020,98,SUBN,NISSA,P,60810,28890,16740,0,102,102,102,"963,979",0102,0000,1025A,,Q,F,80-20,ROCKAWAY BLVD,,0,408,F2,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1471516763,HDL1823,NY,PAS,06/26/2020,98,SUBN,FORD,P,49690,21590,21640,20200512,102,102,102,"963,979",0102,0000,1045A,,Q,F,124-06,HILLSIDE AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,1994,-,0,,,,,
1471516817,JKH1693,NY,PAS,06/22/2021,98,SDN,DODGE,P,20840,17040,29050,20210602,102,102,102,"963,979",0102,0000,0834A,,Q,F,84-37,115 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLUE,0,2014,-,0,,,,,
1471516854,JPA8554,NY,PAS,06/27/2020,98,SDN,HONDA,P,21840,18040,18290,20211122,102,102,102,"955,694",0102,0000,1010A,,Q,F,89-42,129 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,2020,-,0,,,,,
1471516866,JEZ4453,NY,PAS,06/27/2020,40,SUBN,MAZDA,P,21490,17190,49690,20201227,102,102,102,"955,694",0102,0000,0750A,,Q,F,85-27,122 ST,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2018,-,0,,,,,
1471516878,HHJ6614,NY,PAS,06/27/2020,98,SUBN,TOYOT,P,18790,18490,18590,20200702,102,102,102,"955,694",0102,0000,1033A,,Q,F,92-02,95 AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2012,-,0,,,,,
1471516880,JJX2197,NY,PAS,06/27/2020,98,SUBN,NISSA,P,18940,68090,18840,20210625,102,102,102,"955,694",0102,0000,1040A,,Q,F,94-28,97 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2007,-,0,,,,,
1471516891,HDD5603,NY,PAS,06/27/2020,98,SUBN,NISSA,P,19590,21390,21540,20210416,102,102,102,"955,694",0102,0000,1055A,,Q,F,121-07,103 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2008,-,0,,,,,
1471517214,KCMN84,FL,PAS,06/24/2020,14,VAN,CHRYS,P,68090,17490,17440,20200624,102,102,102,"967,447",0102,0000,0322P,,,F,86-26,WOODHAVEN BLVD,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2019,-,0,,,,,
1471517226,JMG2799,NY,PAS,06/27/2020,51,SDN,ACURA,P,17790,38730,15790,20211020,102,102,102,"961,339",0102,0000,0812A,,Q,F,74-38,88 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,RED,0,2013,-,0,,,,,
1471517240,GYX9164,NY,PAS,06/25/2020,98,VAN,HONDA,P,19440,21740,21840,20210731,102,102,102,"961,339",0102,0000,0940A,,Q,F,127-25,102 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,RED,0,2011,-,0,,,,,
1471517305,HAM2331,NY,PAS,06/27/2020,98,SUBN,DODGE,P,19440,21740,21840,20211022,102,102,102,"961,339",0102,0000,0145P,,Q,F,127-25,102 AVE,,0,408,E3,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1471517317,JHN3502,NY,PAS,06/27/2020,40,SDN,HONDA,P,19090,18940,19140,20210604,102,102,102,"961,339",0102,0000,1140A,,Q,O,97-21,98 ST,,0,408,F2,,BBBBBBB,ALL,ALL,SILVE,0,2003,-,0,,,,,
1471517627,KRM2921,TX,PAS,06/28/2020,46,SDN,CHRYS,P,16590,17240,17390,0,102,102,102,"968,874",0102,0000,0350A,,,F,85-77,80 ST,,0,408,F2,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1471517639,JDL7402,NY,PAS,06/28/2020,40,SDN,HONDA,P,16590,17240,17390,20201007,102,102,102,"968,874",0102,0000,0334A,,Q,F,85-77,80 ST,,0,408,F1,,BBBBBBB,ALL,ALL,RED,0,2018,-,0,,,,,
1471517640,JCG3831,NY,PAS,06/28/2020,40,SUBN,DODGE,P,16490,17390,51090,20201107,102,102,102,"968,874",0102,0000,0502A,,NY,F,86-36,79 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GREEN,0,2005,-,0,,,,,
1471517822,KCMN84,99,PAS,06/28/2020,14,VAN,CHRYS,P,68090,17490,17440,20210630,102,102,102,"968,627",0102,0000,0802P,,,F,86-28,WOODHAVEN BLVD,,0,408,J3,,BBBBBBB,ALL,ALL,WHT,0,2019,-,0,,,,,
