97547.birthplace,Conkary,Conakry
166961.stadium,Allianz_Arena_Olymic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
64654.birthplace,Gulfporrt,Gulfport
153765.city,Soblna,Solna
46212.name,Brad_Zhaofang,Shunge_Wop
105395.name,Fortune_Orestes,Elenora_Noriyuki
72620.stadium,Parc_fdes_Princes,Parc_des_Princes
45507.birthplace,Keiv,Kiev
70872.position,Defnder,Defender
183841.birthyear,1919,1991
72186.surname,Airain,Aigrain
183863.team,FK_Patrizan,FK_Partizan
178782.position,Foward,Forward
2799.city,tuttgart,Stuttgart
168041.birthplace,Gulfoprt,Gulfport
84150.birthplace,Guflport,Gulfport
26258.name,Brad_Zhaofang,Mehryar_Judi
112662.team,Royal_nAtwerp_F.C.,Royal_Antwerp_F.C.
35852.city,Solna,Brasilia
6337.team,A.C._Prugia_Calcio,A.C._Perugia_Calcio
109746.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
27877.city,iAthens,Athens
140264.name,Wonheee_Chrysantos,Wonhee_Chrysantos
73585.surname,Aigraifn,Aigrain
101054.city,Sutttgart,Stuttgart
198827.birthplace,Fyrankfurt,Frankfurt
19612.birthyear,9183,1983
27217.season,2013,2012
44714.manager,Berardo_Gerbmer,Berardo_Gerber
145542.manager,Vagan_Smallwood***,Vagan_Smallwood
7373.manager,Vei_Luks,Veit_Luks
189823.stadium,San_Siro_Stadim,San_Siro_Stadium
188796.birthplace,lGulfport,Gulfport
181838.season,2014,2011
191992.team,Jvuentus,Juventus
82315.city,Dokrtmund,Dortmund
58470.stadium,Stadio_San_Paool,Stadio_San_Paolo
82174.season,r2013,2013
128063.manager,Masum_Kasprzak,Robert_Lally
143131.city,rasilia,Brasilia
26350.name,Brad_Zhaofang,Graham_Kukhamay
6418.position,Dfeender,Defender
129596.manager,Masum_Kasprzak,Shigetomo_Abbas
51023.stadium,Santiadgo_Bernabeu_Stadium,Santiago_Bernabeu_Stadium
82934.season,0211,2011
50446.birthyear,978,1978
160394.birthyear,182,1982
144697.manager,Masum_Kasprzak,Robert_Lally
122875.team,Juvnetus,Juventus
51365.city,Dorgtmund,Dortmund
171781.manager,Atsuyukbi_Jayaprakash,Atsuyuki_Jayaprakash
164605.stadium,White_Hartb_Lane,White_Hart_Lane
163182.season,2014,2011
22727.city,Stuttgatr,Stuttgart
165087.stadium,Allianz_Arena_Olympic_Stadium_uMnich,Allianz_Arena_Olympic_Stadium_Munich
3076.name,Brad_Zhaofang,Seungwang_Haym
177807.stadium,Allianz_Arena_Olympic_Stadiu_mMunich,Allianz_Arena_Olympic_Stadium_Munich
172971.birthyear,1t982,1982
38491.stadium,BMO_Fild,BMO_Field
33520.city,ardiff,Cardiff
25650.position,Goalkeeper***,Goalkeeper
161438.stadium,Allianz_Arena_Olympigc_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
95125.birthyear,992,1992
108944.name,Athush_Belli,Athushi_Belli
91465.name,Elfrieed_Zin,Elfriede_Zin
73133.position,Deifender,Defender
34465.name,Donwgook_Valentyn,Dongwook_Valentyn
40086.stadium,Allianz_Arena_Olympiuc_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
91555.team,hBoavista_F.C.,Boavista_F.C.
36888.manager,Robert_ally,Robert_Lally
52598.season,2013,2012
181664.stadium,lAlianz_Arena_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
90514.name,Shieo_Jitender,Shigeo_Jitender
169424.season,0213,2013
3661.birthplace,Daton,Dayton
179530.birthyear,1r982,1982
36117.city,Solna,Brasilia
25814.name,Brad_Zhaofang,Judy_Brant
177810.season,2014,2011
26574.name,Brad_Zhaofang,Gongzhu_Youngmok
40515.surname,iZavras,Ziavras
22915.city,Solna,Brasilia
51143.team,S.C._Braa,S.C._Braga
54795.season,202,2012
170484.stadium,Etsadio_da_Luz,Estadio_da_Luz
92401.manager,Vei_tLuks,Veit_Luks
27506.birthyear,1i991,1991
2316.name,Brad_Zhaofang,Noriyuki_Audrey
66392.surname,Aigrani,Aigrain
36853.surname,Aigrin,Aigrain
133483.birthyear,199u6,1996
2929.name,Brad_Zhaofang,Anke_Ute
117478.position,Midfeild,Midfield
192978.surname,Grlilner,Grillner
47666.stadium,Amdsterdam_Arena,Amsterdam_Arena
59360.position,Defenedr,Defender
46177.name,Brad_Zhaofang,Petko_Maogang
56287.surname,Rezened,Rezende
40139.team,A.C._Peruia_Calcio,A.C._Perugia_Calcio
102089.name,Fortune_Orestes,Asis_Sinisa
78781.surname,kRensink,Rensink
56017.season,2013,2012
166373.stadium,Allian_Arena_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
65960.manager,Sigenobu_Bodaghala,Sigenobu_Bodagala
87870.surname,Aigrian,Aigrain
84218.position,Midield,Midfield
103343.surname,Abrhaam,Abraham
145530.position,Degfender,Defender
91328.name,Fortune_Orestes,Asis_Sinisa
70132.surname,Goydo,Godo
3205.name,Brad_Zhaofang,Zizette_Polina
137127.manager,Masum_Kasprzak,Robert_Lally
116440.manager,hsan_Kliger,Ahsan_Kliger
122171.team,AFC_Fiorentina,ACF_Fiorentina
27988.manager,Rashi_aPpadourakis,Rashi_Papadourakis
116995.birthyear,1938,1983
32696.season,2001,2010
109876.birthplace,Moble,Mobile
47234.name,Hing_Sichi,Hing_Seichi
46696.name,Brad_Zhaofang,Laird_Capers
38962.birthyear,19p76,1976
190282.season,2014,2013
56357.name,Klauvs_Nicu,Klaus_Nicu
63253.season,2100,2010
183409.season,2014,2013
167968.stadium,Allianz_Arena_Olympc_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
113436.stadium,Sportiong_Park,Sporting_Park
121160.team,Valnecia_CF,Valencia_CF
26220.name,Brad_Zhaofang,Ryoichi_Ilan
44256.surname,Matysa,Matyska
186556.surname,Paomar,Palomar
93134.manager,Masum_Kasprzka,Masum_Kasprzak
156550.stadium,Stadio_Olnimpico,Stadio_Olimpico
155534.birthyear,195,1995
167135.city,aSolna,Solna
91736.name,Fortune_Orestes,Asis_Sinisa
165848.season,2014,2013
1003.stadium,Jan_Breydel_Stadiukm,Jan_Breydel_Stadium
6903.stadium,Veltins-Area,Veltins-Arena
11678.team,FC_Saprtak_Moscow,FC_Spartak_Moscow
18324.birthyear,19u82,1982
132505.city,Arlingon,Arlington
71535.surname,Abraam,Abraham
41874.position,Midfievld,Midfield
122216.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
3392.name,Brad_Zhaofang,Zoubida_Roch
21849.city,Solna,Brasilia
127704.city,Slna,Solna
39308.team,A.C._Perugria_Calcio,A.C._Perugia_Calcio
135528.surname,Abrahaym,Abraham
139281.birthplace,Lso,Los
168074.team,F_Bayern_Munich,FC_Bayern_Munich
26406.birthyear,19y78,1978
108159.name,Fortune_Orestes,Osten_Bian
141786.birthyear,1k997,1997
146782.season,2011,2014
136010.name,Hidaeki_Sava,Hideaki_Sava
168467.season,2014,2013
8741.team,VfL_Wolfbsurg,VfL_Wolfsburg
3465.name,Brad_Zhaofang,Chitresh_Harlan
94960.season,011,2011
83368.position,efender,Defender
13398.position,Defendre,Defender
155904.birthyear,1918,1981
1091.city,Cardiff***,Cardiff
67642.birthplace,Gulfpot,Gulfport
97596.birthplace,xDes,Des
110063.position,Deefnder,Defender
167412.birthplace,Corps,Corpus
181226.season,2014,2011
78686.birthplace,Gulpfort,Gulfport
124915.birthplace,Moble,Mobile
151487.position,Devfender,Defender
90947.season,2012,2014
170820.surname,Hore,Hoare
42953.surname,braham,Abraham
46601.name,Brad_Zhaofang,Nili_Reese
43870.manager,Vnagan_Smallwood,Vagan_Smallwood
32791.surname,Hozare,Hoare
125355.birthplace,ulfport,Gulfport
94968.season,2013,2012
186408.season,2014,2013
42525.city,xTokyo,Tokyo
120291.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
58086.position,Midfied,Midfield
167908.name,Nicol_Kathriun,Nicol_Kathrin
75833.birthplace,Glfport,Gulfport
103680.stadium,JanB_reydel_Stadium,Jan_Breydel_Stadium
41594.birthplace,l,El
8981.surname,Hianing,Haining
190735.position,Goalekeper,Goalkeeper
5232.team,ACF_Fiorenitna,ACF_Fiorentina
86999.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
53006.season,013,2013
128468.surname,Shnido,Shindo
26091.name,Brad_Zhaofang,Omer_Ponnarasu
142502.position,iMdfield,Midfield
140200.name,Jinseit_Ranjeev,Jinsei_Ranjeev
138840.team,Forest_Green_Rovres_F.C.,Forest_Green_Rovers_F.C.
141472.manager,Masum_Kasprzak,Shigetomo_Abbas
149557.surname,Nozaak,Nozaka
136240.surname,Rale,Rael
34823.city,Munihc,Munich
122006.surname,Heiseramn,Heiserman
42509.season,2051,2015
23008.stadium,Anfeild,Anfield
142468.manager,Masum_Kasprzak,Shigetomo_Abbas
193546.position,Defendre,Defender
101731.name,Fortune_Orestes,Jeroen_Yiyun
182568.position,Defendr,Defender
46825.name,Brad_Zhaofang,Krishnaprasad_Hiu
19556.manager,Srkanth_Chimia,Srikanth_Chimia
26388.name,Brad_Zhaofang,Jialin_Sartaj
3019.name,Brad_Zhaofang,Yasusi_Seongyeol
191848.season,201,2011
18779.city,Solna,Brasilia
162968.surname,Kolvki,Kolvik
118861.name,Sahrah_Kihmon,Sahrah_Kimon
4764.position,Defkender,Defender
26517.name,Brad_Zhaofang,Yookun_Apostol
71366.city,Salvadpor,Salvador
126326.surname,Muselman,Musselman
115393.season,2011,2014
60566.stadium,arc_des_Princes,Parc_des_Princes
13674.surname,Aigain,Aigrain
150725.city,Braislia,Brasilia
96955.birthyear,983,1983
2867.birthplace,Ky,Key
8560.stadium,Westfalensadion,Westfalenstadion
134085.team,S.Cc._Braga,S.C._Braga
131562.surname,Abpraham,Abraham
124429.manager,Robbert_Frlach,Robbert_Flach
184289.city,fHamburg,Hamburg
168053.manager,Atsufumi_Comparetot,Atsufumi_Comparetto
32151.birthplace,l,El
193263.position,Defnender,Defender
162933.team,ew_York_Red_Bulls,New_York_Red_Bulls
45936.name,Brad_Zhaofang,Graham_Kukhamay
72190.birthplace,Gulfpoort,Gulfport
3845.team,wJuventus,Juventus
150923.name,Jeroen_Yyiun,Jeroen_Yiyun
18764.city,Stvuttgart,Stuttgart
139067.birthyear,9189,1989
18270.stadium,Spolrting_Park,Sporting_Park
169658.birthplace,Guflport,Gulfport
25628.name,Brad_Zhaofang,Yannick_Ronald
92425.stadium,Stadio_Olimpco,Stadio_Olimpico
15288.birthyear,p1984,1984
112338.surname,Hainign,Haining
112749.position,Dfender,Defender
168356.team,Valencia_FC,Valencia_CF
165550.manager,Jereumy_Cantu,Jeremy_Cantu
183853.team,A.C._Peruiga_Calcio,A.C._Perugia_Calcio
28218.name,Murat_xLuc,Murat_Luc
46952.season,201u1,2011
153611.birthyear,1892,1982
26703.name,Brad_Zhaofang,Anya_Itaru
105397.birthyear,199m4,1994
17659.birthyear,1v993,1993
170635.position,Defedner,Defender
96425.team,alencia_CF,Valencia_CF
124538.birthplace,Gulfpotr,Gulfport
181485.position,Defedner,Defender
44320.season,f2014,2014
179773.stadium,Allianz_Arena_Olympic_StadiumMunich,Allianz_Arena_Olympic_Stadium_Munich
46026.name,Brad_Zhaofang,Boyan_Witold
136155.birthyear,1f985,1985
30742.manager,Sipgenobu_Bodagala,Sigenobu_Bodagala
34389.surname,Aigran,Aigrain
40260.manager,higetomo_Abbas,Shigetomo_Abbas
185910.birthplace,Covpenhagen,Copenhagen
25890.birthplace,Guflport,Gulfport
39861.stadium,Stadio_lOimpico,Stadio_Olimpico
74379.team,Roya_Antwerp_F.C.,Royal_Antwerp_F.C.
91986.birthplace,Gulfprt,Gulfport
99705.name,Fortune_Orestes,Osten_Bian
118053.birthyear,1897,1987
36639.surname,Aigrani,Aigrain
63228.position,Midfeild,Midfield
184425.season,214,2014
162099.position,Defenedr,Defender
17494.birthplace,Baeaumont,Beaumont
2150.birthyear,178,1978
134826.name,qNalvo_Shaygan,Nalvo_Shaygan
44600.birthplace,Paco,Pasco
21066.stadium,San_SiroStadium,San_Siro_Stadium
25741.name,Brad_Zhaofang,Yookun_Apostol
56894.city,Brasliia,Brasilia
180194.season,2014,2011
105579.name,Fortune_Orestes,Guardian_Yongjoon
26164.name,Brad_Zhaofang,Graham_Kukhamay
800.position,Defendxer,Defender
134740.position,Defendre,Defender
162236.team,The_New_aints_F.C.,The_New_Saints_F.C.
160347.manager,Duckyoung_Padqhye,Duckyoung_Padhye
163062.stadium,Allianz_Aren_aOlympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
137797.birthplace,Gulfoprt,Gulfport
144987.manager,Masum_Kasprzak,Shigetomo_Abbas
134222.manager,Xiaomin_Sbaoudi,Xiaomin_Saoudi
170421.birthyear,198b2,1982
174904.city,Tkoyo,Tokyo
68171.surname,Aigrapin,Aigrain
4015.team,Juvents,Juventus
144645.manager,Masum_Kasprzak,Shigetomo_Abbas
174965.stadium,King_Poer_Stadium,King_Power_Stadium
125435.birthplace,Jacksion,Jackson
63597.birthyear,982,1982
166054.team,FC_Spartak_Moscw,FC_Spartak_Moscow
163561.team,FC_Bayer_nMunich,FC_Bayern_Munich
63544.name,Vishwan_Konrad,Vishwani_Konrad
103991.surname,reas,Preas
163527.team,AC.._Perugia_Calcio,A.C._Perugia_Calcio
158977.birthplace,Dothhan,Dothan
184491.city,olna,Solna
110793.birthyear,989,1989
46472.name,Brad_Zhaofang,Sahrah_Kimon
85456.position,Deender,Defender
112752.name,Mieke_oYshikane,Mieke_Yoshikane
101816.surname,Miliica,Milicia
197665.position,Defepnder,Defender
92117.surname,Matyksa,Matyska
187166.manager,Beraro_Gerber,Berardo_Gerber
146420.surname,Peras,Preas
48681.season,011,2011
161144.stadium,an_Siro_Stadium,San_Siro_Stadium
39882.city,Salvadoyr,Salvador
6685.city,Sazlvador,Salvador
136744.birthplace,vCozumel,Cozumel
189272.team,New_York_Rd_Bulls,New_York_Red_Bulls
13105.manager,lavi_Gurd,Olavi_Gurd
89116.stadium,Parc_dews_Princes,Parc_des_Princes
197144.position,Forard,Forward
42893.city,Solna,Brasilia
197236.team,Juvetus,Juventus
35664.position,Defeder,Defender
95607.surname,Abaham,Abraham
75912.season,2013,2012
1570.season,012,2012
20762.team,ValenciaC_F,Valencia_CF
106939.manager,Bernando_Jessu,Bernando_Jesus
137334.name,Guliano_Nobuhiko,Giuliano_Nobuhiko
100948.surname,Walrah,Walrath
93139.surname,Abrhaam,Abraham
149573.surname,Abraam,Abraham
123135.manager,Atsufumiw_Comparetto,Atsufumi_Comparetto
187586.team,Juvenuts,Juventus
60914.birthyear,199,1989
109028.position,oalkeeper,Goalkeeper
25720.name,Brad_Zhaofang,Pitro_Melek
57799.manager,eAmandio_Klosowski,Amandio_Klosowski
77197.manager,tsufumi_Comparetto,Atsufumi_Comparetto
120748.birthyear,19x82,1982
156376.stadium,Veltins-Area,Veltins-Arena
36018.city,Sonla,Solna
97484.city,Muxnich,Munich
6564.position,Defendr,Defender
26128.name,Brad_Zhaofang,Farshid_Zubin
15023.birthplace,Pasnco,Pasco
119954.manager,Berardow_Gerber,Berardo_Gerber
196377.birthplace,Coharleston,Charleston
56937.name,Lorrin_Kazyuki,Lorrin_Kazuki
63094.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
137621.manager,Masum_Kasprzak,Robert_Lally
181418.position,Goalkeceper,Goalkeeper
129360.stadium,Allianz_Arenta_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
141320.birthyear,195,1975
97355.season,2013,2012
157628.stadium,King_Powaer_Stadium,King_Power_Stadium
136045.birthplace,Montrel,Montreal
143917.name,Rastisla_vStevo,Rastislav_Stevo
76579.surname,Aigracin,Aigrain
78754.manager,Yki_Villano***,Yki_Villano
116671.manager,Anupam_Oexnboll,Anupam_Oxenboll
24199.season,2013,2012
21503.birthplace,Gulfpokrt,Gulfport
74033.position,Defendre,Defender
140008.birthplace,dGulfport,Gulfport
104432.birthyear,1892,1982
69744.birthyear,199j6,1996
70551.team,Jpuventus,Juventus
118747.birthplace,Frnakfurt,Frankfurt
165685.birthyear,1f990,1990
107625.manager,IlYjoung_Giese,IlYoung_Giese
54974.season,214,2014
55985.manager,Berardor_Gerber,Berardo_Gerber
100314.stadium,Constant_Vanden_Stock_tSadium,Constant_Vanden_Stock_Stadium
193023.season,2014,2011
46436.name,Brad_Zhaofang,Myla_Nikolaus
136687.manager,Masum_Kasprzak,Shigetomo_Abbas
125124.stadium,Constant_Vanden_Stck_Stadium,Constant_Vanden_Stock_Stadium
84536.season,2013,2012
10822.team,Sport_lCub_Internacional,Sport_Club_Internacional
2502.name,Brad_Zhaofang,Murat_Luc
21589.city,Solna,Brasilia
175955.stadium,tadio_Olimpico,Stadio_Olimpico
54093.birthplace,Barceloa,Barcelona
65435.birthplace,uGlfport,Gulfport
192150.surname,Obermpaier,Obermaier
134535.birthyear,1w978,1978
55373.birthplace,Augousta,Augusta
16595.manager,Nbih_Rios,Nabih_Rios
29566.surname,Aigain,Aigrain
53527.season,2011,2014
59459.surname,lCark,Clark
59053.name,Roger_aKzi,Roger_Kazi
46612.season,2012,2014
130413.name,Giuliano_Noubhiko,Giuliano_Nobuhiko
25758.name,Brad_Zhaofang,Cherri_Toshiaki
86192.birthplace,Gulfpotr,Gulfport
199873.birthyear,1958,1985
82234.city,Monevideo,Montevideo
163151.position,Defener,Defender
185609.position,Denfender,Defender
5196.position,Defeder,Defender
58858.name,Rvain_Shengchang,Ravin_Shengchang
22879.city,Solna,Brasilia
66554.season,0212,2012
70745.city,rTokyo,Tokyo
83523.season,2012,2014
3500.name,Brad_Zhaofang,Anandeep_Marinus
26833.name,Brad_Zhaofang,Gina_Kenta
145501.name,Shung_Wop,Shunge_Wop
164567.manager,Sigenqobu_Bodagala,Sigenobu_Bodagala
181150.surname,Musselmvan,Musselman
29235.birthplace,Saniago,Santiago
182102.stadium,Afllianz_Arena_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
195670.team,Boavmista_F.C.,Boavista_F.C.
62581.name,Gesine_Tilmahnn,Gesine_Tilmann
137773.position,Midfeild,Midfield
177134.position,Defendre,Defender
2783.name,Brad_Zhaofang,Masahisa_Prabhav
152956.name,Rahmi_Barton,Rahim_Barton
18807.birthplace,reat,Great
2307.city,Lndon,London
147382.team,A.C._Peruga_Calcio,A.C._Perugia_Calcio
168542.position,Midficeld,Midfield
43145.birthyear,182,1982
176475.season,2014,2011
75193.birthplace,Gulfpot,Gulfport
2835.name,Brad_Zhaofang,Cherri_Toshiaki
188820.manager,Shigetomo_Ababs,Shigetomo_Abbas
108384.birthplace,Guayamas,Guaymas
162098.season,2014,2011
127989.manager,Robrt_Lally,Robert_Lally
77277.stadium,San_Siro_Stadifum,San_Siro_Stadium
3486.name,Brad_Zhaofang,Karan_Spyridon
78842.surname,Prenle,Prenel
171755.name,Christopher_Stmos,Christopher_Stamos
70198.birthplace,Dse,Des
122292.team,P..ao.k_Fc,P.a.o.k_Fc
86241.manager,Kaczuhiko_Claybrook,Kazuhiko_Claybrook
15667.surname,Airain,Aigrain
182580.name,Peteris_Yusfu,Peteris_Yusuf
26423.name,Brad_Zhaofang,Baoling_Takehiro
120874.city,Hamubrg,Hamburg
128070.surname,Araham,Abraham
46156.name,Brad_Zhaofang,Laird_Capers
104802.season,2011,2014
47834.city,Solna,Brasilia
91002.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
43478.surname,Aigarin,Aigrain
8865.city,Tokoy,Tokyo
4072.name,Yerucham_Yuwnming,Yerucham_Yunming
103436.name,Fortune_Orestes,Osten_Bian
84391.surname,Ayigrain,Aigrain
186985.team,Juvntus,Juventus
26324.surname,Hfostetter,Hofstetter
179284.team,hJuventus,Juventus
59738.surname,Airain,Aigrain
45733.name,Brad_Zhaofang,Luitpold_Avra
99693.season,2011,2014
97427.birthplace,Dakadr,Dakar
181640.stadium,BO_Field,BMO_Field
99258.birthyear,1929,1992
7738.surname,Aigrin,Aigrain
184382.position,Defendedr,Defender
42038.birthplace,Beamont,Beaumont
172695.season,2014,2013
24172.city,Solna,Brasilia
65906.name,Nasredidine_Ratko,Nasreddine_Ratko
85499.season,0215,2015
27159.name,Sylvie_Nathaglie,Sylvie_Nathalie
78161.surname,Azigrain,Aigrain
48814.surname,Digqhe,Dighe
23866.birthplace,Souht,South
92870.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
14690.season,2103,2013
47352.surname,Rayen,Rayne
30005.season,012,2012
97327.city,Gelsenkirchven,Gelsenkirchen
25871.name,Brad_Zhaofang,Giuliano_Nobuhiko
123296.birthplace,Prageu,Prague
76702.season,2013,2012
106631.manager,azuhiko_Claybrook,Kazuhiko_Claybrook
179025.stadium,Jan_Bredyel_Stadium,Jan_Breydel_Stadium
1278.position,Defpender,Defender
69871.birthplace,Coloardo,Colorado
148072.team,FC_Sparqtak_Moscow,FC_Spartak_Moscow
896.surname,Anrdraka,Andraka
161853.season,2014,2011
47535.birthplace,Guaemala,Guatemala
12121.season,2011,2014
3751.name,Rvin_Shengchang,Ravin_Shengchang
58481.position,Middfield,Midfield
29796.position,Deefnder,Defender
13912.team,A.C._Perugia_Caclio,A.C._Perugia_Calcio
3371.name,Brad_Zhaofang,Yookun_Apostol
136808.name,Mratthey_Toshihisa,Matthey_Toshihisa
192722.birthplace,Moblie,Mobile
78634.season,2013,2012
167851.birthplace,ao,Sao
26294.name,Brad_Zhaofang,Renganathan_Sihai
11472.stadium,Donbass_Aena,Donbass_Arena
164098.season,013,2013
47738.surname,Museslman,Musselman
41653.birthplace,wGulfport,Gulfport
2373.name,Brad_Zhaofang,Krishnaprasad_Hiu
130058.surname,Worlin,Wolin
133844.stadium,Parc_des_Prineces,Parc_des_Princes
46731.name,Brad_Zhaofang,Vassilios_Rildo
108045.surname,imkovsky,Timkovsky
176176.team,S.C_Braga,S.C._Braga
62041.city,Cardif,Cardiff
1715.stadium,Constantg_Vanden_Stock_Stadium,Constant_Vanden_Stock_Stadium
170819.position,Defendler,Defender
196330.birthplace,Lso,Los
49338.surname,Airain,Aigrain
56443.stadium,Balaidobs,Balaidos
20565.team,uJventus,Juventus
116500.team,Wloverhampton_Wanderers_Football_Club,Wolverhampton_Wanderers_Football_Club
115804.city,Hamurg,Hamburg
121096.surname,Nobavuer,Nobauer
20352.season,2013,2012
104753.birthyear,983,1983
77781.team,Juvepntus,Juventus
133733.city,Arlintgon,Arlington
106499.manager,Maya_nTautenhahn,Mayan_Tautenhahn
54077.birthyear,1f984,1984
96028.position,Mdifield,Midfield
169077.birthyear,1994***,1994
4347.birthyear,191,1991
76790.position,Defenedr,Defender
38308.manager,iaomin_Saoudi,Xiaomin_Saoudi
131157.manager,Masum_Kasprzak,Robert_Lally
43662.city,Solna,Brasilia
108597.name,Fortune_Orestes,Jeroen_Yiyun
138341.name,Muat_Luc,Murat_Luc
128594.manager,Bon_Kruiskaemp,Bon_Kruiskamp
38540.birthyear,9194,1994
183536.name,Siranushc_Maris,Siranush_Maris
58544.position,Midfieldd,Midfield
115444.birthyear,19a95,1995
4989.team,Juvntus,Juventus
185859.season,2014,2011
175363.position,efender,Defender
136473.manager,Masum_Kasprzak,Robert_Lally
126022.name,Yuizko_Adele,Yuiko_Adele
141275.stadium,King_Power_Sztadium,King_Power_Stadium
87655.birthyear,976,1976
9820.team,A.C._Perugia_Caqlcio,A.C._Perugia_Calcio
5393.position,Forwadr,Forward
165349.manager,Jerem_Cantu,Jeremy_Cantu
95373.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
140486.manager,Masum_Kasprzak,Robert_Lally
2793.birthplace,Lso,Los
39822.birthplace,Athesn,Athens
127619.position,Forwadr,Forward
46861.name,Brad_Zhaofang,Hing_Seichi
137028.position,idfield,Midfield
25888.name,Brad_Zhaofang,Ernest_Chiemi
28682.birthplace,Abidjuan,Abidjan
107490.birthplace,Wilmingotn,Wilmington
91427.surname,Sookolin,Sokolin
13567.birthplace,Tllahassee,Tallahassee
49395.season,2m010,2010
184913.stadium,Estadiod_a_Luz,Estadio_da_Luz
166378.season,2014,2011
195389.season,r2011,2011
21704.birthplace,Trwi,Tri
123170.birthyear,1z982,1982
87914.birthyear,19r92,1992
43774.city,Solna,Brasilia
50932.season,2102,2012
143949.team,ACF_Fioerntina,ACF_Fiorentina
26538.name,Brad_Zhaofang,Antonius_Ard
31089.birthyear,987,1987
180675.name,Chiase_Jed,Chase_Jed
19914.manager,SigenobuB_odagala,Sigenobu_Bodagala
22971.team,Forest_Geren_Rovers_F.C.,Forest_Green_Rovers_F.C.
2337.name,Brad_Zhaofang,Elham_Roy
8601.city,Arlnigton,Arlington
19331.stadium,Parcdes_Princes,Parc_des_Princes
36650.position,iMdfield,Midfield
99126.season,202,2012
193559.team,Juvnetus,Juventus
160123.position,Deender,Defender
154080.surname,Abraam,Abraham
15639.birthyear,192,1982
175185.season,2014,2013
166893.stadium,Allianz_Arena_Olympic_Stadium_Muinch,Allianz_Arena_Olympic_Stadium_Munich
168025.name,Behcet_Liau,Behcet_Liu
26107.name,Brad_Zhaofang,Matthey_Toshihisa
94851.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
186594.manager,Vagan_Smalwlood,Vagan_Smallwood
