240.measurename,sugrery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
91.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control ign the days right after surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
860.state,l,al
995.stateavg,alb_pn-5c,al_pn-5c
431.stateavg,al_wpn-7,al_pn-7
376.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control ni the days right after surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
237.hospitalname,callahan eye foundation hospital,dekalb regional medical center
865.address2,emtpy,empty
831.providernumber,01043,10043
208.condition,pnewumonia,pneumonia
846.address2,empity,empty
466.hospitalowner,government - hospitarl district or authority,government - hospital district or authority
102.hospitalname,callahan eye foundation hospital,mizell memorial hospital
530.zipcode,63116,36116
240.hospitalname,callahan eye foundation hospital,dekalb regional medical center
190.measurecode,scip-card-2,scip-inf-3
460.phonenumber,563864556,2563864556
480.sample,39 patientqs,39 patients
432.hospitaltype,acute care hosptals,acute care hospitals
892.providernumber,1004i5,10045
85.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
715.zipcode,3078,36078
382.stateavg,al_iami-3,al_ami-3
909.address1,600 south htird street,600 south third street
310.address1,1720 unirversity blvd,1720 university blvd
411.hospitalowner,voluntary non-profit - privlate,voluntary non-profit - private
515.countyname,chyerokee,cherokee
845.sample,2 paients,2 patients
665.phonenumber,256357t2111,2563572111
657.state,sal,al
572.zipcode,38654,36854
601.countyname,ocffee,coffee
534.countyname,montgomeyr,montgomery
73.address2,epmty,empty
524.measurename,heart failure patients given discharoge instructions,heart failure patients given discharge instructions
728.hospitaltype,aute care hospitals,acute care hospitals
9.providernumber,10018,10019
617.measurename,heart attack patients jgiven aspirin at arrival,heart attack patients given aspirin at arrival
775.address1,101 sivley lrd,101 sivley rd
243.measurecode,scip-card-2,scip-vte-1
310.providernumber,10081,10018
683.address2,emzpty,empty
341.address3,epty,empty
783.hospitaltype,aute care hospitals,acute care hospitals
106.hospitalname,callahan eye foundation hospital,mizell memorial hospital
352.address3,epty,empty
962.measurecode,ami-a8,ami-8a
708.providernumber,1003n4,10034
112.hospitalname,callahan eye foundation hospital,mizell memorial hospital
979.city,enterpirse,enterprise
263.countyname,clake,clarke
804.state,la,al
883.hospitaltype,acute caer hospitals,acute care hospitals
403.hospitaltype,acute car hospitals,acute care hospitals
455.hospitalname,helen keller memorial hospitl,helen keller memorial hospital
985.measurename,hearpt attack patients given beta blocker at discharge,heart attack patients given beta blocker at discharge
9.city,shefield,sheffield
189.measurecode,scip-card-2,scip-inf-2
273.measurecode,scip-card-2,ami-4
823.address1,100 goodyear avenue,1007 goodyear avenue
311.address1,1720 uniiversity blvd,1720 university blvd
263.hospitaltype,acute crare hospitals,acute care hospitals
691.emergencyservice,eys,yes
97.providernumber,10018,10007
459.phonenumber,256364556,2563864556
716.zipcode,3078,36078
9.measurename,heart attack patients ngiven aspirin at arrival,heart attack patients given aspirin at arrival
88.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
133.providernumber,1008,10008
96.zipcode,35233,36467
241.hospitalname,callahan eye foundation hospital,dekalb regional medical center
719.score,7%,67%
129.stateavg,al_fh-3,al_hf-3
126.hospitalowner,governemnt - federal,government - federal
458.phonenumber,2563864556***,2563864556
351.stateavg,al_aim-3,al_ami-3
690.emergencyservice,yces,yes
103.hospitalname,callahan eye foundation hospital,mizell memorial hospital
597.state,atl,al
765.address3,lempty,empty
292.condition,surgical infection prevenztion,surgical infection prevention
675.state,l,al
175.city,birmingham,guntersville
24.state,la,al
100.zipcode,35233,36467
142.emergencyservice,yels,yes
747.providernumber,1z0036,10036
462.phonenumber,256384556,2563864556
450.stateavg,ak_scipvte-2,ak_scip-vte-2
10.city,shefifeld,sheffield
496.emergencyservice,es,yes
364.hospitaltype,cute care hospitals,acute care hospitals
270.measurecode,scip-card-2,ami-1
826.city,gadsdne,gadsden
287.countyname,selby,shelby
130.stateavg,aql_hf-4,al_hf-4
189.hospitalowner,government - hosprital district or authority,government - hospital district or authority
121.state,l,al
992.providernumber,d10050,10050
466.city,sheffiled,sheffield
575.emergencyservice,es,yes
991.address2,epty,empty
182.hospitalname,callahan eye foundation hospital,marshall medical center north
346.condition,surgicbal infection prevention,surgical infection prevention
195.measurename,heat attack patients given aspirin at arrival,heart attack patients given aspirin at arrival
737.providernumber,10305,10035
148.phonenumber,2567736511***,2567736511
2.providernumber,1008,10018
179.hospitalname,callahan eye foundation hospital,marshall medical center north
271.measurecode,scip-card-2,ami-2
331.providernumber,100h38,10038
905.address2,efmpty,empty
117.hospitalname,callahan eye foundation hospital,mizell memorial hospital
110.hospitalname,callahan eye foundation hospital,mizell memorial hospital
757.hospitalowner,proprietay,proprietary
153.emergencyservice,yse,yes
192.countyname,marsfhall,marshall
951.address1,515 miranad st,515 miranda st
333.hospitalowner,prporietary,proprietary
885.sample,67 paients,67 patients
445.measurename,surgery patients who were given the  sright kind  of antibiotic to help prevent infection,surgery patients who were given the  right kind  of antibiotic to help prevent infection
946.sample,30 paients,30 patients
62.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital wh were kept on the beta blockers during the period just before and after their surgery,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
854.phonenumber,20592p16200,2059216200
291.hospitaltype,aute care hospitals,acute care hospitals
489.condition,surgical infcetion prevention,surgical infection prevention
461.phonenumber,256384556,2563864556
987.score,empwty,empty
652.hospitalname,wedowee holspital,wedowee hospital
113.hospitalname,callahan eye foundation hospital,mizell memorial hospital
708.score,3%,93%
491.zipcode,q36360,36360
755.zipcode,3642f0,36420
837.hospitaltype,acute care fhospitals,acute care hospitals
295.address2,mpty,empty
185.measurecode,scip-card-2,pn-6
15.hospitalowner,government - hospital district or anuthority,government - hospital district or authority
191.address3,emty,empty
808.providernumber,1040,10040
179.city,birmingham,guntersville
829.phonenumber,2057552500***,2057552500
570.hospitalname,g h lanier memorial hosiptal,g h lanier memorial hospital
792.condition,pneufmonia,pneumonia
655.score,r67%,67%
149.phonenumber,256776511,2567736511
272.stateavg,al_aami-3,al_ami-3
851.condition,surgical infectino prevention,surgical infection prevention
979.measurecode,gscip-vte-1,scip-vte-1
453.hospitalname,helen keler memorial hospital,helen keller memorial hospital
265.hospitaltype,acute car hospitals,acute care hospitals
484.condition,surigcal infection prevention,surgical infection prevention
178.city,birmingham,guntersville
126.stateavg,al_ai-8a,al_ami-8a
464.city,shefifeld,sheffield
742.address3,empyt,empty
584.city,vlley,valley
524.hospitaltype,acute care hfospitals,acute care hospitals
493.countyname,cherokee***,cherokee
2.hospitaltype,acute care hosiptals,acute care hospitals
238.measurecode,scip-card-2,scip-inf-1
177.city,birmingham,guntersville
274.measurecode,scip-card-2,ami-5
3.zipcode,35233***,35233
7.zipcode,35323,35233
540.emergencyservice,yse,yes
162.phonenumber,256773n6511,2567736511
801.providernumber,10x039,10039
