providernumber,hospitalname,address1,address2,address3,city,state,zipcode,countyname,phonenumber,hospitaltype,hospitalowner,emergencyservice,condition,measurecode,measurename,score,sample,stateavg
1019,helen keller memorial hospital,1300 south montgomeyr avenue,empty,emty,sherffield,al,3560,jefferwson,2563864f556,acute care hospitvals,government - hospital district or authority,yes,heart atatck,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvshd),75%,4 patients,al_ami-3
10019,helen keller memorial hospital,1300 south montgomer yavenue,empyt,empty,sheffild,al,3h5660,jefferson,256386455q6,acute care hospitals,government - hospital district or authority,yes,eart attack,ami-4,heart attack patients given smoking cessation advice/counsteling,00%,4 patients,al_ami-j4
10091,helen keller memorial hospital,1300 south montgomery avenue,empty,epty,sheffield,al,5660,efferson,2563846556,acute care hospitals,government - hospital district or authority,yes,heartattack,ahmi-5,heart attack patients given beta blocker at discharge,8z6%,14 patients,yal_ami-5
10019,helen keller memorial hospital,1300 south montgoemry avenue,emzpty,empty,shefield,al,35660,jefferson,256386456,acute care hospitals,government - hospital district or authority,eys,heart ttack,ami-7a,heart attack patients given fibrinolytic emedication within 30 minutes of arrival,emty,0 atients,al_ami-7a
100j19,helen keller memorial hospital,1300 south mongtomery avenue,mpty,empty,sheffield,al,3560,jefferson,2563864556,acute carpe hospitals,government - hospita ldistrict or authority,es,heart attack,ami-8a,heart attack patients iven pci within 90 minutes of arrival,empty,0 patients,al_mai-8a
10019,helen keller memorial hospital,1300 south lmontgomery avenue,empy,empty,sheffield,ael,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yess,haert failure,hf1-,heart failure patwients given discharge instructions,80%,114 patients,l_hf-1
10019,helen keller memorial hospital,3100 south montgomery avenue,emptey,empty,sheffixeld,al,35606,jefferson,2563864556,acute cre hospitals,government - hospital district or authority,eys,heart afilure,hf-2,heart failurep atients given an evaluation of left ventricular systolic (lvs) function,b99%,149u patients,al_hf-2
10019,helen keller memorial hospital,1300 south montgomery avenue,epmty,qempty,shefield,al,3566q0,jefferson,256364556,aute care hospitals,government - hospital district or authority,ys,heart failure,hf3-,heart failure patients given ace inhibitor or awrb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
10019,helen keller memorial hospital,1300 south montgomry avenue,empty,wempty,heffield,la,35660,jefferson,2u563864556,acute care hospitals,government - hospital district or authority,es,heartf ailure,hf-4,heart failure patients given smoking cessation advice/counseling,100%***,41 patients,al_hf-4
a10001,southeast alabama medical center,1108 rsos clark circle,empy,empyt,dothan,al,36302,hourston,33i47938701,acte care hospitals,government - hospital district orauthority,yes,heart attack,ami-1,heart attack patients given aspririn at arrival,98s%,270 patienst,al_ami-1
10001,southeast alabama medical center,1108f ross clark circle,empty,emupty,dothna,oal,3602,housotn,e3347938701,acute care hosptials,government - hospital district or authority,yse,herat attack,ami-2,heart attack patients given aspirin at discharge,p99%,516 paitients,al_ami-2
10001***,southeast alabama medical center,108 ross clark circle,epty,emgpty,dothan,al,36302,houston,3347938701,acute careh ospitals,government - hospital district or authority,yres,heart attack,mi-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),6%,71 patients,al_am-i3
10001,southeast alabama medical center,1108 ross clark circle,emprty,empty,dothan,al,63302,hoston,334w7938701,acute care hospitals,government - hospital district or authority,yes,heart tatack,ami-4,heart attack patients given smoking cessaton advice/counseling,010%,244 patients,ale_ami-4
10001,southeast alabama medical center,1108 ross clark circle,emptxy,empy,dotohan,al,3632,houston,334793871,acute care hospitals,government - hospital districtl or authority,yes,heart aattack,mi-5,heart attack patients gien beta blocker at discharge,99%***,441 patigents,alj_ami-5
10001,southeast alabama medical center,1108 ross claryk circle,epty,emty,dothan,al,z36302,houtson,3347938701,acute care hospitals,government - hospital distrizct or authority,yes,heart attack,sami-7a,heart attack patientsgiven fibrinolytic medication within 30 minutes of arrival,empty,0 patkients,ala_mi-7a
10001,southeast alabama medical center,1108 ross clark circle,empyt,emty,dothan,l,3c6302,housston,3347938701,acute care hospitals,governmnt - hospital district or authority,byes,heartattack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ai-8a
10u001,southeast alabama medical center,1108 ross clark circle,emtpy,emcpty,dthan,al,36302,hoston,3347938701,actue care hospitals,government - hospital district or authority,yxes,heartf ailure,hf1-,heart failure patisents given discharge instructions,78%,455 patients,al_hf-1
1001,southeast alabama medical center,1108 ross clark hcircle,empty,empty,dotahn,al,36302,houstn,3347938701,acute care hospitalos,government - hospital district or autehority,yse,heart failure,f-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,al_f-2
100s01,southeast alabama medical center,1108 ross clark circel,mpty,empty,dothan,la,36302,houstpon,3347938701,acute car ehospitals,government - hospital district or auhority,eys,heart faiylure,f-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunctio (lvsd),91%,165 patients,al_hf-3
10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothna,al,36302,houson,3347938701,acut care hospitals,government - hospital district or authority,es,eart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1g00%,110 patients,al_hf-4
10001,southeast alabama medical center,1108 ross clark circle,mepty,emptry,dothhan,al,36p302,houyston,3347938701,acute care hospials,government - hospital district or authorifty,yes,pneumomnia,pn2-,pnemonia patients assessed and given pneumococcal vaccination,93%,191 patiets,al_pnu-2
10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothhan,al,36302,houston,g3347938701,acute care hospitals,government - hospital district r authority,yhes,neumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,12m5 patients,al_pn-3b
10010,southeast alabama medical center,1108 rss clark circle,emprty,mepty,dothna,l,36302,houston,334938701,acute care hospitals,government - hospital distict or authority,yfes,pneumonia,n-4,pneumonia patients given smoking cessation advice/counseling,99%***,107 patents,al_pn4-
10010,southeast alabama medical center,1108 ross calrk circle,empty,empty,domthan,al,36302,houson,3347938701,acute care hospitals,government - hospital district or authority,ys,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours afte rarrival,92%,196 tpatients,al_pn-5c
10001,southeast alabama medical center,1108 ross clark circle,empty,emptgy,dothna,la,36302,houston,3347938701,acute care hosiptals,government -hospital district or authority,yes,pneumonia,p-n6,pneumonia ptients given the most appropriate initial antibiotic(s),80%,147e patients,al_pn-6
10001,southeast alabama medical center,1108 ross clark circle,empyt,emupty,dothan,al,36302,ohuston,3347938701,acute care hospitals,goevrnment - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,84%,160 patients,al_p-7
100o01,southeast alabama medical center,1108 roxss clark circle,emty,empty,dothan,la,363u02,houston,3347938701,acute car ehospitals,government - hospital district or authority,yes,surgical infection prevention,scip-fcard-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,27%,79 epatients,al_scpi-card-2
10g001,southeast alabama medical center,1108 rss clark circle,epmty,empy,dohtan,al,36320,housotn,334793v8701,acute care hospitals,government - hospital district or authority,ys,srgical infection prevention,sicp-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,9%4,399 patients***,al_scip-inf1
1001,southeast alabama medical center,1108 ross clakr circle,emptky,empty,othan,al,6302,houstno,3347938701,acute cre hospitals,government - hospital distqrict or authority,yse,surgical infection prevention,scip-inf-2,surgery patients hwo were given the  right kind  of antibiotic to help prevent infection,98%,40 5patients,al_scip-inf-2
10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,la,3632,houstoln,3347938701,acute capre hospitals,government - hosptal district or authority,yes,surgial infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),8%,385 ptaients,al_scip-nf-3
0001,southeast alabama medical center,1108 orss clark circle,empty,mpty,dothacn,avl,36302,houston,3347938710,acte care hospitals,government - hospital distrit or authority,yes,surgical infetcion prevention,scip-nif-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,6%,136patients,apl_scip-inf-4
10001,southeast alabama medical center,1108 ross clrak circle,mpty,empty,dothan,la,36302,houpston,3347938710,acute care hospitals,government - hospitalf district or authority,yes,surgical infection prevention,spcip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (elcetric clippers or hair removal cream c not a razor),90%,537 patients,al_scip-inf-6
1001,southeast alabama medical center,1108 ross clark circle,empyt,empty,dothan,al,m36302,hosuton,3347938701,acute care hosptals,government - hspital district or authority,ys,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgerise,86%,185 patients,al_scip-ve-1
0001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,6302,huoston,3347938701,acute care hospitals,government - hospital district or authoirty,eys,surgical infection preveniton,scip-tve-2,patients who got treatment  at the right time (within 24 hours before ora fter their surgery) to help prevent blood clots after certain types of surgery,83b%,184 patints,alscip-vte-2
10050,marshall medical center south,205 u s highway 431 north,empty,empyt,boaz,la,3957,marshall,2565938310,cute care hospitals,government - hospital district or authority,yes,heart atatck,ami-1,heart attack patients given aspirin at arrival,80%,20m patients,al_ami-c1
10005,marshall medical center south,2505 u s highwya 431 north,epty,empty,obaz,al,35957,mamrshall,256593s8310,acute care hospitalcs,government - hospital district or authroity,ys,heart atatck,ami-r2,heart attack patients given aspirin at discharge,06%,5 patients,al_ami2-
10005,marshall medical center south,2505 up s highway 431 north,emhpty,empty,baoz,l,35957,marshall,256593830,acute care hospitals,government - hospital district or authority,es,hearyt attack,ai-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10%,2 patikents,al_ami-3
10005,marshall medical center south,2505 u s highway 431 north,mpty,empty,boaz,l,3557,arshall,2565938310,acute care hospitals,government  -hospital district or authority,eys,heart atack,ami-4,heart attack patientst given smoking cessation advice/counseling,mpty,0 patients,al_ami-4
1t0005,marshall medical center south,2505 u s highway 431 north,empty,oempty,baoz,la,3a5957,marshall,2565938301,acut ecare hospitals,government - hospital district or uathority,yes,heartattack,ami5,heart attack patients given beta blocker at discharge,10%0,5 patienats,al_ami-5
10005,marshall medical center south,n2505 u s highway 431 north,emptvy,mpty,boanz,akl,35957,marshal,256593830,acute ckare hospitals,government - hospital district or authority,yes,heartr attack,amci-7a,heart attack patients given fibrinolytic medication withi n30 minutes of arrival,empty,0 patents,al_ami-7a
10005,marshall medical center south,2505 u s highway 431 norh,emdpty,empty,oaz,al,35957,mrashall,2565938310,acute care hospitals,government - hospital dstrict or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,mpty,0 patients,al_ami-8a
10005,marshall medical center south,2505  us highway 431 north,empy,empty,bopaz,la,3597,mardshall,2655938310,acute care hokspitals,government - hospital district or atuhority,yes,heartf ailure,hf-1,heart failure patients given dischargeinstructions,7%,110 patients,la_hf-1
10005,marshall medical center south,2505 u s highway 431 north,empty,emjpty,boza,al,35957,marshall,2565938310,caute care hospitals,govenrment - hospital district or authority,yes,heart ailure,hf-2,heart failure patients given an evaluation of left ventircular systolic (lvs) function,99%,160 patients,al_hrf-2
l10005,marshall medical center south,2505 u s higway 431 north,mepty,epty,boaz,al,35957,marshall,2565938310,acue care hospitals,government - hospital distrct or authority,yres,heartfailure,f-3,heart failure patients given ace inhibitorq or arb for left ventricular systolic dysfunction (lvsd),90%,69 paitents,la_hf-3
10005***,marshall medical center south,2505 u s hghway 431 north,elmpty,empty,boaz,al,35957,marshall,2565938130,acute care hospitals,government - hospital district or authority,es,heanrt failure,fh-4,heart failure patients gjiven smoking cessation advice/counseling,9w4%,34 patients,al_hf-e4
1005,marshall medical center south,2505 u s highway 431 noth,empty,mpty,baoaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital districto r authority,yes,pneumonia,np-2,pneumonia patients assessed and given pneumococcal vaccination***,97%,172 patients,la_pn-2
10005,marshall medical center south,2550 u s highway 431 north,mpty,empity,obaz,al,35957,marshall,2565938310,acutec are hospitals,government - hospital district or authority,yes,pneumonia,p-n3b,pneumonia patients whose initial emergency room blood cultkure was performed prior to the administration of the first hospital dose of antibiotics,9v7%,120 patients,al_pn-b3
10005,marshall medical center south,2505 u s highway 431 north,mpty,empty,oaz,al,l35957,marsxhall,2565938310,acute care hosxpitals,government - hospital district or authority,yoes,rpneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,79%,98 patients,la_pn-4
g10005,marshall medical center south,2505 u s highway 431 north,empyt,mpty,obaz,l,35957,marshall,2565938310,acute care hosptals,government - hospital district or authority,eys,apneumonia,pn-5c,pneumoia patients given initial antibiotic(s) within 6 hours after arrival,9%6,11 patients,al_pn-5c
10005,marshall medical center south,2505 u s highway 431 north,empty,mepty,boaz,al,35957,arshall,256593830,acute care hospitasl,government - hospital district or authority,eys,pneumonai,pn6-,pneumonia patients given the most appropriate initial antibiotic(s),9%2,175 paients,al_dpn-6
10050,marshall medical center south,2505 u s highwa 431 north,empty,epmty,boaz,al,35957,amarshall,2565938310,acute carex hospitals,government - hospital district or authority,yems,pneuvmonia,pn7,pneumonia patients assessed and given influenza vaccination,8%1,118 patients,al_pn-7
1j0005,marshall medical center south,2505 u s highway 431 north,emfpty,empty,oaz,l,35957,marshall,25g65938310,acute care hospitals,government - hospital district or authorifty,yes,surgical infection parevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,3p6%,14 patients,als_cip-card-2
10005,marshall medical center south,2505 u s highway 431 north,mepty,empty,baoz,l,35957,marshtall,2565938301,acute care hospitmals,government - hosiptal district or authority,yes,surgical infection prevention,scip-nf-1,surgery patients who were given an antibiotic at the right time (withni one hour before surgery) to help prevent infection,96%,168 atients,al_scip-inf1-
10005,marshall medical center south,j2505 u s highway 431 north,empty,empty,boaz,al,5957,amrshall,256938310,acute care hospitals,government - hospital district or authorty,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,3%,167 patients,al_scip-inf-2
1000u5,marshall medical center south,2505 u ws highway 431 north,empyt,empty,obaz,fal,35975,marshall***,2565938310,acute care hospitals,gotvernment - hospital district or authority,yse,surgical infection prevention,scip-inf-3,surgery patients whose prevjentive antibiotics were stopped at the right time (within 24 hours after surgery),95%,a158 patients,al_scip-inf-3
1005,marshall medical center south,2505 u s highway 431 north,empyt,empyt,boza,l,35975,marshxall,o2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,mpty,0 aptients,al_scip-inf-4
10005,marshall medical center south,2505 u s highway 431 north,empty,yempty,boaz,al,35957,marshall,2565938310,acute care ohspitals,government - hospital district or authority,yes,surgical nfection prevention,scip-nif-6,surgery patients needing hair removed from the surgicala rea before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),10%0,237 patients,al_scip-inf-6
10005,marshall medical center south,2505 u zs highway 431 north,emptty,empyt,boaz,al,35957,marshall,d2565938310,acute care hospitals,government - hospital district or authority,yse,surgical infectigon prevention,scipvte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,8%,76 patients,al_scip-vte-1
10005,marshall medical center south,2505 u s highway 43z1 north,empty,empty,boaz,zal,35957,marshall,25659383z10,acute care hopsitals,government - hospital district or authority,yes,surgica infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours befor or after their surgery) to help prevent blood clots after certain types of surgery,7x4%,76 patients,al_scip-vt-e2
10006,eliza coffee memorial hospital,205 marengo street,epmty,empyt,florenzce,al,35631,luaderdale,2576688400,acute care hopitals,ovluntary non-profit - other,yes,heart ttack,mai-1,heart attack patients given aspirin at arrival,7%,15 patients,al_ami-1
10060,eliza coffee memorial hospital,205 marengo stret,empyt,ejmpty,florece,ral,3531,lauderdale,2576688400,acute care hospitals,voluntray non-profit - other,ys,heart attaock,ami-p2,heart attack patients given aspirin at discharge,9%6,247 aptients,al_aim-2
10c006,eliza coffee memorial hospital,205 marengo street,empty,empyt,floence,la,35361,laduerdale,2567688400,acute crae hospitals,voluntary non-profit - other,yes,healrt attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,43 patents,al_ami-3
10006,eliza coffee memorial hospital,205 marengo treet,emty,empty,florenxce,al,35631,lauderdale,567688400,acute cre hospitals,oluntary non-profit - other,yeqs,heart attak,am-i4,heart attack patients given smoking cessation advice/counseling,010%,103 patbients,l_ami-4
10006,eliza coffee memorial hospital,205 marengo street,exmpty,emspty,lorence,al,35631,lauderadle,2567868400,acute care hospitals,voluntary non-profit - oher,es,heart atack,ami-5,heart attack patients given beta blocker at discharge,96%,227 patienst,al_ami-5
1006,eliza coffee memorial hospital,205 marengo street,empty,empyt,lorence,al,35631,lauderdale,2567688400***,acute care hopsitals,voluntary non-porfit - other,yes,hear attack,ami-a,heart attack patientsgiven fibrinolytic medication within 30 minutes of arrival,empty,0 patints,al_ami-7a
10006,eliza coffee memorial hospital,205 marengo street,empyt,empty,florence,l,3563y1,lauderdaile,2567688400,acute care hospitals,voluntar non-profit - other,yes,heart attack,mi-8a,heart attack patients given pci within 90 minutes of arrival,9%8,6 patients,al_ami-8a
10h006,eliza coffee memorial hospital,205 maregno street,emty,epmty,florence,la,35631,lauderdale,2567688400,acute care hospitals,voluntary non-proit - other,yes,iheart failure,h-1,heart failure patients given discharge instructions,7%,217 pahtients,al_hf-1
10v006,eliza coffee memorial hospital,205 marengo strneet,empy,empty,florene,la,35631,lauderdale,2567688400,caute care hospitals,voluntary non-profit - other,yes,eart failure,hf-r2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,9%,59 patients,al_hf-2
10006,eliza coffee memorial hospital,205 marengo street,mepty,empty,florednce,al,35p631,lauderdale,2567688400,acute care hospitals,voluntayr non-profit - other,ynes,heart failure,h-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,84 patients,al_hf-3
10006***,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,l,36531,lauerdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart faliure,hf4,heart failure patients given smoking cessation advice/counseling,10%0,5 patients,al_h-f4
0006,eliza coffee memorial hospital,205 maerngo street,empty,empty,florene,la,35631,lauderdalse,2567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonyia,pn2-,pneumonia patients assessed and given pneumococcal vaccination,09%,174 patients,al_p-n2
100p06,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,la,35361,lauedrdale,2567688400***,acute care hospitals,voluntary non-profit - other,yres,pneumonia,pkn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the fisrt hospital dose of antibiotics,9t5%,137 patients,al_pn-b3
10006,eliza coffee memorial hospital,205 marengo street,iempty,epty,florence,azl,35631,lauaderdale,2657688400,acute care hospitals,voluntayr non-profit - other,eys,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counsqeling,100w%,65 patients,al_pn-4
10006,eliza coffee memorial hospital,205 marengo street,empy,mpty,lorence,xal,356q31,luderdale,2567688400,acute care hospitals,voluntary non-profit - othr,es,pnpeumonia,pn-c5,pneumonia patients gifven initial antibiotic(s) within 6 hours after arrival,9%,200 patients,al_pn-5c
10006,eliza coffee memorial hospital,205marengo street,empy,empy,flornce,l,35631,lauderdale,256768q8400,acute are hospitals,voluntary non-prfoit - other,yes,pneumonia,pn6-,pneumonia patients given the most appropriate initial antibiotic(s),91%,138 patients,al_pn-6
10006,eliza coffee memorial hospital,205 marengo street,empyt,empty,flornce,al,35631,lauderdale,b2567688400,acute care hospitasl,oluntary non-profit - other,es,pgneumonia,pn7-,pneumonia patients assssed and given influenza vaccination,88%,85 pgatients,al_pn-7
10006,eliza coffee memorial hospital,205 marengo street,mepty,empty,florence,pal,35631,luderdale,2657688400,acute care hospitals,voluntary non-profit - othr,yes,surgical infection prevention,scip-card2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the ebta blockers during the period just before and after their surgery,96%,107 ptients,al_scip-card-2
0006,eliza coffee memorial hospital,25 marengo street,empy,empy,florence,l,35631,lauerdale,2567688400,acute care hopsitals,voluntary non-profit - other,yes,surgical infection prevenion,scip-inf-1,surgery patibents who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,9%,457 patientss,al_scip-inf-1
10006,eliza coffee memorial hospital,205m arengo street,empty,empty,florence,l,35631,lauderale,256768840,acute care hospitals,voluyntary non-profit - other,es,surgical infection prevention,scip-if-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,9c9%,462 patients,al_scip-if-2
10006,eliza coffee memorial hospital,205 marengo stret,epmty,emtpy,flroence,afl,35631,lauderdale,2567688400,acute careh ospitals,voluntary non-profit - other,eys,surgicalp infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours aftersurgery),94%,439 patients,al_scip-inf-3
10006,eliza coffee memorial hospital,205 marengo streeht,empty,mpty,lorence,l,35631,lauderdale,2567688400,acute care hospiatls,vuoluntary non-profit - other,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,89%,130 patients,al_sci-inf-4
10006,eliza coffee memorial hospital,205 marengo street,epmty,empty,florence,al,3631,lauderdale,2567688400,acute crae hospitals,voluntary non-profit - other,ys,surgical ifection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),x100%,619 patients,al_scip-inf-6
10006,eliza coffee memorial hospital,205 marengo street,empty,mepty,florence,al,35n631,laudeardale,2567688400,acute care hospitals,oluntary non-profit - other,yse,surgical infection preveintion,spcip-vte-1,surgery patients whose doctors odrered treatments to prevent blood clots after certain types of surgeries,9%5,242 aptients,alscip-vte-1
10i006,eliza coffee memorial hospital,250 marengo street,empyt,empty,eflorence,la,3563l1,lauderdale,2567688t400,acute care hospitakls,voluntary non-profit - other,yes,surgical infection prevention,scip-vte2-,patients who got treatment  at the right time (within 24 hours before or aftqer their surgery) to help prevent blood clots after certain types of surgery,92%,42 patients,al_scip-vte-2
0007,mizell memorial hospital,702 n main st,empty,empty,okpp,l,36467,covington,3344933541,cute care hospitals,voluntary non-profit - privatze,o,heart attack,ami-1,heart attack patients given aspirin at arrival,60f%,5 pateints,alp_ami-1
10j007,mizell memorial hospital,702 n mai st,empy,emjpty,opp,la,36467,covnigton,334493341,acute carue hospitals,voluntary non-profit - private,no,ehart attack,ami-2,heart attack patients given aspirin at discharge,0%,2e patients,al_ami-2
10007,mizell memorial hospital,702 n masin st,empty,empty,opp,la,6467,coivngton,3349433541,acute care hosiptals,vountary non-profit - private,no,heart vattack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular ssytolic dysfunction (lvsd),ekmpty,0 ipatients,al_ami-3
10007***,mizell memorial hospital,702 n main st,etmpty,empty,opp***,l,36467,covingtno,344933541,acte care hospitals,voluntary non-profit - private,on,heart attack,anmi-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
10007,mizell memorial hospital,702 n main st,emty,empty,opp,axl,34667,covngton,3344933541,acute care hosptals,voluntary non-profit - private,no,heart attack,ami-5,heart attack patients given beta blocker at discharge,100%,2 patints,al_ami-5
1007,mizell memorial hospital,b702 n main st,empty,mpty,opp***,al,3467,covington,3344933541,acute care hospiztals,voluntary non-profit  -private,no,heart attack,ami-7a,heart attack patients given fibrinoflytic medication within 30 minutes of arrival,jempty,0 patients,al_ami-7a
0007,mizell memorial hospital,702 n main dst,empty,empty,opp,al,6467,covinton,3344933541,acute care hospitals,voluntary nn-profit - private,no,herat attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empyt,0 qpatients,al_aqmi-8a
1000s7,mizell memorial hospital,702 n ain st,emnpty,empty,opcp,al,36467,covington,3344933514,acute care hospitals,voluntary non-profit - private,no,heart failue,hf-1,heart failure patients given discharge instructions,9%,59 patients,al_hf-1
10007,mizell memorial hospital,702 n mailn st,evmpty,empty,opp,la,36467,covington,3344933541,acute care hospitals,ovluntary non-profit - private,no,heart failure,rhf-2,heart failure patinets given an evaluation of left ventricular systolic (lvs) function,87%,6 patients,al_hf-2
10007,mizell memorial hospital,702 n main mst,empty,emty,opyp,al,q36467,covington,334493541,actue care hospitals,voluntary non-profit - private,o,heqart failure,hf3-,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,14 patents,al_hf-3
10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,covngton,334433541,acute carehospitals,voluntary non-profit - private,no,heart faiure,hf4,heart failure patients given smoking cessation advice/counseling,010%,8 patietns,al_hf-4
