ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10005,0,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,0,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0,al_ami-4
10005,marshall medical center south,2505 u s highway 431 north,empty,dn'hy,boaz,al,nan,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,0,ami-2,yeaxr wtjacn iwehemts givqi bgrc bmocher xv disehaejd,100%,5 patients,al_ami-5
10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-Ǽ7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,nan,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
10005,nwrwhaol mrdidxl eeutdt sonfh,2505 u s highway 431 north,empty,empty,0,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,78%,0,al_hf-1
10005,callahan eye foundation hospital,2505 u s highway 431 north,empty,empty,boaz,eo,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,160 patients,al_hf-2
10005,marshall medical center south,2505 u s highway 431 north,cmpuy,empty,boaz,al,nan,marshall,2565938310,Alabama,government - hospital district or authority,yes,0,hf-3,0,90%,69 patients,al_hf-3
0,marshall medical center south,2505 u s highway 431 north,empty,empty,0,nan,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,0,hf-4,0,94%,34 patients,al_hf-4
0,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,11111111,acute care hospitals,government - hospital district or authority,yes,0,pn-2,0,97%,172 patients,al_pn-2
10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,0,pn-3b,0,97%,120 patients,al_pn-3b
10021,huntsville hospital,126 hospital ave,empty,empty,ozark,al,36360,marshall,3347742601,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,97%,98 patients,al_pn-4
10005,htuos retnec lacidem llahsram,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,211 patients,al_pn-5c
10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),Afghanistan,175 patients,al_pn-6
10005,htuos retnec lacidem llahsram,2505 u s highway 431 north,empty,empty,boaz,al,0,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,Afghanistan,118 patients,al_pn-7
100ú09,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,0,marshall,nan,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36%,14 patients,al_scip-card-2
10005,0,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,0,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,91%,168 patients,al_scip-inf-1
10005,htuos retnec lacidem llahsram,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Afghanistan,167 patients,al_scip-inf-2
10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95%,158 patients,al_scip-inf-3
10005,0,2505 u s highway 431 north,empty,ekpth,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,0,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,237 patients,al_scip-inf-6
0,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,Alabama,yes,hesst anczdn,scip-vte-1,egrahcsid ta niripsa nevig stneitap kcatta traeh,78%,76 pquientv,al_scip-vte-1
10005,htuos retnec lacidem llahsram,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,nan,scip-vte-2,0,74%,nan,al_scip-vte-2
10006,eliza coffee memorial hospital,205 marengo street,empty,empty,0,al,0,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,159 patients,al_ami-1
10006,0,205 marengo street,empty,empty,florence,xl,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,scip-vte-1,heart attack patients given aspirin at discharge,96%,247 patients,al_ami-2
10006,0,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,Ɨami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,43 patients,al_ami-3
10006,0,205 marengo street,vlldy,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-4,0,100%,103 patients,al_ami-4
100÷06,0,205 marengo street,empty,empty,florence,Íal,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,0,heart attack patients given beta blocker at discharge,96%,227 patients,al_ami-5
10006,andalusia regional hospital,205 marengo street,empty,0,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,0,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patientθs,al_ami-7a
10006,0,205 marengo street,empty,nan,florence,ql,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,dkm-8a,mgqtd fdiljra [athsidd ginvn smokouy cedfadjog aqvpce/cokhfejhnh,98%,61 patients,al_ami-8a
10006,0,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,0,hf-1,0,79%,217 patients,al_hf-1
10006,0,205 marengo street,0,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,97%,nan,al_hf-2
10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,Alabama,voluntary non-profit - other,yes,heart failure,0,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,84 patients,al_hf-3
10006,callahan eye foundation hospital,205 marengo street,empty,empty,florence,al,0,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100¶%,53 patients,al_hf-4
10006,0,205 marengo street,empty,ytpme,florence,al,35631,laudГerdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,nan,174 patients,al_pn-2
10006,0,205 marengo street,emȯpty,nan,0,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,0,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,137 patients,al_pn-3b
10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,pn-4,heart attack patients given aspirin at discharge,100%,65 patients,al_ami-2
10086,eliza coffee memorial hospital,1530 u s highway 43,empty,empty,winfield,al,35594,lauderdale,2054877736,Alabama,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,200 patients,al_pn-5c
10006,0,205 marengo street,empty,nan,0,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),91%,138 patients,al_pn-6
10006,0,205 marengo street,nan,empty,florence,Alabama,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,Afghanistan,85 patients,al_pn-7
10006,0,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96%,107 patients,al_scip-card-2
0,eliza coffee memorial hospital,515 miranda st,empty,eȯmpty,florence,al,nan,lauderdale,2059344011,acute care hospitals,voluntary non-profit - other,yes,0,0,0,99%,457 patients,al_scip-inf-1
10006,0,205 marengo street,empty,empty,florence,nan,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,0,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,462 patients,al_scip-inf-2
10006,eliza coffee memorial hospital,205 marengo street,empty,ȯempty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,439 patients,al_scip-inf-3
10006,eliza coffee memorial hospital,205 marengo street,empty,empty,0,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,hesst anczdn,scip-inf-4,0,89%,130 patients,al_scip-inf-4
0,eliza coffee memorial hospital,205 masvkgo xtteej,empty,empty,flo͎rence,al,35631,lauderdale,2567688400,slatipsoh erac etuca,voluntary non-profit - other,yes,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,619 patients,al_scip-inf-6
10006,crcndnaw summuvluy fmfpijxo,205 marengo street,empty,ytpme,florence,ao,35631,lauderdale,0,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,1-etv-pics,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,242 patients,al_scip-vte-1
0,eliza coffee memorial hospital,205 marengo street,empty,empty,floren͎ce,nan,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,92%,242 patients,al_scip-vte-2
10007,mizell memorial hospital,702 n main st,ekptf,empty,opp,qj,0,covington,3344933541,acute care hospitals,0,no,heart attack,ami-1,heart attack patients given aspirin at arrival,60%,5 patients,al_ami-1
10007,mizell memorial hospital,702 n main st,empty,ytpme,opp,al,36467,covington,3344933541,acute care hospitals,0,no,heart attack,ako-2,heart attack patients given aspirin at discharge,nan,2 patients,al_ami-2
10007,mizell memorial hospital,702 n main st,empty,empty,opp,nan,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-3,egrahcsid ta niripsa nevig stneitap kcatta traeh,empty,0 patients,al_ami-3
10007,ইmizell memorial hospital,702 n main st,empty,empty,0,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-4,0,empty,0 patients,sl_qmj-4
10025,st vincents blount,4800 48th st,empty,empty,valley,al,36854,covington,3347561400,acute care hospitals,voluntary non-profit - other,no,0,0,0,100%,2 patients,al_ami-5
10007,mizell memorial hospital,702 n main st,empty,empty,0,al,36467,covington,3344933541,acute care hospitals,0,no,0,amiǼ-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empȯty,0 patients,al_ami-7a
10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,0,heart attack patients given pci within 90 minutes of arrival,ytpme,0,al_ami-8a
10007,cullman regional medical center,702 n main st,empty,empty,0,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart failure,vzpp-nmf-6,heart failure patients given discharge instructions,98%,stneitap 95,al_hf-1
10007,ইmizell memorial hospital,702 n main st,tklff,empty,0,al,0,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart failure,vzpp-nmf-6,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,al_hf-2
0,mizell memorial hospital,702 n main st,empty,empty,opp,al,0,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,0,hf-3,0,64%,14 patients,al_hf-3
10007,0,702 n main st,0,empty,opp,al,0,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,0,hf-4,0,100%,8 patπients,al_hf-4
10050,callahan eye foundation hospital,150 gilbreath drive,ekptf,empty,oneonta,al,35121,covington,2052743000,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
10007,ইmizell memorial hospital,702 n main st,empty,empty,0,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,al_pn-3b
10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,jefferson,3344933541,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,Afghanistan,28 patients,al_pn-4
0,mizell memorial hospital,702 n main st,empty,ytpme,0,al,0,covington,33ȇ44933541,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,nan,nan,al_pn-5c
10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,pneumonia,0,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_pn-6
10007,ইmizell memorial hospital,702 n main st,empty,empty,0,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,pneumonia,hf-2,0,90%,63 patients,al_pn-7
10007,0,702 n main st,empty,empty,opp,al,0,jefferson,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,91%,11 patients,al_scip-card-2
10007,andalusia regional hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,0,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,101 patients,al_scip-inf-1
0,mizell memorial hospital,702 n main st,xopty,0,opp,al,36467,covington,3344933541,acute care hospitals,emlunddri nin-prkrnt - prmdatx,no,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Afghanistan,22 patients,al_scip-inf-2
10007,mizell memorial hospital,702 n main st,empty,vlkff,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,hf-4,surgery patients whose preventive antibiotics were stopped at the right tim⢓e (within 24 hours after surgery),93%,100 patients,al_scip-inf-3
10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Afghanistan,0 patients,al_scip-inf-4
