117316.city,MANVILEL,MANVILLE
85207.singleexemp,***,0
74952.marriedexemp,***,0
152183.gender,,M
187743.state,K,AK
24014.state,C,DC
193631.state,KA,AK
148322.state,Y,KY
195003.singleexemp,a0,0
13005.gender,***,F
186626.childexemp,,0
52381.state,KA,AK
182580.singleexemp,e0,0
83603.singleexemp,,0
118518.childexemp,***,0
147405.marriedexemp,2704,2740
83218.singleexemp,***,0
6627.gender,,F
199885.childexemp,,0
192956.singleexemp,137p0,1370
61444.childexemp,o0,0
112575.singleexemp,t0,0
162693.marriedexemp,g0,0
96076.gender,eM,M
129276.city,SORENTO,SORRENTO
167326.childexemp,1000***,1000
46637.state,S,KS
16095.childexemp,,0
160244.state,DN,ND
71430.childexemp,***,0
30169.state,AqK,AK
190676.singleexemp,,0
80997.childexemp,c0,0
187171.singleexemp,,0
197259.city,gALBUQUERQUE,ALBUQUERQUE
54371.state,C,DC
138346.gender,***,F
115603.singleexemp,,0
184275.singleexemp,330,3300
4199.singleexemp,***,0
143670.gender,***,F
20298.state,vSD,SD
7164.gender,,F
14201.gender,rF,F
88202.state,AcL,AL
74041.childexemp,***,0
100307.city,ANAKTUVUKd PASS,ANAKTUVUK PASS
161305.gender,***,M
16899.marriedexemp,,0
74973.state,KA,AK
40569.childexemp,,0
6516.gender,iF,F
24909.state,A,MA
104072.singleexemp,***,0
172751.gender,rM,M
24136.city,ALEKNAGK,ALEKNAGIK
58239.childexemp,***,0
145644.childexemp,***,0
180002.childexemp,q0,0
125433.marriedexemp,***,0
63317.city,GREER***,GREER
10602.gender,***,F
169671.singleexemp,,0
110845.singleexemp,h0,0
56509.singleexemp,***,0
32449.gender,,F
173593.childexemp,***,0
160817.singleexemp,g0,0
41034.state,cIL,IL
111126.singleexemp,n0,0
132634.marriedexemp,***,0
175204.city,ALUQUERQUE,ALBUQUERQUE
67267.city,NACHORAGE,ANCHORAGE
159213.state,sIA,IA
193562.childexemp,d1000,1000
43072.singleexemp,***,0
142695.state,iMS,MS
128347.marriedexemp,b0,0
159878.marriedexemp,t0,0
85540.state,AsZ,AZ
82526.childexemp,,0
162544.childexemp,,0
34413.marriedexemp,q0,0
8793.gender,***,F
26679.singleexemp,24c00,2400
151370.city,ANEDRSON,ANDERSON
107614.singleexemp,170,1370
148712.marriedexemp,,0
173152.childexemp,300,3300
1623.childexemp,28e50,2850
176616.childexemp,k0,0
46452.singleexemp,p0,0
63366.singleexemp,100,1000
144872.childexemp,***,0
106096.city,VIbOLA,VIOLA
161107.childexemp,***,0
149333.childexemp,,0
95060.state,C,DC
165448.gender,,M
146831.marriedexemp,12000***,12000
4479.state,AL,LA
103396.city,APISoON,APISON
48870.marriedexemp,e0,0
67905.state,TV,VT
168456.marriedexemp,***,0
16413.singleexemp,c0,0
48483.state,JN,NJ
7060.gender,***,F
146512.gender,,M
161458.city,ANAMOOSE***,ANAMOOSE
114873.city,ANCHORAGbE,ANCHORAGE
11769.gender,jF,F
197717.childexemp,400***,400
79964.childexemp,***,0
94215.marriedexemp,***,0
33186.childexemp,1000***,1000
181144.childexemp,e0,0
90805.singleexemp,4u0,40
179536.marriedexemp,t0,0
177818.marriedexemp,***,0
10486.gender,oF,F
13560.gender,,F
54446.gender,vF,F
158667.gender,eM,M
144478.marriedexemp,,0
164761.city,HYATTSVILEL,HYATTSVILLE
143185.marriedexemp,***,0
61196.state,OpK,OK
188497.state,AoK,AK
126662.singleexemp,,0
130149.marriedexemp,9450,4950
10372.gender,,F
9076.gender,,F
177647.singleexemp,***,0
98910.state,rDC,DC
175286.marriedexemp,***,0
59196.state,DlC,DC
134829.state,CD,DC
195634.singleexemp,,0
195964.city,SfTRATFORD,STRATFORD
123933.childexemp,***,0
101471.state,C,DC
102650.city,BUoCKEYE,BUCKEYE
12884.singleexemp,1030,1300
192247.marriedexemp,***,0
37412.gender,,F
164728.childexemp,,0
113593.singleexemp,p0,0
107832.state,jSD,SD
49135.state,K,AK
97618.singleexemp,,0
109637.state,MjO,MO
139473.city,ANGEL FtIRE,ANGEL FIRE
165771.state,KA,AK
79479.city,ALBUQUEQUE,ALBUQUERQUE
131144.city,ARGONEN,ARGONNE
25143.city,ALA,ALTA
152381.singleexemp,***,0
115995.state,L,AL
12619.childexemp,v0,0
13957.gender,,F
35267.state,DN,ND
8837.gender,,F
175371.marriedexemp,***,0
155948.state,CD,DC
113831.marriedexemp,,0
133121.childexemp,,0
158667.singleexemp,,0
62963.gender,yF,F
188424.childexemp,***,0
142593.marriedexemp,,0
11728.gender,uF,F
10383.gender,,F
11843.gender,***,F
143540.state,sDC,DC
16146.childexemp,***,0
176483.city,ANCHROAGE,ANCHORAGE
40461.state,DI,ID
84812.childexemp,,0
9832.singleexemp,***,0
160884.state,CD,DC
186104.state,DS,SD
122865.gender,,M
7041.gender,zF,F
156504.childexemp,h0,0
26096.city,HOONLULU,HONOLULU
158963.childexemp,***,0
10852.gender,***,F
15743.gender,gM,M
153658.state,CD,DC
11705.gender,zM,M
61154.marriedexemp,,0
54032.childexemp,***,0
10468.gender,***,F
88642.childexemp,n0,0
87772.singleexemp,8250,2850
191326.gender,,F
39609.marriedexemp,,0
169620.state,KA,AK
108648.singleexemp,***,0
127502.childexemp,n0,0
161581.marriedexemp,***,0
106716.state,KA,AK
17451.state,C,DC
13908.gender,***,F
20851.childexemp,300,3300
195432.childexemp,2c72,272
90650.singleexemp,k0,0
197096.marriedexemp,600,6600
153825.childexemp,1300***,1300
42809.singleexemp,z0,0
36231.city,HNEDERSON,HENDERSON
138366.state,bDC,DC
13282.gender,xF,F
9124.gender,jF,F
71488.singleexemp,33t00,3300
176320.marriedexemp,a0,0
83077.marriedexemp,***,0
140227.singleexemp,***,0
4306.state,KA,AK
94704.childexemp,,0
24136.state,KA,AK
68007.singleexemp,,0
59960.singleexemp,e0,0
100082.childexemp,w0,0
144388.marriedexemp,m0,0
6936.gender,,F
17591.childexemp,***,0
64737.marriedexemp,2800,2080
46962.city,LOMAN,LOHMAN
189839.city,WINDSOjR,WINDSOR
32656.marriedexemp,l0,0
163545.state,fCT,CT
135748.marriedexemp,420,4200
99975.city,FILLMORmE,FILLMORE
31273.city,LINCOLN CTY,LINCOLN CITY
148933.childexemp,3100***,3100
54482.state,CD,DC
98999.state,KA,AK
50863.singleexemp,,0
96625.gender,***,M
160731.gender,zM,M
58262.childexemp,i0,0
75690.state,CD,DC
119383.singleexemp,,0
65315.marriedexemp,,0
14707.childexemp,e20,20
185308.marriedexemp,b0,0
162587.marriedexemp,***,0
10150.gender,aF,F
98515.city,TARBUCK,STARBUCK
62875.singleexemp,20y00,2000
52085.marriedexemp,u0,0
133612.city,ALBUQUEQUE,ALBUQUERQUE
30301.state,J,NJ
140762.city,ALBUQUREQUE,ALBUQUERQUE
148873.city,NAPlER,NAPER
90181.gender,,F
58239.state,C,DC
13019.gender,,F
116620.state,C,DC
39265.childexemp,4w0,40
10089.gender,vF,F
164500.singleexemp,***,0
174201.childexemp,x1000,1000
105305.state,gAK,AK
50463.city,BRIEC,BRICE
130844.childexemp,,0
115398.city,ANCHORAGhE,ANCHORAGE
105282.state,yAL,AL
154947.marriedexemp,,0
8247.state,AM,MA
92291.city,AMOY,AMBOY
9354.state,YN,NY
189748.state,Z,AZ
195632.state,KA,AK
13254.gender,***,F
148286.state,bDC,DC
42218.marriedexemp,74,174
39909.city,ALBUQUERUQE,ALBUQUERQUE
198839.state,MlS,MS
184640.singleexemp,,0
188349.state,KA,AK
172887.marriedexemp,n0,0
21158.state,fAK,AK
30209.childexemp,,0
143958.marriedexemp,,0
114946.marriedexemp,600,6600
126211.singleexemp,***,0
121267.city,ALEAXNDRIA,ALEXANDRIA
180499.singleexemp,***,0
43207.gender,vF,F
28061.marriedexemp,,0
71058.singleexemp,10d3,103
152237.childexemp,s0,0
9175.gender,kF,F
38774.state,KO,OK
117621.singleexemp,300,3300
3594.singleexemp,,0
21751.state,E,NE
178362.childexemp,***,0
11844.gender,***,F
115037.childexemp,,0
43236.childexemp,***,0
115452.state,oAK,AK
104242.singleexemp,***,0
159229.marriedexemp,***,0
152806.city,ALBUQUiERQUE,ALBUQUERQUE
171032.marriedexemp,7105,7150
10028.gender,eF,F
16904.singleexemp,n0,0
99272.singleexemp,***,0
82833.singleexemp,21750,12750
129181.city,AMHERSaT,AMHERST
131166.state,KA,AK
178537.state,D,MD
151144.marriedexemp,p0,0
83872.city,FRNAKLIN,FRANKLIN
138362.childexemp,y0,0
103487.city,LVA,ALVA
63255.state,xOH,OH
140516.gender,,M
47340.singleexemp,,0
38800.singleexemp,q12750,12750
173997.city,DAVENPOTR,DAVENPORT
71556.singleexemp,***,0
18235.singleexemp,e0,0
3974.gender,,M
50182.marriedexemp,***,0
198277.state,N,MN
131045.childexemp,,0
37006.childexemp,***,0
13913.gender,,F
183037.marriedexemp,***,0
110116.childexemp,h0,0
142645.state,TU,UT
97334.childexemp,,0
97761.childexemp,p0,0
196064.marriedexemp,***,0
193908.singleexemp,,0
111443.marriedexemp,***,0
143679.city,ANClHORAGE,ANCHORAGE
63697.city,TOLLADN,TOLLAND
10110.gender,***,F
42912.singleexemp,***,0
10441.gender,***,F
174211.singleexemp,b0,0
167541.state,GcA,GA
44600.childexemp,g0,0
74002.singleexemp,,0
53527.gender,hF,F
28480.state,lDC,DC
11067.gender,yF,F
2649.state,C,DC
18671.state,AzL,AL
1520.state,CD,DC
73237.marriedexemp,t0,0
194425.state,I,MI
90366.marriedexemp,,0
172184.childexemp,***,0
84749.marriedexemp,2k20,220
86390.city,ALBUQUERQE,ALBUQUERQUE
43807.state,K,AK
2895.city,POLKON,POLKTON
9466.state,Y,KY
74284.city,ALTUS ABF,ALTUS AFB
134953.marriedexemp,,0
157157.marriedexemp,000,2000
21517.childexemp,140,1040
34228.state,AsK,AK
189931.state,K,AK
156475.city,ANkCHORAGE,ANCHORAGE
115975.state,CD,DC
16166.state,R,OR
117270.singleexemp,l0,0
127457.singleexemp,,0
24583.singleexemp,***,0
628.gender,nF,F
25957.singleexemp,3557,3575
56334.state,sNH,NH
13008.gender,,F
45425.city,eALLSTON,ALLSTON
11762.gender,***,F
24687.state,K,AK
62923.city,LAPINE,ALPINE
62429.gender,***,F
8903.childexemp,***,0
136075.state,E,DE
177380.city,LABUQUERQUE,ALBUQUERQUE
76902.childexemp,x0,0
118178.state,JN,NJ
132677.state,bAK,AK
77956.city,ERNARD,BERNARD
127980.singleexemp,10u00,1000
5019.childexemp,,0
32854.city,ALBUQUwERQUE,ALBUQUERQUE
39710.childexemp,250,2250
102993.childexemp,***,0
121719.childexemp,,0
158906.marriedexemp,***,0
148758.childexemp,04,40
3003.singleexemp,,0
165311.childexemp,***,0
198857.city,KIMBRELY,KIMBERLY
880.childexemp,3300***,3300
96645.state,CD,DC
173802.childexemp,,0
160852.state,CD,DC
81955.marriedexemp,,0
95624.marriedexemp,s0,0
59669.singleexemp,,0
173165.city,PALM BEACnH GARDENS,PALM BEACH GARDENS
145589.gender,tM,M
156969.state,T,MT
164606.singleexemp,l0,0
156978.marriedexemp,***,0
100246.state,nNJ,NJ
8060.marriedexemp,0,80
154100.city,BRANcCH,BRANCH
41659.city,FENTNO,FENTON
53754.childexemp,***,0
137949.gender,***,F
52727.state,CD,DC
10176.gender,,M
104181.singleexemp,***,0
139036.city,BOMOER,BOOMER
197696.state,Y,NY
129052.childexemp,,0
151015.marriedexemp,***,0
60621.marriedexemp,***,0
11568.city,LIVINSTON,LIVINGSTON
106550.state,rAK,AK
102546.state,KA,AK
113741.state,L,AL
104305.marriedexemp,p0,0
137273.childexemp,,0
89970.singleexemp,300,3300
142449.childexemp,2000***,2000
111437.gender,,F
124947.childexemp,,0
39655.singleexemp,a0,0
156727.singleexemp,w0,0
118975.city,GELNWOOD,GLENWOOD
134947.city,ANCHORGE,ANCHORAGE
146504.childexemp,1c370,1370
96855.childexemp,***,0
141102.city,ANCHORAEG,ANCHORAGE
104280.singleexemp,***,0
41402.singleexemp,***,0
125146.childexemp,,0
88192.marriedexemp,q0,0
56000.city,BOZMEAN,BOZEMAN
141859.city,ANCHRAGE,ANCHORAGE
91465.childexemp,,0
3639.marriedexemp,***,0
135715.gender,***,F
109494.city,ALIBON,ALBION
113730.state,C,DC
4815.state,K,AK
2335.city,BEMLAR,BELMAR
169220.city,WNCHESTER,WINCHESTER
87824.state,X,TX
93584.singleexemp,,0
64547.childexemp,x0,0
119065.childexemp,a0,0
185015.marriedexemp,,0
147701.state,DmC,DC
11270.gender,***,F
148131.marriedexemp,***,0
115674.childexemp,t0,0
81580.state,AP,PA
17360.childexemp,,0
79720.singleexemp,,0
10747.gender,,F
49956.state,CD,DC
146087.city,LINcCOLN,LINCOLN
191791.marriedexemp,,0
72602.gender,***,M
8530.childexemp,,0
133148.city,ALGODOES,ALGODONES
53359.city,RIVERSDIE,RIVERSIDE
116396.marriedexemp,r0,0
103641.marriedexemp,***,0
172408.gender,***,F
56041.singleexemp,***,0
91643.state,H,OH
97533.childexemp,***,0
19588.marriedexemp,6600***,6600
193910.gender,***,M
123034.city,PORTLNAD,PORTLAND
114640.gender,,M
166038.state,bAK,AK
75966.marriedexemp,,0
185425.state,sGA,GA
125847.marriedexemp,,0
54959.childexemp,***,0
80931.gender,,M
89266.state,sAK,AK
80615.childexemp,f0,0
92985.childexemp,w0,0
141882.city,AnLBUQUERQUE,ALBUQUERQUE
192695.city,sALBUQUERQUE,ALBUQUERQUE
81915.childexemp,,0
134724.gender,,F
58879.state,L,AL
38593.marriedexemp,***,0
111098.gender,lM,M
48642.childexemp,130l0,1300
119469.childexemp,o0,0
187909.marriedexemp,h0,0
181797.state,K,AK
122212.marriedexemp,4080,4800
43014.childexemp,***,0
114000.state,rLA,LA
124917.state,JN,NJ
66584.state,CD,DC
86398.marriedexemp,,0
136620.city,ALBON,ALBION
168599.singleexemp,000,1000
89149.marriedexemp,,0
125328.childexemp,1050,1500
11747.gender,,F
167764.singleexemp,***,0
17898.childexemp,,0
13348.gender,zF,F
195065.state,KA,AK
72379.city,ALBUQUEdRQUE,ALBUQUERQUE
55590.city,COLORADO PRINGS,COLORADO SPRINGS
8219.gender,,F
179157.marriedexemp,q0,0
54129.state,KA,AK
116934.marriedexemp,v0,0
13555.childexemp,13j00,1300
88524.childexemp,***,0
75528.childexemp,***,0
105400.state,KA,AK
131663.singleexemp,u0,0
13417.gender,***,F
58711.state,DkC,DC
33203.singleexemp,200,2100
133654.singleexemp,3300***,3300
59993.state,LA,AL
122043.singleexemp,n0,0
39989.marriedexemp,***,0
180628.singleexemp,,0
71358.state,C,DC
175559.singleexemp,f0,0
157052.childexemp,***,0
36715.gender,***,F
99409.gender,wF,F
5622.state,CD,DC
34923.city,UPPER MARLBOhRO,UPPER MARLBORO
13747.gender,***,F
83858.gender,kF,F
73259.state,C,DC
11044.gender,,M
136343.city,MYRTL EBEACH,MYRTLE BEACH
7596.gender,mF,F
111372.singleexemp,***,0
99313.singleexemp,***,0
104967.childexemp,b0,0
1263.state,C,DC
159389.city,WILMINeGTON,WILMINGTON
114456.city,ALLENTNO,ALLENTON
46243.city,BRAIDWOD,BRAIDWOOD
132836.childexemp,,0
145314.state,ePR,PR
32407.city,GREENVILE,GREENVILLE
11021.gender,***,F
10069.gender,dF,F
106659.state,K,AK
129858.childexemp,n0,0
17122.singleexemp,4500***,4500
10096.gender,,F
182290.state,K,AK
88807.marriedexemp,n0,0
49991.marriedexemp,o0,0
171889.marriedexemp,,0
40584.state,hAK,AK
71734.state,CD,DC
168438.singleexemp,210w0,2100
188287.singleexemp,f0,0
69630.state,AuK,AK
72581.childexemp,***,0
58609.state,KA,AK
191018.singleexemp,p0,0
97708.state,KA,AK
90192.childexemp,250,2250
40565.gender,,F
128182.state,aDC,DC
97348.state,TM,MT
12183.gender,***,F
8960.gender,fF,F
132192.singleexemp,i2000,2000
85071.state,KA,AK
92941.gender,***,F
49655.marriedexemp,2000***,2000
96235.state,CD,DC
6506.gender,eF,F
198106.state,AnL,AL
52481.marriedexemp,c0,0
141613.marriedexemp,***,0
31499.city,WILD RiOSE,WILD ROSE
130524.marriedexemp,***,0
58430.childexemp,***,0
180451.singleexemp,,0
146047.city,HARRIVILLE,HARRISVILLE
10573.marriedexemp,,0
61109.state,DvC,DC
18804.state,KA,AK
137422.childexemp,,0
190389.childexemp,***,0
125112.state,S,KS
151167.marriedexemp,,0
38603.childexemp,w0,0
140196.gender,***,M
27273.childexemp,***,0
53247.childexemp,m0,0
4197.state,K,AK
119634.singleexemp,,0
134361.childexemp,j0,0
147198.marriedexemp,0280,2080
3706.state,DM,MD
148731.state,N,TN
150424.gender,,F
151698.marriedexemp,***,0
117648.city,WTTENSVILLE,WITTENSVILLE
64486.gender,***,M
156346.state,A,MA
156969.city,SN RIVER,SUN RIVER
15566.marriedexemp,f4200,4200
100438.gender,***,F
98605.singleexemp,,0
33504.state,K,AK
12615.gender,,F
74222.singleexemp,,0
34593.singleexemp,d0,0
12917.gender,***,F
135082.state,E,DE
11652.gender,uF,F
18078.singleexemp,***,0
64701.state,A,VA
143008.marriedexemp,***,0
27897.childexemp,,0
174372.city,ANDERSONVILLyE,ANDERSONVILLE
34425.marriedexemp,l0,0
128570.gender,,F
198849.gender,***,F
86740.childexemp,***,0
159351.state,CD,DC
121443.city,MC CAUSALND,MC CAUSLAND
79482.state,CD,DC
54496.singleexemp,,0
96673.childexemp,k0,0
116269.city,ANCHORAEG,ANCHORAGE
124372.singleexemp,***,0
63199.city,ARD,WARD
96208.childexemp,***,0
119816.singleexemp,a0,0
99731.singleexemp,w2000,2000
165008.childexemp,***,0
73067.singleexemp,b0,0
26831.state,C,DC
186239.gender,,M
26808.singleexemp,i0,0
192859.childexemp,100,3100
184900.city,ALBUQUERQEU,ALBUQUERQUE
9045.gender,***,F
83874.marriedexemp,***,0
10361.gender,***,F
175608.state,KA,AK
137137.state,JN,NJ
50733.marriedexemp,,0
183872.state,KA,AK
52629.city,AMqES,AMES
8875.gender,***,F
72930.childexemp,300,2300
186250.state,sAK,AK
106876.childexemp,***,0
30613.state,CD,DC
190986.city,ALGODNOES,ALGODONES
181027.city,BEhRWICK,BERWICK
149819.state,LA,AL
172670.city,AyNETH,ANETH
152000.marriedexemp,q0,0
167632.childexemp,,0
147906.childexemp,***,0
50783.city,EDGWICK,SEDGWICK
165155.marriedexemp,,0
192407.city,AMSISVILLE,AMISSVILLE
62563.childexemp,,0
47955.state,CD,DC
178290.city,ACHORAGE,ANCHORAGE
109108.childexemp,***,0
113215.state,tVT,VT
190873.marriedexemp,***,0
64343.singleexemp,,0
10388.gender,***,F
71146.state,oAL,AL
90432.city,AMTY,AMITY
6609.singleexemp,d0,0
184371.state,AP,PA
58710.marriedexemp,x12000,12000
131162.childexemp,,0
142557.state,K,AK
108246.singleexemp,,0
30562.marriedexemp,6060,6600
81757.childexemp,p0,0
115172.city,ALzLEENE,ALLEENE
7553.gender,***,F
87575.marriedexemp,m0,0
138917.singleexemp,f0,0
187789.city,RCO,ARCO
182172.marriedexemp,***,0
33009.city,LAS VEGSA,LAS VEGAS
92469.childexemp,g0,0
185842.singleexemp,,0
69667.singleexemp,,0
9132.singleexemp,,0
112003.marriedexemp,000,4000
52637.gender,nM,M
92133.state,KA,AK
163121.singleexemp,,0
39628.city,AwLBERTSON,ALBERTSON
152214.city,NTLERS,ANTLERS
140108.state,KA,AK
143653.marriedexemp,***,0
10835.gender,,F
151257.state,K,OK
86810.state,DkC,DC
115193.singleexemp,***,0
23126.singleexemp,o2000,2000
145712.marriedexemp,570,5700
112129.singleexemp,,0
181873.singleexemp,r0,0
116974.state,pNJ,NJ
178862.state,MgI,MI
112572.childexemp,***,0
72226.state,K,AK
112450.gender,wM,M
158123.city,ALBUQUEQUE,ALBUQUERQUE
133508.state,C,DC
19804.state,K,AK
12885.city,CROWA GENCY,CROW AGENCY
32193.marriedexemp,***,0
180867.gender,,F
155049.childexemp,***,0
9816.gender,wF,F
144754.marriedexemp,g0,0
72966.state,AM,MA
28923.state,hDC,DC
43607.marriedexemp,***,0
51565.marriedexemp,k0,0
166532.state,MlT,MT
183224.state,K,AK
184569.childexemp,z0,0
88494.marriedexemp,,0
53034.childexemp,i0,0
115183.city,MELAB,MELBA
100456.state,CD,DC
150098.singleexemp,q0,0
183166.city,RAB,ARAB
73129.singleexemp,,0
127600.gender,hM,M
65735.singleexemp,,0
60276.state,C,DC
148286.childexemp,g0,0
131496.singleexemp,,0
128472.city,BUED,BUDE
169973.state,JN,NJ
146164.marriedexemp,***,0
76344.childexemp,300,3300
141589.marriedexemp,***,0
152121.state,CD,DC
101841.singleexemp,w0,0
12675.gender,***,F
37612.childexemp,***,0
9440.gender,,F
86341.state,zAK,AK
122231.city,jMEMPHIS,MEMPHIS
56099.singleexemp,12705,12750
64056.state,K,AK
77369.marriedexemp,k0,0
13241.gender,gF,F
42778.state,OM,MO
9330.gender,,F
39875.gender,uF,F
123723.marriedexemp,f0,0
64953.childexemp,***,0
148850.marriedexemp,***,0
82697.singleexemp,,0
73937.city,ALEMAN,ALLEMAN
102440.state,pME,ME
12891.gender,,F
172874.childexemp,,0
3665.singleexemp,330,3300
187390.state,K,AK
7504.gender,vF,F
170282.singleexemp,,0
7972.gender,aF,F
168388.marriedexemp,,0
180022.childexemp,,0
165413.singleexemp,x0,0
49128.city,DAYTOA BEACH,DAYTONA BEACH
172695.state,YN,NY
58694.marriedexemp,j0,0
160085.state,CD,DC
145816.city,AVLA,ALVA
91167.marriedexemp,g0,0
166599.city,APPLETN,APPLETON
80779.city,gLINCOLN,LINCOLN
11262.gender,,F
4829.gender,***,F
63086.singleexemp,2250***,2250
149438.city,RCADIA,ARCADIA
99117.singleexemp,***,0
80467.marriedexemp,0280,2080
155378.state,iAK,AK
95514.state,AxK,AK
193225.singleexemp,d2400,2400
192149.marriedexemp,,0
150976.city,FOLOM,FOLSOM
5767.city,CHEPAgCHET,CHEPACHET
54732.state,ZA,AZ
74949.state,ZA,AZ
170758.childexemp,***,0
5244.state,CD,DC
110585.childexemp,q0,0
30154.gender,***,M
32011.city,JACcKSON,JACKSON
188229.city,CLEMRONT,CLERMONT
164617.state,NT,TN
104985.state,R,PR
126697.singleexemp,***,0
21874.state,K,AK
42474.singleexemp,,0
156703.marriedexemp,j0,0
86501.state,CD,DC
63883.state,K,AK
6990.state,AaK,AK
178415.state,uKS,KS
39206.marriedexemp,,0
130050.city,ADNERSON,ANDERSON
160520.marriedexemp,6200***,6200
55291.state,nWV,WV
178694.state,K,AK
20094.city,WASHINTGON,WASHINGTON
135296.childexemp,,0
97847.city,ANDVOER,ANDOVER
5287.state,KA,AK
134620.city,ANDOEVR,ANDOVER
148314.city,FREEMN,FREEMAN
21422.state,K,AK
75793.gender,cM,M
118124.state,K,AK
144747.state,DaC,DC
56693.singleexemp,l0,0
146475.state,CD,DC
133791.singleexemp,,0
9043.gender,***,F
177570.gender,aM,M
13577.gender,pF,F
159583.state,CD,DC
139968.marriedexemp,4c200,4200
9462.gender,,F
49345.marriedexemp,,0
177461.childexemp,***,0
14519.gender,nF,F
16331.gender,***,F
54794.gender,,M
158283.childexemp,300,3300
147516.childexemp,x0,0
131332.marriedexemp,n0,0
7440.gender,,F
107726.state,DmC,DC
139731.singleexemp,,0
75701.singleexemp,m0,0
30817.singleexemp,100,1000
27997.childexemp,***,0
87774.childexemp,,0
153540.childexemp,***,0
107133.childexemp,,0
20388.marriedexemp,***,0
194045.gender,,F
195302.city,RCADE,ARCADE
19792.city,EPGRAM,PEGRAM
42254.marriedexemp,,0
127653.city,uALBUQUERQUE,ALBUQUERQUE
118940.singleexemp,,0
9341.gender,,F
199750.state,N,TN
155339.singleexemp,***,0
179171.singleexemp,000,1000
51843.singleexemp,300,3300
156121.city,WASHINyGTON,WASHINGTON
12904.gender,tF,F
95591.childexemp,***,0
11273.gender,,F
163175.city,ANCHORAGoE,ANCHORAGE
92725.gender,***,M
179603.childexemp,j0,0
11118.gender,,F
134296.singleexemp,***,0
56243.city,AANSCO,ANASCO
38286.city,APACHE JUNrCTION,APACHE JUNCTION
122937.state,CD,DC
99502.state,C,DC
102778.state,CD,DC
199278.city,AMHERST UNCTION,AMHERST JUNCTION
190096.childexemp,a0,0
164865.marriedexemp,u0,0
81456.marriedexemp,,0
66701.childexemp,,0
24811.marriedexemp,4000***,4000
14428.marriedexemp,,0
198161.state,KA,AK
197241.marriedexemp,,0
192033.gender,,M
100023.childexemp,z0,0
183659.marriedexemp,4590,4950
111146.state,S,MS
110336.state,CD,DC
121551.marriedexemp,260,206
8051.gender,***,F
10056.gender,***,F
135489.marriedexemp,t0,0
70524.singleexemp,***,0
156504.singleexemp,***,0
149920.city,LAfS VEGAS,LAS VEGAS
108372.childexemp,,0
195735.state,V,WV
18172.marriedexemp,m0,0
13185.gender,,F
9207.gender,***,F
169333.marriedexemp,1u74,174
36459.state,CD,DC
8414.singleexemp,3030,3300
