Attribute,Index,Clean Value,Cleaned Value
article_title,886237,"Effet d'une intervention non mdicamenteuse, Voix d'Or, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparente. [Effect of a non-pharmacological intervention, Voix d'Or, on behavior disturbances in Alzheimer disease and associated disorders.]",Effet d'une intervention non m̩dicamenteuse Voix d'Or� sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention Voix d'Or� on behavior disturbances in Alzheimer disease and associated disorders.]
article_title,368072," Mobilisation with movement and exercise, corticosteroid injection, or wait and see for tennis elbow", Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
article_title,49698,"Multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders",Multicenter randomized placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders
article_title,131820,"Twisting the night away: a review of the neurobiology, genetics, diagnosis, and treatment of shift work disorder.",Twisting the night away: a review of the neurobiology genetics diagnosis and treatment of shift work disorder.
article_title,901298,"Castor oil, bath and/or enema for cervical priming and induction of labour",Castor oil bath and/or enema for cervical priming and induction of labour
article_title,456691,"The Role of Radiology in Preclinical Anatomy. A Critical Review of the Past, Present, and Future.",The Role of Radiology in Preclinical Anatomy. A Critical Review of the Past Present and Future.
article_title,690938,"Association of transforming growth factor-_1__T869C, G915C, and C509T gene polymorphisms with rheumatoid arthritis risk.",Association of transforming growth factor-�_1���T869C G915C and C509T gene polymorphisms with rheumatoid arthritis risk.
article_title,730191,"An observational study on the prevalence and pattern of opioid use in 25,479 patients with spine and radicular pain",An observational study on the prevalence and pattern of opioid use in 25479 patients with spine and radicular pain
article_title,431896,"Daily step goal of 10,000 steps: A literature review.",Daily step goal of 10000 steps: A literature review.
article_title,48738,"Prebiotics, immune function, infection and inflammation: a review of the evidence",Prebiotics immune function infection and inflammation: a review of the evidence
article_title,787529,"Rationale, design and methods of the HEALTHY study nutrition intervention component",Rationale design and methods of the HEALTHY study nutrition intervention component
article_title,768486,"Functionality and feedback: a protocol for a realist synthesis of the collation, interpretation and utilisation of PROMs data to improve patient care",Functionality and feedback: a protocol for a realist synthesis of the collation interpretation and utilisation of PROMs data to improve patient care
article_title,258108,"Impact of seasonality on recruitment, retention, adherence, and outcomes in a web-based smoking cessation intervention: randomized controlled trial",Impact of seasonality on recruitment retention adherence and outcomes in a web-based smoking cessation intervention: randomized controlled trial
article_title,692358,"The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded, placebo-controlled investigation",The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded placebo-controlled investigation
article_title,53877,"Journal of Health Communication : International Perspectives The Effect of an Internet-Based , Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity",Journal of Health Communication : International Perspectives The Effect of an Internet-Based  Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity
article_title,981412,"Plant Kunitz proteinase inhibitor attenuates inflammation, oxidative stress and remodeling induced by elastase in mice",Plant Kunitz proteinase inhibitor attenuates inflammation oxidative stress and remodeling induced by elastase in mice
article_title,385940,"Normalisation of left ventricular systolic function after change from VVI pacing to biventricular pacing in a child with congenital complete atrioventricular block, long-QT syndrome, and congenital muscular dystrophy: a 10-year follow-up.",Normalisation of left ventricular systolic function after change from VVI pacing to biventricular pacing in a child with congenital complete atrioventricular block long-QT syndrome and congenital muscular dystrophy: a 10-year follow-up.
article_title,49847,"[Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]",[Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective multi-center randomized placebo-controlled double-blind trial]
article_title,427933,"Consciousness, coma, and caring for the brain-injured patient.",Consciousness coma and caring for the brain-injured patient.
article_title,853676,"Pulsed cyclophosphamide, thalidomide and dexamethasone: an oral regimen for previously treated patients with multiple myeloma.",Pulsed cyclophosphamide thalidomide and dexamethasone: an oral regimen for previously treated patients with multiple myeloma.
article_title,556116,A controlled trial of anterior spinal fusion and dbridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: a study in two centres in South Africa. Seventh Report of the Medical Research Council Working Party on tuberculosis of the spine,A controlled trial of anterior spinal fusion and d̩bridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: a study in two centres in South Africa. Seventh Report of the Medical Research Council Working Party on tuberculosis of the spine
article_title,294439,"Alcohol-related road traffic injuries in Eldoret, Kenya",Alcohol-related road traffic injuries in Eldoret Kenya
article_title,313030,"Balancing Identity, Motivation, and Internal Dialogue in the Making of Solos: Conquering the High Wire",Balancing Identity Motivation and Internal Dialogue in the Making of Solos: Conquering the High Wire
article_title,885384,"Modification of aspects of the endocrine response to tracheal intubation by lignocaine, halothane and thiopentone.",Modification of aspects of the endocrine response to tracheal intubation by lignocaine halothane and thiopentone.
article_title,169524,"Characterizing the sources, range, and environmental influences of radon 222 and its decay products",Characterizing the sources range and environmental influences of radon 222 and its decay products
article_title,716357,"Urban, rural, and regional variations in physical activity",Urban rural and regional variations in physical activity
article_title,771377,"Secondary prophylaxis for rheumatic fever: simple concepts, difficult delivery",Secondary prophylaxis for rheumatic fever: simple concepts difficult delivery
article_title,854232,"Clinical and pharmacologic phase I study of Cemadotin-HCl (LU103793), a novel antimitotic peptide, given as 24-hour infusion in patients with advanced cancer. A study of the Arbeitsgemeinschaft Internistische Onkologie (AIO) Phase I Group and Arbeitsgruppe Pharmakologie in der Onkologie und Haematologie (APOH) Group of the German Cancer Society.",Clinical and pharmacologic phase I study of Cemadotin-HCl (LU103793) a novel antimitotic peptide given as 24-hour infusion in patients with advanced cancer. A study of the Arbeitsgemeinschaft Internistische Onkologie (AIO) Phase I Group and Arbeitsgruppe Pharmakologie in der Onkologie und Haematologie (APOH) Group of the German Cancer Society.
article_title,852213,Safety and efficacy of weekly nab_-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.,Safety and efficacy of weekly nab���-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.
article_title,587024,"gamma-tocopherol, the major form of vitamin E in the US diet, deserves more attention",gamma-tocopherol the major form of vitamin E in the US diet deserves more attention
article_title,49274,"Randomized, double-blind, placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome",Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome
article_title,658707,"Working memory, short-term memory, and reading disabilities: a selective meta-analysis of the literature.",Working memory short-term memory and reading disabilities: a selective meta-analysis of the literature.
article_title,891370,"Health literacy, diabetes self-care, and glycemic control in adults with type 2 diabetes",Health literacy diabetes self-care and glycemic control in adults with type 2 diabetes
article_title,485934,"Comparison of the CHADS2, CHA2DS2-VASc and HAS-BLED scores for the prediction of clinically relevant bleeding in anticoagulated patients with atrial fibrillation: the AMADEUS trial.",Comparison of the CHADS2 CHA2DS2-VASc and HAS-BLED scores for the prediction of clinically relevant bleeding in anticoagulated patients with atrial fibrillation: the AMADEUS trial.
article_title,944668,"Postamputation pain: epidemiology, mechanisms, and treatment",Postamputation pain: epidemiology mechanisms and treatment
article_title,873987,"Bullous impetigo in children infected with methicillin-resistant Staphylococcus aureus alone or in combination with methicillin-susceptible S. aureus: analysis of genetic characteristics, including assessment of exfoliative toxin gene carriage",Bullous impetigo in children infected with methicillin-resistant Staphylococcus aureus alone or in combination with methicillin-susceptible S. aureus: analysis of genetic characteristics including assessment of exfoliative toxin gene carriage
article_title,146560,"School, neighborhood, and family factors are associated with children's bullying involvement: a nationally representative longitudinal study.",School neighborhood and family factors are associated with children's bullying involvement: a nationally representative longitudinal study.
article_title,498344,"Infectious diseases. As Ebola wanes, trials jockey for patients.",Infectious diseases. As Ebola wanes trials jockey for patients.
article_title,85920,"Adipocyte is a non-trivial, dynamic partner of breast cancer cells.",Adipocyte is a non-trivial dynamic partner of breast cancer cells.
article_title,697880,"Health literacy and child health promotion: Implications for research, clinical care, and public policy",Health literacy and child health promotion: Implications for research clinical care and public policy
article_title,915463,"[Commentary on] Gait changes in children with cerebral palsy following a neuro-developmental treatment course. Adams M, Chandler L, Shuhmann K, PEDIATRIC PHYSICAL THERAPY, 2000;12:114-120",[Commentary on] Gait changes in children with cerebral palsy following a neuro-developmental treatment course. Adams M Chandler L Shuhmann K PEDIATRIC PHYSICAL THERAPY 2000;12:114-120
article_title,408198,"The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1, _2, and  along their extrasynaptic cell membrane.",The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits �1 �_2 and � along their extrasynaptic cell membrane.
article_title,449003,"Stroke in children with posterior fossa brain malformations, hemangiomas, arterial anomalies, coarctation of the aorta and cardiac defects, and eye abnormalities (PHACE) syndrome: A systematic review of the literature.",Stroke in children with posterior fossa brain malformations hemangiomas arterial anomalies coarctation of the aorta and cardiac defects and eye abnormalities (PHACE) syndrome: A systematic review of the literature.
article_title,796900,"Chronic compartment syndrome, an important cause of work-related upper limb disorder",Chronic compartment syndrome an important cause of work-related upper limb disorder
article_title,491837,"Sleep, sleep-dependent procedural learning and vigilance in chronic cocaine users: Evidence for occult insomnia",Sleep sleep-dependent procedural learning and vigilance in chronic cocaine users: Evidence for occult insomnia
article_title,102180,"Safety, tolerability and sustained weight loss over 2 years with the once-daily human GLP-1 analog, liraglutide.",Safety tolerability and sustained weight loss over 2 years with the once-daily human GLP-1 analog liraglutide.
article_title,107417,"Fast-food habits, weight gain, and insulin resistance (the CARDIA study): 15-year prospective analysis.",Fast-food habits weight gain and insulin resistance (the CARDIA study): 15-year prospective analysis.
article_title,574242,"Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai, United Arab Emirates: a prospective     study",Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai United Arab Emirates: a prospective     study
article_title,636937,"Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.",Human african trypanosomiasis diagnosis in first-line health services of endemic countries a systematic review.
article_title,208824,"Optical turbulence: weak turbulence, condensates and collapsing filaments in the nonlinear Schr_dinger equation",Optical turbulence: weak turbulence condensates and collapsing filaments in the nonlinear Schr̦dinger equation
article_title,759501,"[Progress in joint international research of demographic and geographic distribution of insignificant, middle and high-grade tuberculin skin sensitivity].",[Progress in joint international research of demographic and geographic distribution of insignificant middle and high-grade tuberculin skin sensitivity].
article_title,44484,"Exercise-induced flow limitation, dynamic hyperinflation and exercise capacity in patients with bronchial asthma.",Exercise-induced flow limitation dynamic hyperinflation and exercise capacity in patients with bronchial asthma.
article_title,128182,"A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain",A randomized double-blind placebo controlled triphosphate in study of oral adenosine subacute low back pain
article_title,231933,"Taste, olfactory and food texture reward processing in the brain and obesity",Taste olfactory and food texture reward processing in the brain and obesity
article_title,117678,"Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis, a pre-cancerous condition of oral cancer.",Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis a pre-cancerous condition of oral cancer.
article_title,638338,"Letter by Raposeiras-Roubin et al regarding article, ""mortality associated with atrial fibrillation in patients with myocardial infarction: a systematic review and meta-analysis"".","Letter by Raposeiras-Roubin et al regarding article ""mortality associated with atrial fibrillation in patients with myocardial infarction: a systematic review and meta-analysis""."
article_title,718091,"A 23-year-old Hispanic migrant fieldworker who presents with a painful rash on his limbs, trunk, and face. Guttate psoriasis.",A 23-year-old Hispanic migrant fieldworker who presents with a painful rash on his limbs trunk and face. Guttate psoriasis.
article_title,873322,"Prevalence, molecular characterization, and phenotypic confirmation of extended-spectrum beta-lactamases in Escherichia coli, Klebsiella pneumoniae, and Klebsiella oxytoca at the Radboud University Nijmegen Medical Centre in The Netherlands",Prevalence molecular characterization and phenotypic confirmation of extended-spectrum beta-lactamases in Escherichia coli Klebsiella pneumoniae and Klebsiella oxytoca at the Radboud University Nijmegen Medical Centre in The Netherlands
article_title,681305,"Pooled analysis of non-union, re-operation, infection, and approach related complications after anterior odontoid screw fixation.",Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.
article_title,541739,"Accuracy, risk and the intrinsic value of diagnostic imaging: a review of the cost-utility literature.",Accuracy risk and the intrinsic value of diagnostic imaging: a review of the cost-utility literature.
article_title,303571,Constructing differences: A qualitative analysis of teachers__ perspectives on linguistic and cultural diversity,Constructing differences: A qualitative analysis of teachers�۪ perspectives on linguistic and cultural diversity
article_title,193059,"Wirkungen und Risiken neuartiger psychoaktiver Substanzen: Fehldeklaration und Verkauf als ""Badesalze"", ""Spice"" und ""Forschungschemikalien""","Wirkungen und Risiken neuartiger psychoaktiver Substanzen: Fehldeklaration und Verkauf als ""Badesalze"" ""Spice"" und ""Forschungschemikalien"""
article_title,198675,"Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina",Poster abstracts. The National Association of Bariatric Nurses 4th Annual Meeting and Conference October 24-27 2007 North Charleston South Carolina
article_title,811629,"Implementing pharmacogenetics: Pharmarray, acodose and pharmacogenetic consultation",Implementing pharmacogenetics: Pharmarray acodose and pharmacogenetic consultation
article_title,65723,"Outcome of Er,Cr:YSGG laser-assisted treatment of teeth with apical periodontitis: a blind randomized clinical trial.",Outcome of ErCr:YSGG laser-assisted treatment of teeth with apical periodontitis: a blind randomized clinical trial.
article_title,556090,Lung function efficacy of olodaterol qd delivered via respimat vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract],Lung function efficacy of olodaterol qd delivered via respimat� vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract]
article_title,107924,"Obesity, weight change and risks for hypertension, diabetes and hypercholesterolemia in Japanese men.",Obesity weight change and risks for hypertension diabetes and hypercholesterolemia in Japanese men.
article_title,820508,"A comparative outcome study of body awareness therapy, feldenkrais, and conventional physiotherapy for patients with nonspecific musculoskeletal disorders: Changes in psychological symptoms, pain, and self-image",A comparative outcome study of body awareness therapy feldenkrais and conventional physiotherapy for patients with nonspecific musculoskeletal disorders: Changes in psychological symptoms pain and self-image
article_title,837546,"Agitation, aggression, and disinhibition syndromes after traumatic brain injury",Agitation aggression and disinhibition syndromes after traumatic brain injury
article_title,741279,"Bradykinin is a mediator, but unlikely a trigger, of antiarrhythmic effects of ischemic preconditioning",Bradykinin is a mediator but unlikely a trigger of antiarrhythmic effects of ischemic preconditioning
article_title,240949,"William H. Taft High School Project HOLA, 1985-1986. OEA Evaluation Report.",William H. Taft High School Project HOLA 1985-1986. OEA Evaluation Report.
article_title,696985,"The Diversion of Ultram, Ultracet, and generic tramadol HCL.",The Diversion of Ultram Ultracet and generic tramadol HCL.
article_title,749844,"Insights in public health: taxing sugar sweetened beverages to improve public health: policy action in Hawai'i. Doctoral Health Policy Seminar, Spring 2013",Insights in public health: taxing sugar sweetened beverages to improve public health: policy action in Hawai'i. Doctoral Health Policy Seminar Spring 2013
article_title,292018,"Simple steps to fitness. Secrets of strength. Strength training is as important to weight loss and fitness as aerobic exercise is, but many people ignore it. Here's how to get started.",Simple steps to fitness. Secrets of strength. Strength training is as important to weight loss and fitness as aerobic exercise is but many people ignore it. Here's how to get started.
article_title,668772,"Lack of association between the connexin 37 C1019T gene polymorphism and coronary artery disease in a Chinese population: Meta-analysis of 2,206 subjects.",Lack of association between the connexin 37 C1019T gene polymorphism and coronary artery disease in a Chinese population: Meta-analysis of 2206 subjects.
article_title,100986,"Association of bleeding, mortality and sex in acute coronary syndromes: the missing triangle.",Association of bleeding mortality and sex in acute coronary syndromes: the missing triangle.
article_title,166179,"[Severe exposure to environmental lead in a child population in Antofagasta, Chile]",[Severe exposure to environmental lead in a child population in Antofagasta Chile]
article_title,379577,"Monitoring of fluid changes in hospitalized, Malnourished, Guatemalan children using bioelectrical impedance spectroscopy (BIS).",Monitoring of fluid changes in hospitalized Malnourished Guatemalan children using bioelectrical impedance spectroscopy (BIS).
article_title,215650,Bruxismo em crian_as Bruxism in children,Bruxismo em crian̤as Bruxism in children
article_title,892609,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications DS-RT 2009
article_title,366275,"A systematic review on the application of cardiovascular risk prediction models in pharmacoeconomics, with a focus on primary prevention.",A systematic review on the application of cardiovascular risk prediction models in pharmacoeconomics with a focus on primary prevention.
article_title,439302,"American Society of Clinical Oncology clinical practice guideline update on the use of pharmacologic interventions including tamoxifen, raloxifene, and aromatase inhibition for breast cancer risk reduction.",American Society of Clinical Oncology clinical practice guideline update on the use of pharmacologic interventions including tamoxifen raloxifene and aromatase inhibition for breast cancer risk reduction.
article_title,497593,"Ventricular arrhythmias in the North American multidisciplinary study of ARVC: predictors, characteristics, and treatment",Ventricular arrhythmias in the North American multidisciplinary study of ARVC: predictors characteristics and treatment
article_title,91852,"The importance, and important limitations, of ultrasound imaging for evaluating thyroid nodules.",The importance and important limitations of ultrasound imaging for evaluating thyroid nodules.
article_title,503354,"Early ankle mobilization, Part I: The immediate effect on acute, lateral ankle sprains (a randomized clinical trial)",Early ankle mobilization Part I: The immediate effect on acute lateral ankle sprains (a randomized clinical trial)
article_title,264151,"Recognizing, naming, and measuring a family intensive care unit syndrome",Recognizing naming and measuring a family intensive care unit syndrome
article_title,711975,"Association of diet, exercise, and smoking modification with risk of early cardiovascular events after acute coronary syndromes.",Association of diet exercise and smoking modification with risk of early cardiovascular events after acute coronary syndromes.
article_title,727134,The Antiseptic Efficacy and Tolerability of Lavasept 0.04% on Acute Traumatic Wounds,The Antiseptic Efficacy and Tolerability of Lavasept� 04% on Acute Traumatic Wounds
article_title,979725,"The impact of emotional and social support on the quality of life, depression, and disability among us adults with chronic obstructive pulmonary disorder (COPD): A propensity score analysis",The impact of emotional and social support on the quality of life depression and disability among us adults with chronic obstructive pulmonary disorder (COPD): A propensity score analysis
article_title,252990,Effects on prolongation of Bazett__s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis,Effects on prolongation of Bazett�۪s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis
article_title,98479,"The ROX coupler: Creation of a fixed iliofemoral arteriovenous anastomosis for the treatment of systemic arterial hypertension, exploiting the physical properties of the arterial vasculature.",The ROX coupler: Creation of a fixed iliofemoral arteriovenous anastomosis for the treatment of systemic arterial hypertension exploiting the physical properties of the arterial vasculature.
article_title,8529,"Maternal use of folic acid supplements during pregnancy, and childhood respiratory health and atopy.",Maternal use of folic acid supplements during pregnancy and childhood respiratory health and atopy.
article_title,162189,"Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls",Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive premenopausal caucasian hirsute patients compared with healthy controls
article_title,820238,"Autonomic activity, pain, and perceived health in patients on sick leave due to stress-related illnesses",Autonomic activity pain and perceived health in patients on sick leave due to stress-related illnesses
article_title,82540,"Body mass index and socioeconomic status measured in adolescence, country of origin, and the incidence of gastroesophageal adenocarcinoma in a cohort of 1 million men.",Body mass index and socioeconomic status measured in adolescence country of origin and the incidence of gastroesophageal adenocarcinoma in a cohort of 1 million men.
article_title,228622,"Disordered eating, acculturation, and treatment-seeking in a community sample of Hispanic, Asian, Black, and White women",Disordered eating acculturation and treatment-seeking in a community sample of Hispanic Asian Black and White women
article_title,904168,"Can moxibustion, an ancient treatment modality, be evaluated in a double-blind randomized controlled trial? - A narrative review",Can moxibustion an ancient treatment modality be evaluated in a double-blind randomized controlled trial? - A narrative review
article_title,916713,"Amitriptyline, minocycline and maropitant reduce the sevoflurane minimum alveolar concentration and potentiate remifentanil but do not prevent acute opioid tolerance and hyperalgesia in the rat: a randomised laboratory study.",Amitriptyline minocycline and maropitant reduce the sevoflurane minimum alveolar concentration and potentiate remifentanil but do not prevent acute opioid tolerance and hyperalgesia in the rat: a randomised laboratory study.
article_title,409335,"Efficacy, immunogenicity, and safety of a pentavalent human-bovine (WC3) reassortant rotavirus vaccine at the end of shelf life",Efficacy immunogenicity and safety of a pentavalent human-bovine (WC3) reassortant rotavirus vaccine at the end of shelf life
article_title,720526,"Decision analysis for small, asymptomatic intracranial arteriovenous malformations",Decision analysis for small asymptomatic intracranial arteriovenous malformations
article_title,960478,"Collaborative practice: development, implementation, and evaluation of a weaning protocol for patients receiving mechanical ventilation",Collaborative practice: development implementation and evaluation of a weaning protocol for patients receiving mechanical ventilation
article_title,931944,"The expert patients programme online, a 1-year study of an Internet-based self-management programme for people with long-term conditions",The expert patients programme online a 1-year study of an Internet-based self-management programme for people with long-term conditions
article_title,66579,"Astaxanthin Inhibits JAK/STAT-3 Signaling to Abrogate Cell Proliferation, Invasion and Angiogenesis in a Hamster Model of Oral Cancer.",Astaxanthin Inhibits JAK/STAT-3 Signaling to Abrogate Cell Proliferation Invasion and Angiogenesis in a Hamster Model of Oral Cancer.
article_title,557824,"Analysis of the cochrane review: Biomarkers as point-of-care tests to guide prescription of antibiotics in patients with acute respiratory infections in primary care. cochrane database syst rev. 2014,11:Cd10130",Analysis of the cochrane review: Biomarkers as point-of-care tests to guide prescription of antibiotics in patients with acute respiratory infections in primary care. cochrane database syst rev. 201411:Cd10130
article_title,215820,Preval_ncia de bruxismo e dist_rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals,Preval̻ncia de bruxismo e dist̼rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals
article_title,385346,"New concepts in predicting, evaluating, and managing neurodevelopmental outcomes in children with congenital heart disease.",New concepts in predicting evaluating and managing neurodevelopmental outcomes in children with congenital heart disease.
article_title,35875,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,18F-flumazenil: a �_-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.
